"scenario","horizon","target_c120","shape","alpha_l_key","persistence","rd_itt","rd_pp","attenuation","c_true","c_obs","c_obs_mcse"
9,24,0.7,"early","prognostic","transient",-0.053237,-0.0731495,0.272216488150979,0.4138235,0.372585606940064,0.000332913748938333
9,36,0.7,"early","prognostic","transient",-0.0670105,-0.103701,0.35381047434451,0.5129265,0.467689228274428,0.000345827068330751
9,60,0.7,"early","prognostic","transient",-0.0843795,-0.1533635,0.449807157504882,0.629035,0.583902017237433,0.000331779397187186
9,84,0.7,"early","prognostic","transient",-0.0942265,-0.1923225,0.510059925385745,0.6915305,0.647965632499046,0.000324743989712982
9,120,0.7,"early","prognostic","transient",-0.101412,-0.234205,0.566994726841869,0.741611,0.700409037988579,0.000311979029205833
10,12,0.2,"late","prognostic","transient",-0.038351,-0.039235,0.0225309035300117,0.011762,0.0100945363888281,6.91922473146736e-05
10,24,0.2,"late","prognostic","transient",-0.071583,-0.0736555,0.0281377493873505,0.0253225,0.0217007562491609,9.76752551255297e-05
10,36,0.2,"late","prognostic","transient",-0.1009145,-0.1040155,0.029812864428859,0.041197,0.0351754178142321,0.00012332258196448
10,60,0.2,"late","prognostic","transient",-0.147619,-0.154537,0.0447659783741111,0.0797645,0.0684682659205608,0.000170773626864723
10,84,0.2,"late","prognostic","transient",-0.182006,-0.193686,0.0603037906714994,0.129549,0.111706648654842,0.000207301212621814
10,120,0.2,"late","prognostic","transient",-0.2142245,-0.236081,0.0925805126206685,0.228504,0.200170638941504,0.000263938093700487
11,12,0.45,"late","prognostic","transient",-0.038069,-0.038871,0.0206323480229477,0.0332535,0.0286134314479471,0.000113867651496584
11,24,0.45,"late","prognostic","transient",-0.070439,-0.073102,0.0364285518864055,0.070359,0.0606948254169738,0.000157754741598202
11,36,0.45,"late","prognostic","transient",-0.097416,-0.1034815,0.058614341693926,0.1114765,0.0964431443926438,0.000195241317660516
11,60,0.45,"late","prognostic","transient",-0.1381095,-0.154433,0.105699559032072,0.205849,0.179835757875546,0.000256199739843182
11,84,0.45,"late","prognostic","transient",-0.164594,-0.1931655,0.147912023627408,0.314191,0.278806219285165,0.000296390155377855
11,120,0.45,"late","prognostic","transient",-0.1847975,-0.234613,0.212330518769207,0.49504,0.450142543819556,0.000334085513174216
12,12,0.7,"late","prognostic","transient",-0.0373665,-0.038838,0.0378881507801637,0.0723785,0.0621073191119691,0.000159113798704634
12,24,0.7,"late","prognostic","transient",-0.0674925,-0.0730195,0.0756921096419448,0.1474865,0.128311221908858,0.00021424988361652
12,36,0.7,"late","prognostic","transient",-0.091078,-0.103311,0.118409462690323,0.2260915,0.198268435670782,0.000265481254620475
12,60,0.7,"late","prognostic","transient",-0.122704,-0.1542315,0.204416737177555,0.386157,0.345363151255766,0.000323359182586631
12,84,0.7,"late","prognostic","transient",-0.1392795,-0.1934285,0.279943234838713,0.541533,0.495283905918688,0.000340969263003927
12,120,0.7,"late","prognostic","transient",-0.1469865,-0.235286,0.375285822360871,0.742391,0.700088095276617,0.00031042551279789
13,12,0.2,"early","neutral","legacy",-0.023421,-0.023629,0.00880274239282242,0.040449,0.0406132515085394,0.000136779975252442
13,24,0.2,"early","neutral","legacy",-0.056904,-0.058427,0.0260667157307408,0.073663,0.073789154639576,0.00017612740956128
13,36,0.2,"early","neutral","legacy",-0.084934,-0.0892485,0.0483425491744958,0.1011965,0.101140262495831,0.000199531960938265
13,60,0.2,"early","neutral","legacy",-0.129445,-0.1402085,0.0767678136489588,0.1429145,0.142871546668682,0.000232142745073165
13,84,0.2,"early","neutral","legacy",-0.1624075,-0.180108,0.0982771448242165,0.171787,0.171874543039037,0.000248195168894644
13,120,0.2,"early","neutral","legacy",-0.1965285,-0.2234205,0.120364962033475,0.20005,0.200002443967958,0.000267885726180426
14,12,0.45,"early","neutral","legacy",-0.0228535,-0.0238595,0.0421634988159856,0.1051405,0.104876481724495,0.000206015909280704
14,24,0.45,"early","neutral","legacy",-0.053702,-0.058672,0.084708208344696,0.1858365,0.185628275610071,0.000260165681459339
14,36,0.45,"early","neutral","legacy",-0.0784295,-0.089498,0.123673154707368,0.248646,0.248941953776759,0.000284128599807006
14,60,0.45,"early","neutral","legacy",-0.114696,-0.140679,0.184697076322692,0.3383895,0.338274564680005,0.000319038633950453
14,84,0.45,"early","neutral","legacy",-0.1387045,-0.18023,0.230402818620651,0.396324,0.396293340984897,0.000332247507093423
14,120,0.45,"early","neutral","legacy",-0.1610965,-0.2233105,0.278598632845298,0.449738,0.449837248942907,0.000339742038259532
15,12,0.7,"early","neutral","legacy",-0.022016,-0.0238015,0.0750162804865238,0.200153,0.200142486347775,0.000260255670224938
15,24,0.7,"early","neutral","legacy",-0.049648,-0.058448,0.150561182589653,0.338342,0.338714621588476,0.000317327462027957
15,36,0.7,"early","neutral","legacy",-0.0694485,-0.0891355,0.220865984933052,0.4377865,0.437562725311198,0.000334902633065649
15,60,0.7,"early","neutral","legacy",-0.0943295,-0.1404825,0.328532023561653,0.5646465,0.564453635977472,0.000333635417788838
15,84,0.7,"early","neutral","legacy",-0.1082915,-0.180236,0.399168312656739,0.638361,0.638175816453872,0.000323413235666087
15,120,0.7,"early","neutral","legacy",-0.1187395,-0.2235365,0.468813817877617,0.7000475,0.699948520501536,0.000306848505865927
16,12,0.2,"late","neutral","legacy",-0.0234285,-0.023463,0.00147040020457745,0.0096235,0.00964572274574303,6.32588786211432e-05
16,24,0.2,"late","neutral","legacy",-0.0578735,-0.058322,0.00769006549843954,0.0208545,0.0208383807561298,9.38450957599047e-05
16,36,0.2,"late","neutral","legacy",-0.088062,-0.089161,0.0123260169805183,0.0338865,0.0339476222028419,0.000125773127543885
16,60,0.2,"late","neutral","legacy",-0.1369325,-0.1408615,0.0278926463228064,0.066536,0.0666953649048307,0.000170330205689004
16,84,0.2,"late","neutral","legacy",-0.173047,-0.1807625,0.0426830786252678,0.109802,0.109856200265447,0.0002091309280141
16,120,0.2,"late","neutral","legacy",-0.2082945,-0.223391,0.0675788192004154,0.200285,0.200105943063869,0.000276654236082056
17,12,0.45,"late","neutral","legacy",-0.023759,-0.023661,-0.00414183677781987,0.0255225,0.0259677319774087,0.000111205637212601
17,24,0.45,"late","neutral","legacy",-0.057743,-0.0585965,0.0145657163823777,0.054961,0.055441328046395,0.000163437726821927
17,36,0.45,"late","neutral","legacy",-0.0869185,-0.0897125,0.0311439320050161,0.0885255,0.0887320087073754,0.000191962895489142
17,60,0.45,"late","neutral","legacy",-0.1318215,-0.1411225,0.0659072791369201,0.1685945,0.168818908801424,0.000257850968726661
17,84,0.45,"late","neutral","legacy",-0.162423,-0.180989,0.10258081982883,0.267882,0.267838640994437,0.000303612460688237
17,120,0.45,"late","neutral","legacy",-0.1879945,-0.2245865,0.162930541239122,0.450172,0.449820101819415,0.000337347790285775
18,12,0.7,"late","neutral","legacy",-0.0233505,-0.023828,0.0200394493872754,0.0512505,0.051221981851996,0.000147686879219132
18,24,0.7,"late","neutral","legacy",-0.056149,-0.0586485,0.0426183107837368,0.1082785,0.108010657491186,0.000210803759784038
18,36,0.7,"late","neutral","legacy",-0.0832765,-0.089248,0.0669090623879526,0.170992,0.170188989630477,0.000260394426400163
