"scenario","target_c120","shape","alpha_l_key","alpha_l","persistence","horizon","risk_itt1","risk_itt0","risk_pp1","risk_pp0","rd_itt","rd_pp","attenuation","c_true"
15,0.7,"early","neutral",0,"legacy",84,0.189022,0.2973135,0.188833,0.369069,-0.1082915,-0.180236,0.399168312656739,0.638361
15,0.7,"early","neutral",0,"legacy",120,0.2510365,0.369776,0.2510385,0.474575,-0.1187395,-0.2235365,0.468813817877617,0.7000475
16,0.2,"late","neutral",0,"legacy",12,0.0431935,0.066622,0.0433895,0.0668525,-0.0234285,-0.023463,0.00147040020457745,0.0096235
16,0.2,"late","neutral",0,"legacy",24,0.069618,0.1274915,0.069808,0.12813,-0.0578735,-0.058322,0.00769006549843954,0.0208545
16,0.2,"late","neutral",0,"legacy",36,0.095008,0.18307,0.095321,0.184482,-0.088062,-0.089161,0.0123260169805183,0.0338865
16,0.2,"late","neutral",0,"legacy",60,0.143604,0.2805365,0.143358,0.2842195,-0.1369325,-0.1408615,0.0278926463228064,0.066536
16,0.2,"late","neutral",0,"legacy",84,0.1887705,0.3618175,0.1885225,0.369285,-0.173047,-0.1807625,0.0426830786252678,0.109802
16,0.2,"late","neutral",0,"legacy",120,0.2512725,0.459567,0.251245,0.474636,-0.2082945,-0.223391,0.0675788192004154,0.200285
17,0.45,"late","neutral",0,"legacy",12,0.04321,0.066969,0.043119,0.06678,-0.023759,-0.023661,-0.00414183677781987,0.0255225
17,0.45,"late","neutral",0,"legacy",24,0.0697255,0.1274685,0.0695175,0.128114,-0.057743,-0.0585965,0.0145657163823777,0.054961
17,0.45,"late","neutral",0,"legacy",36,0.095183,0.1821015,0.09505,0.1847625,-0.0869185,-0.0897125,0.0311439320050161,0.0885255
17,0.45,"late","neutral",0,"legacy",60,0.143698,0.2755195,0.1432095,0.284332,-0.1318215,-0.1411225,0.0659072791369201,0.1685945
17,0.45,"late","neutral",0,"legacy",84,0.1889825,0.3514055,0.188286,0.369275,-0.162423,-0.180989,0.10258081982883,0.267882
17,0.45,"late","neutral",0,"legacy",120,0.251578,0.4395725,0.250583,0.4751695,-0.1879945,-0.2245865,0.162930541239122,0.450172
18,0.7,"late","neutral",0,"legacy",12,0.043094,0.0664445,0.0430695,0.0668975,-0.0233505,-0.023828,0.0200394493872754,0.0512505
18,0.7,"late","neutral",0,"legacy",24,0.0696715,0.1258205,0.0694795,0.128128,-0.056149,-0.0586485,0.0426183107837368,0.1082785
18,0.7,"late","neutral",0,"legacy",36,0.0951815,0.178458,0.095187,0.184435,-0.0832765,-0.089248,0.0669090623879526,0.170992
18,0.7,"late","neutral",0,"legacy",60,0.143776,0.2667645,0.1436335,0.2842905,-0.1229885,-0.140657,0.125614082484341,0.3114945
18,0.7,"late","neutral",0,"legacy",84,0.188845,0.3354135,0.1889755,0.3693945,-0.1465685,-0.180419,0.187621591960936,0.4671975
18,0.7,"late","neutral",0,"legacy",120,0.25129,0.4111865,0.2514325,0.4750775,-0.1598965,-0.223645,0.285043260524492,0.7004335
19,0.2,"early","prognostic",0.6,"legacy",12,0.0431215,0.066286,0.0431595,0.066625,-0.0231645,-0.0234655,0.0128273422684367,0.049181
19,0.2,"early","prognostic",0.6,"legacy",24,0.0696375,0.1250705,0.0696065,0.128434,-0.055433,-0.0588275,0.0577026050741574,0.0882465
19,0.2,"early","prognostic",0.6,"legacy",36,0.0953395,0.177903,0.0949155,0.184912,-0.0825635,-0.0899965,0.08259210080392,0.1196015
19,0.2,"early","prognostic",0.6,"legacy",60,0.143648,0.269449,0.1430865,0.284666,-0.125801,-0.1415795,0.111446219261969,0.166273
