"scenario","horizon","method","target_c120","shape","alpha_l_key","persistence","truth_rd_itt","truth_rd_pp","bias","bias_mcse","rel_bias","empse","empse_mcse","modse","modse_mcse","relerror_modse","relerror_modse_mcse","coverage","coverage_mcse","converged","n_used","n_attempted"
1,12,"gformula",0.2,"early","neutral","transient",-0.0379335,-0.0392735,-0.000466458642067243,0.000217371145466128,0.012296746729599,0.00687387917272749,0.000153781520986187,0.0069168125185902,7.19165532426824e-06,0.624586856764164,2.25358989695224,0.95,0.00689202437604511,1,1000,1000
2,12,"gformula",0.45,"early","neutral","transient",-0.0368455,-0.038947,-0.000299320657730334,0.000214704708837402,0.00812366931457937,0.00678955904289474,0.000151895122129065,0.00686985355568769,7.61733384331782e-06,1.18261749085138,2.26642276372144,0.954,0.00662449998113065,1,1000,1000
3,12,"gformula",0.7,"early","neutral","transient",-0.034897,-0.0389375,-0.000329972713155574,0.000222533597802974,0.0094556183384123,0.0070371302496924,0.000157433752613695,0.00681384290046233,7.74501896216646e-06,-3.17298872277997,2.16899528394813,0.936,0.0077397674383666,1,1000,1000
4,12,"gformula",0.2,"late","neutral","transient",-0.039129,-0.038932,0.000264756075008685,0.000229312149316057,-0.00676623667890017,0.00725148686987362,0.000162229310734022,0.00691781927529614,7.53076275624314e-06,-4.60136797549359,2.13677083265582,0.936,0.0077397674383666,1,1000,1000
5,12,"gformula",0.45,"late","neutral","transient",-0.038406,-0.0389705,7.89889174168668e-05,0.000225466844295333,-0.00205668170121509,0.00712988764823793,0.000159508908937019,0.00691322967974612,7.54599221467987e-06,-3.03872906812714,2.17178515317995,0.947,0.00708456067798138,1,1000,1000
6,12,"gformula",0.7,"late","neutral","transient",-0.0381455,-0.039116,2.0520149637597e-05,0.000214137316091956,-0.000537944177887222,0.00677161650886008,0.000151493714116956,0.00690083926144705,7.45400712275292e-06,1.90829992244674,2.28253491524053,0.952,0.00675988165576884,1,1000,1000
7,12,"gformula",0.2,"early","prognostic","transient",-0.037769,-0.038979,0.0005922523738714,0.000218509554596817,-0.0156809122262014,0.00690987883034859,0.000154586900592788,0.00689305862818271,7.40794577042474e-06,-0.243422534299731,2.23431457186742,0.944,0.00727076337120113,1,1000,1000
8,12,"gformula",0.45,"early","prognostic","transient",-0.0355335,-0.0388655,-0.000299092477592931,0.000223639733051617,0.0084171972249548,0.0070721093175515,0.00015821629972034,0.00685075242350535,7.32138205392349e-06,-3.1299981958252,2.1696342064151,0.94,0.00750999334220744,1,1000,1000
9,12,"gformula",0.7,"early","prognostic","transient",-0.0326385,-0.0387175,-0.000160588576189856,0.00020426019184819,0.00492021925608885,0.00645927441543238,0.000144506037873549,0.00673899730252808,7.48914596965407e-06,4.33056205860201,2.33694758161567,0.96,0.00619677335393187,1,1000,1000
10,12,"gformula",0.2,"late","prognostic","transient",-0.038351,-0.039235,-0.00038656093041628,0.000217887929104898,0.0100795528256442,0.0068902213062877,0.000154147125049322,0.00692695643053346,7.81372854323128e-06,0.533148684386164,2.25197153266052,0.958,0.00634318531969546,1,1000,1000
11,12,"gformula",0.45,"late","prognostic","transient",-0.038069,-0.038871,-7.16078146276791e-05,0.000215540572093478,0.00188100067319024,0.00681599135991119,0.000152486462449695,0.00690702254057821,7.66872792077281e-06,1.33555305252342,2.26985581658564,0.96,0.00619677335393187,1,1000,1000
12,12,"gformula",0.7,"late","prognostic","transient",-0.0373665,-0.038838,7.13247701536607e-05,0.000214955865050015,-0.00190878916017451,0.0067975012996983,0.000152072805253924,0.00688768794016824,7.2629549571201e-06,1.3267616509899,2.26938568342116,0.953,0.00669260786241059,1,1000,1000
13,12,"gformula",0.2,"early","neutral","legacy",-0.023421,-0.023629,7.72979459186286e-05,0.000238928284156136,-0.00330036915241145,0.00755557575369312,0.000169032347257313,0.00743478966900205,7.19256241399102e-06,-1.59863508260145,2.20347968863415,0.948,0.00702111102319284,1,1000,1000
14,12,"gformula",0.45,"early","neutral","legacy",-0.0228535,-0.0238595,0.000153476318707275,0.000232936743908305,-0.00671565925163653,0.00736610661493596,0.000164793568598878,0.00743487940464618,7.41688371735436e-06,0.933638261096825,2.260317877407,0.951,0.00682634602111555,1,1000,1000
15,12,"gformula",0.7,"early","neutral","legacy",-0.022016,-0.0238015,0.000331740349935727,0.000226831930824168,-0.0150681481620515,0.00717305547458127,0.000160474653871711,0.0073995030437584,7.08719313307941e-06,3.15691925121144,2.3099270607782,0.956,0.00648567652600714,1,1000,1000
16,12,"gformula",0.2,"late","neutral","legacy",-0.0234285,-0.023463,-0.00036420461816887,0.000228856135646392,0.0155453664625934,0.00723706645147048,0.00016190669902969,0.00744492150942021,7.2589820615031e-06,2.8720899461617,2.30362556237392,0.953,0.00669260786241059,1,1000,1000
17,12,"gformula",0.45,"late","neutral","legacy",-0.023759,-0.023661,0.000422341025328815,0.000240490000471647,-0.017776043828815,0.00760496155985374,0.000170137200018858,0.00745473958410771,7.38746278530247e-06,-1.97531538540636,2.19514573846631,0.948,0.00702111102319284,1,1000,1000
18,12,"gformula",0.7,"late","neutral","legacy",-0.0233505,-0.023828,0.000498246575152957,0.000230332420199866,-0.0213377261794376,0.00728375066810554,0.000162951112185608,0.00742896680099021,7.46868261770958e-06,1.99369994253853,2.28409242753026,0.955,0.00655553201502365,1,1000,1000
19,12,"gformula",0.2,"early","prognostic","legacy",-0.0231645,-0.0234655,0.000281842961019095,0.000226355557970629,-0.0121670211322971,0.00715799124225468,0.000160137638846939,0.00743351112018491,7.37341623723362e-06,3.84912286988837,2.32558140053134,0.959,0.00627048642451286,1,1000,1000
20,12,"gformula",0.45,"early","prognostic","legacy",-0.021882,-0.0234065,-0.0010193377186825,0.000243882983304293,0.0465833890267113,0.00771225709798384,0.000172537601689306,0.00741035481445421,7.07964129390625e-06,-3.91457753150569,2.15156960586036,0.947,0.00708456067798138,1,1000,1000
21,12,"gformula",0.7,"early","prognostic","legacy",-0.0207845,-0.0237535,-0.000128507901996401,0.000240689286076867,0.0061828719476726,0.00761126352402752,0.00017027818673269,0.00737622313399971,7.18425728583783e-06,-3.08806007420217,2.17015486758446,0.943,0.00733150734842434,1,1000,1000
22,12,"gformula",0.2,"late","prognostic","legacy",-0.023518,-0.0234855,-4.34965820602373e-05,0.000244529308446468,0.00184950174590685,0.00773269569356689,0.000172994851262161,0.00745056576437323,7.38234868965528e-06,-3.64853267701164,2.15767547597397,0.949,0.00695693898205238,1,1000,1000
23,12,"gformula",0.45,"late","prognostic","legacy",-0.0235645,-0.023485,1.52777550008337e-05,0.000228537319976304,-0.00064833775385999,0.00722698461475817,0.000161681149504451,0.00745111983723779,7.09685102406915e-06,3.10136570682487,2.30865960706496,0.957,0.00641490451994416,1,1000,1000
24,12,"gformula",0.7,"late","prognostic","legacy",-0.0229245,-0.0233815,-6.05227900703983e-05,0.00023311646520703,0.00264009204433677,0.00737178990141609,0.0001649207143367,0.00743069539191998,7.24237499601554e-06,0.79906632299136,2.2572025098378,0.949,0.00695693898205238,1,1000,1000
1,24,"gformula",0.2,"early","neutral","transient",-0.0698105,-0.0731595,-0.000820812272427376,0.000293901285710961,0.0117577194322828,0.00929397470098537,0.000207923579919076,0.00920309348480245,6.34492864106942e-06,-0.977850909937195,2.2163621768517,0.938,0.00762600813007697,1,1000,1000
2,24,"gformula",0.45,"early","neutral","transient",-0.066083,-0.0733795,-0.000268112945537927,0.000286161290963551,0.00405721510128061,0.00904921457618981,0.00020244783859136,0.00911114442722653,6.5585455539171e-06,0.684367140543474,2.25366312198676,0.95,0.00689202437604511,1,1000,1000
3,24,"gformula",0.7,"early","neutral","transient",-0.059939,-0.0735125,-0.000350528907723635,0.000282161382868077,0.00584809402431864,0.00892272637605936,0.000199618061210338,0.00898788165420709,6.81253504841735e-06,0.730217148903578,2.25481619425742,0.953,0.00669260786241059,1,1000,1000
4,24,"gformula",0.2,"late","neutral","transient",-0.0730835,-0.073491,0.000435530766658448,0.000289544579426911,-0.00595935835938958,0.00915620355144569,0.000204841381877498,0.0092266016942153,6.5418589262118e-06,0.768857336712414,2.25551951503407,0.953,0.00669260786241059,1,1000,1000
5,24,"gformula",0.45,"late","neutral","transient",-0.071397,-0.073431,0.000185955328105461,0.000293857578146034,-0.00260452579387735,0.00929259254642386,0.00020789265853897,0.00920962494783881,6.60231553060464e-06,-0.892835860074204,2.21835051697358,0.949,0.00695693898205238,1,1000,1000
