"target_c120","alpha_l_key","persistence","horizon","c_obs_early","c_obs_late","d_c_obs","attenuation_early","attenuation_late","d_att","d_att_mcse","rd_itt_early","rd_itt_late","d_rd"
0.2,"neutral","legacy",12,0.0406132515085394,0.00964572274574303,0.0309675287627963,0.00880274239282242,0.00147040020457745,0.00733234218824497,0.0192907050542343,-0.023421,-0.0234285,7.49999999999362e-06
0.2,"neutral","legacy",24,0.073789154639576,0.0208383807561298,0.0529507738834462,0.0260667157307408,0.00769006549843954,0.0183766502323013,0.0100834054898988,-0.056904,-0.0578735,0.000969499999999998
0.2,"neutral","legacy",36,0.101140262495831,0.0339476222028419,0.0671926402929886,0.0483425491744958,0.0123260169805183,0.0360165321939775,0.00758324537181633,-0.084934,-0.088062,0.00312800000000001
0.2,"neutral","legacy",60,0.142871546668682,0.0666953649048307,0.0761761817638512,0.0767678136489588,0.0278926463228064,0.0488751673261524,0.00558756044630753,-0.129445,-0.1369325,0.00748750000000004
0.2,"neutral","legacy",84,0.171874543039037,0.109856200265447,0.062018342773591,0.0982771448242165,0.0426830786252678,0.0555940661989487,0.00469151291636918,-0.1624075,-0.173047,0.0106395
0.2,"neutral","legacy",120,0.200002443967958,0.200105943063869,-0.000103499095911175,0.120364962033475,0.0675788192004154,0.0527861428330597,0.0039922421512359,-0.1965285,-0.2082945,0.011766
0.2,"neutral","transient",12,0.0408805784167848,0.00960052227765395,0.0312800561391309,0.034119699033699,-0.00506010479810959,0.0391798038318086,0.0107372743861322,-0.0379335,-0.039129,0.0011955
0.2,"neutral","transient",24,0.0741818617640132,0.0206938714354941,0.0534879903285191,0.0457766933891016,0.00554489665401214,0.0402317967350895,0.0076871882765957,-0.0698105,-0.0730835,0.00327299999999998
0.2,"neutral","transient",36,0.101589638904699,0.0337686404341451,0.0678209984705539,0.0597256395564394,0.0124908085143195,0.0472348310421199,0.00632158204139327,-0.0976395,-0.102737,0.00509750000000002
0.2,"neutral","transient",60,0.143042291549412,0.0664468914200286,0.0765954001293834,0.0848255477028371,0.0212434609870051,0.063582086715832,0.00501646566304286,-0.14134,-0.1505215,0.00918149999999998
0.2,"neutral","transient",84,0.171890826681776,0.109552620495895,0.0623382061858809,0.100866267805826,0.0394507726909963,0.0614154951148294,0.00433803905471745,-0.173803,-0.1853495,0.0115465
0.2,"neutral","transient",120,0.199976847481215,0.199536846226439,0.000440001254775557,0.122447460856105,0.0660014188355748,0.0564460420205304,0.00377070482236566,-0.2063635,-0.219209,0.0128455
0.2,"prognostic","legacy",12,0.042101415986659,0.0100735604157072,0.0320278555709518,0.0128273422684367,-0.00138383257754771,0.0142111748459844,0.0193245603492087,-0.0231645,-0.023518,0.0003535
0.2,"prognostic","legacy",24,0.0759333710659857,0.0217636596224763,0.0541697114435094,0.0577026050741574,0.00873617775026236,0.048966427323895,0.00997565768518282,-0.055433,-0.057641,0.00220799999999999
0.2,"prognostic","legacy",36,0.103549137515018,0.035283810280161,0.068265327234857,0.08259210080392,0.0225186957153557,0.0600734050885643,0.00744883662816327,-0.0825635,-0.0874445,0.00488099999999998
0.2,"prognostic","legacy",60,0.144754560889094,0.0683766138513514,0.0763779470377428,0.111446219261969,0.0338439121472743,0.077602307114695,0.00550376297168816,-0.125801,-0.1359285,0.0101275
0.2,"prognostic","legacy",84,0.172856771972125,0.111829585577483,0.0610271863946414,0.131063726410407,0.051110144148289,0.0799535822621177,0.00463270402316248,-0.15738,-0.171184,0.013804
0.2,"prognostic","legacy",120,0.199968807621818,0.19989592675358,7.28808682379234e-05,0.151673044952972,0.0817119053114416,0.0699611396415304,0.00394372470898162,-0.1900825,-0.204899,0.0148165000000001
0.2,"prognostic","transient",12,0.0420106026522607,0.0100945363888281,0.0319160662634326,0.031042356140486,0.0225309035300117,0.00851145261047426,0.0106648419528997,-0.037769,-0.038351,0.000581999999999999
0.2,"prognostic","transient",24,0.0760609380240739,0.0217007562491609,0.054360181774913,0.0571298485960479,0.0281377493873505,0.0289920992086974,0.0075877955203963,-0.0693745,-0.071583,0.0022085
0.2,"prognostic","transient",36,0.103496521256686,0.0351754178142321,0.0683211034424541,0.0762393046967694,0.029812864428859,0.0464264402679104,0.0062681244400776,-0.0957635,-0.1009145,0.00515100000000002
0.2,"prognostic","transient",60,0.144808723956704,0.0684682659205608,0.0763404580361434,0.106482009256756,0.0447659783741111,0.061716030882645,0.0049571432554373,-0.1371635,-0.147619,0.0104555
0.2,"prognostic","transient",84,0.172823009471996,0.111706648654842,0.061116360817154,0.131573818797893,0.0603037906714994,0.0712700281263939,0.00428047157586999,-0.167103,-0.182006,0.014903
0.2,"prognostic","transient",120,0.200009048866299,0.200170638941504,-0.000161590075204388,0.152501883964844,0.0925805126206685,0.0599213713441754,0.00371341274962547,-0.1984955,-0.2142245,0.015729
0.45,"neutral","legacy",12,0.104876481724495,0.0259677319774087,0.0789087497470868,0.0421634988159856,-0.00414183677781987,0.0463053355938055,0.0189680400840671,-0.0228535,-0.023759,0.000905500000000004
0.45,"neutral","legacy",24,0.185628275610071,0.055441328046395,0.130186947563676,0.084708208344696,0.0145657163823777,0.0701424919623183,0.0098569625860881,-0.053702,-0.057743,0.00404100000000002
0.45,"neutral","legacy",36,0.248941953776759,0.0887320087073754,0.160209945069384,0.123673154707368,0.0311439320050161,0.0925292227023516,0.00735271631512504,-0.0784295,-0.0869185,0.00848899999999998
0.45,"neutral","legacy",60,0.338274564680005,0.168818908801424,0.169455655878581,0.184697076322692,0.0659072791369201,0.118789797185772,0.00535472838313285,-0.114696,-0.1318215,0.0171255
0.45,"neutral","legacy",84,0.396293340984897,0.267838640994437,0.12845469999046,0.230402818620651,0.10258081982883,0.127821998791822,0.00445301968368438,-0.1387045,-0.162423,0.0237185
0.45,"neutral","legacy",120,0.449837248942907,0.449820101819415,1.71471234911569e-05,0.278598632845298,0.162930541239122,0.115668091606176,0.00373421370927524,-0.1610965,-0.1879945,0.0268979999999999
0.45,"neutral","transient",12,0.105282638737991,0.0258207706480135,0.0794618680899774,0.0539579428454057,0.0144853158158089,0.0394726270295968,0.0106488202074602,-0.0368455,-0.038406,0.00156050000000001
0.45,"neutral","transient",24,0.185902040188885,0.0551038214486597,0.130798218740225,0.0994351283396587,0.0276994729746292,0.0717356553650296,0.00751110982126752,-0.066083,-0.071397,0.005314
0.45,"neutral","transient",36,0.249129036982295,0.0885801013442764,0.160548935638019,0.136014780440036,0.0436912122013999,0.0923235682386365,0.00613616191067626,-0.0895525,-0.099382,0.0098295
0.45,"neutral","transient",60,0.338740498185105,0.168542490957622,0.170198007227483,0.193079922027291,0.0715064298041864,0.121573492223104,0.00480256242609722,-0.124185,-0.143105,0.01892
0.45,"neutral","transient",84,0.396747369235247,0.267705211145741,0.129042158089506,0.23867322517159,0.105607018690062,0.133066206481528,0.00411363850470284,-0.1468055,-0.1724895,0.025684
0.45,"neutral","transient",120,0.450285884857936,0.449792501951458,0.000493382906477879,0.287150324544776,0.171268571137331,0.115881753407445,0.00351573900162268,-0.167535,-0.1951215,0.0275865
0.45,"prognostic","legacy",12,0.114139920797529,0.0284911468844161,0.085648773913113,0.0651314805716363,-0.00338513945071339,0.0685166200223497,0.0190864425014648,-0.021882,-0.0235645,0.0016825
0.45,"prognostic","legacy",24,0.197401852761965,0.0605481712616207,0.136853681500344,0.133340161660649,0.0314613273602409,0.101878834300409,0.00969660304502879,-0.0507685,-0.0566445,0.00587599999999999
0.45,"prognostic","legacy",36,0.2599954983955,0.0964615323259877,0.163533966069512,0.185966184922716,0.0543415048760848,0.131624680046631,0.00718924782404889,-0.0729415,-0.084557,0.0116155
0.45,"prognostic","legacy",60,0.346382076093747,0.179610279788795,0.166771796304952,0.255340424244797,0.0949335571806619,0.160406867064135,0.00522467752161569,-0.104631,-0.127227,0.022596
0.45,"prognostic","legacy",84,0.400592840286738,0.278438967821777,0.122153872464961,0.301518293647819,0.136524331453016,0.164993962194803,0.00433898903391419,-0.125799,-0.155828,0.030029
0.45,"prognostic","legacy",120,0.44953039505673,0.449992996059875,-0.000462601003145435,0.347511646658305,0.202476950783539,0.145034695874766,0.00364649974836073,-0.1456615,-0.1780215,0.03236
0.45,"prognostic","transient",12,0.114062109349728,0.0286134314479471,0.0854486779017805,0.0857315614105056,0.0206323480229477,0.065099213387558,0.0105494528800637,-0.0355335,-0.038069,0.00253550000000001
0.45,"prognostic","transient",24,0.197448533288023,0.0606948254169738,0.136753707871049,0.151874571182077,0.0364285518864055,0.115446019295671,0.00738365471697484,-0.062425,-0.070439,0.00801399999999999
0.45,"prognostic","transient",36,0.260326020610518,0.0964431443926438,0.163882876217874,0.199924182078179,0.058614341693926,0.141309840384253,0.00599920558630212,-0.0833655,-0.097416,0.0140505
0.45,"prognostic","transient",60,0.346570834954644,0.179835757875546,0.166735077079097,0.266819534724044,0.105699559032072,0.161119975691972,0.00465019290974037,-0.1131895,-0.1381095,0.02492
0.45,"prognostic","transient",84,0.401048938999389,0.278806219285165,0.122242719714224,0.314433215885185,0.147912023627408,0.166521192257777,0.00397425597958542,-0.132796,-0.164594,0.031798
0.45,"prognostic","transient",120,0.450077507106206,0.450142543819556,-6.50367133492868e-05,0.356264020120998,0.212330518769207,0.143933501351791,0.0034238784859392,-0.15152,-0.1847975,0.0332775
0.7,"neutral","legacy",12,0.200142486347775,0.051221981851996,0.148920504495779,0.0750162804865238,0.0200394493872754,0.0549768310992483,0.0186330842278155,-0.022016,-0.0233505,0.0013345
0.7,"neutral","legacy",24,0.338714621588476,0.108010657491186,0.23070396409729,0.150561182589653,0.0426183107837368,0.107942871805916,0.00961110424800949,-0.049648,-0.056149,0.00650100000000001
0.7,"neutral","legacy",36,0.437562725311198,0.170188989630477,0.267373735680721,0.220865984933052,0.0669090623879526,0.153956922545099,0.00711723235805071,-0.0694485,-0.0832765,0.013828
0.7,"neutral","legacy",60,0.564453635977472,0.310413172594695,0.254040463382778,0.328532023561653,0.125614082484341,0.202917941077312,0.00507992611042083,-0.0943295,-0.1229885,0.028659
0.7,"neutral","legacy",84,0.638175816453872,0.466213705110271,0.171962111343601,0.399168312656739,0.187621591960936,0.211546720695803,0.00417277674717606,-0.1082915,-0.1465685,0.038277
0.7,"neutral","legacy",120,0.699948520501536,0.700293139981356,-0.000344619479820008,0.468813817877617,0.285043260524492,0.183770557353125,0.0034619693991951,-0.1187395,-0.1598965,0.041157
0.7,"neutral","transient",12,0.200230119713558,0.0510557949430278,0.14917432477053,0.10376886035313,0.0248108191021579,0.078958041250972,0.0104328439778566,-0.034897,-0.0381455,0.00324849999999999
0.7,"neutral","transient",24,0.339170235836267,0.107917813615599,0.231252422220668,0.184642067675566,0.0491323751529189,0.135509692522647,0.00728555850747195,-0.059939,-0.069565,0.00962600000000002
