"scenario","topology","strength","retention","lambda_p","lambda_d","alpha_h","rd_h","rd_all","delta_target","contribution_b","contribution_x","contribution_d","decomposition_error","retention_truth","retention_error","cor_pd_h_truth","quadrature_nodes","quadrature_error_30","quadrature_error_50","quadrature_convergence_error","quadrature_ok","rd_all_identity","rd_all_identity_error","identity_ok"
1,"noncollider",0.1,0.3,0,0.1,-0.693133116622892,-0.0363028472899577,-0.0335628331533101,-0.00274001413664764,0.00209472721479066,-0.00250683189538587,-0.00232790945605071,1.31838984174237e-16,0.299999999999982,-1.765254609154e-14,6.19368383815777e-17,40,5.20417042793042e-16,1.56819002228303e-15,1.56819002228303e-15,TRUE,-0.033562833153311,9.15933995315754e-16,TRUE
2,"concordant-collider",0.1,0.3,0.1,0.1,-0.695658288944134,-0.0362907363773384,-0.0335628331533101,-0.00272790322402833,0.00208451874448507,-0.00249525990273674,-0.00231716206577512,7.28583859910259e-17,0.299999999999982,-1.80966353013901e-14,-0.00684072691658038,40,1.73472347597681e-16,1.56819002228303e-15,1.56819002228303e-15,TRUE,-0.033562833153311,9.15933995315754e-16,TRUE
3,"discordant-collider",0.1,0.3,0.1,-0.1,-0.695658288944134,-0.0317419854013284,-0.0335628331533101,0.00182084775198168,0.00199543437429287,-0.00246071469458611,0.00228612807227654,1.94289029309402e-16,0.299999999999983,-1.72084568816899e-14,0.00684072691658023,40,6.93889390390723e-16,1.56819002228303e-15,1.56819002228303e-15,TRUE,-0.033562833153311,9.15933995315754e-16,TRUE
4,"noncollider",0.45,0.3,0,0.45,-0.739848190292459,-0.0438716982826388,-0.0335628331533101,-0.0103088651293287,0.00203186974799054,-0.00239484797291,-0.00994588690440895,1.35308431126191e-16,0.299999999999995,-5.38458166943201e-15,-7.47737996411429e-17,40,8.11850586757146e-16,1.9220736113823e-15,1.9220736113823e-15,TRUE,-0.033562833153311,9.15933995315754e-16,TRUE
5,"concordant-collider",0.45,0.3,0.45,0.45,-0.785295503095137,-0.0431093127137555,-0.0335628331533101,-0.00954647956044537,0.00187449347681977,-0.00221458355667202,-0.00920638948059256,6.76542155630955e-17,0.299999999999994,-6.0507154842071e-15,-0.112949912555888,40,8.32667268468867e-17,1.73472347597681e-15,1.73472347597681e-15,TRUE,-0.033562833153311,9.15933995315754e-16,TRUE
6,"discordant-collider",0.45,0.3,0.45,-0.45,-0.785295503095137,-0.0253455118209411,-0.0335628331533101,0.00821732133236905,0.00157563560417446,-0.00209229105563715,0.00873397678383325,6.2450045135165e-17,0.299999999999983,-1.66533453693773e-14,0.112949912555887,40,3.64291929955129e-16,1.56819002228303e-15,1.56819002228303e-15,TRUE,-0.033562833153311,9.15933995315754e-16,TRUE
7,"noncollider",1.1,0.3,0,1.1,-0.940541799420362,-0.0529619569516785,-0.0335628331533101,-0.0193991237983684,0.00156763601674875,-0.00191481257786948,-0.019051947237249,2.4980018054066e-16,0.299999999999995,-5.10702591327572e-15,4.96205024013659e-17,40,1.65908953242422e-14,4.28823643261467e-15,1.65908953242422e-14,TRUE,-0.033562833153311,9.15933995315754e-16,TRUE
8,"concordant-collider",1.1,0.3,1.1,1.1,-1.12861714281444,-0.048855251012764,-0.0335628331533101,-0.0152924178594539,0.00124473057021687,-0.00149481624442848,-0.0150423321852426,1.87350135405495e-16,0.3,-4.9960036108132e-16,-0.343248542842522,40,1.45716771982052e-15,2.41473507855972e-15,2.41473507855972e-15,TRUE,-0.033562833153311,9.15933995315754e-16,TRUE
9,"discordant-collider",1.1,0.3,1.1,-1.1,-1.12861714281444,-0.0201578848310353,-0.0335628331533101,0.0134049483222748,0.000930673843012968,-0.00135678828679068,0.0138310627660535,1.30104260698261e-16,0.299999999999992,-8.38218383591993e-15,0.343248542842514,40,1.21430643318376e-16,1.56819002228303e-15,1.56819002228303e-15,TRUE,-0.033562833153311,9.15933995315754e-16,TRUE
10,"noncollider",0.1,0.7,0,0.1,0.393133116622895,-0.0348595998566154,-0.0335628331533101,-0.00129676670330527,0.00081356058969762,-0.00109421826438305,-0.00101610902861835,-5.76795555762288e-17,0.699999999999965,-3.54161144855425e-14,5.50604117189796e-17,40,1.31838984174237e-16,1.56819002228303e-15,1.56819002228303e-15,TRUE,-0.033562833153311,9.15933995315754e-16,TRUE
11,"concordant-collider",0.1,0.7,0.1,0.1,0.395658288944137,-0.0348532499411317,-0.0335628331533101,-0.00129041678782159,0.000809980167663725,-0.00108906954665495,-0.00101132740882918,7.04731412115578e-17,0.699999999999971,-2.85327317328665e-14,-0.00470607317225572,40,6.2450045135165e-17,1.56819002228303e-15,1.56819002228303e-15,TRUE,-0.033562833153311,9.15933995315754e-16,TRUE
12,"discordant-collider",0.1,0.7,0.1,-0.1,0.395658288944137,-0.0327885687132159,-0.0335628331533101,0.00077426444009425,0.000852103257066096,-0.00109688232276765,0.00101904350579708,9.83371370444353e-17,0.699999999999969,-3.07531777821168e-14,0.0047060731722557,40,1.2490009027033e-16,1.56819002228303e-15,1.56819002228303e-15,TRUE,-0.033562833153311,9.15933995315754e-16,TRUE
13,"noncollider",0.45,0.7,0,0.45,0.439848190292461,-0.0380610388679735,-0.0335628331533101,-0.00449820571466338,0.000676954614149168,-0.00100150156804937,-0.00417365876076196,1.58727198051878e-16,0.699999999999972,-2.83106871279415e-14,-4.64327720907702e-17,40,2.77555756156289e-16,1.56819002228303e-15,1.56819002228303e-15,TRUE,-0.033562833153311,9.15933995315754e-16,TRUE
14,"concordant-collider",0.45,0.7,0.45,0.45,0.485295503095138,-0.0377256629164887,-0.0335628331533101,-0.00416282976317864,0.000636995805817745,-0.000928671603156815,-0.00387115396583844,8.23993651088983e-17,0.699999999999973,-2.69784194983913e-14,-0.0752411787947816,40,3.40005801291454e-16,1.56819002228303e-15,1.56819002228303e-15,TRUE,-0.033562833153311,9.15933995315754e-16,TRUE
15,"discordant-collider",0.45,0.7,0.45,-0.45,0.485295503095138,-0.0297454724398141,-0.0335628331533101,0.00381736071349604,0.000776854419086135,-0.000960477914123234,0.00400098420853369,1.24032728532342e-16,0.699999999999982,-1.83186799063151e-14,0.0752411787947816,40,3.98986399474666e-16,1.56819002228303e-15,1.56819002228303e-15,TRUE,-0.033562833153311,9.15933995315754e-16,TRUE
16,"noncollider",1.1,0.7,0,1.1,0.640541799420324,-0.0413872089010204,-0.0335628331533101,-0.00782437574771026,0.000434834606688706,-0.000737610230514649,-0.00752160012388295,2.23779328401008e-16,0.699999999999961,-3.8968828164343e-14,-7.11473146656208e-17,40,4.05925293378573e-15,1.56819002228303e-15,4.05925293378573e-15,TRUE,-0.033562833153311,9.15933995315754e-16,TRUE
17,"concordant-collider",1.1,0.7,1.1,1.1,0.828617142814442,-0.0398539600553538,-0.0335628331533101,-0.00629112690204368,0.000380756043392149,-0.000596699902215556,-0.00607518304321926,1.17961196366423e-16,0.69999999999997,-2.94209101525666e-14,-0.213913477986751,40,1.0547118733939e-15,1.80411241501588e-15,1.80411241501588e-15,TRUE,-0.033562833153311,9.15933995315754e-16,TRUE
