"scenario","topology","strength","retention","view","method","available","truth","bias","bias_mcse","abs_bias","mse","mse_mcse","empse","empse_mcse","modse","modse_mcse","relerror_modse","relerror_modse_mcse","coverage","coverage_mcse","bias_eliminated_coverage","bias_eliminated_coverage_mcse","rejection","rejection_mcse","convergence","failure_rate","n_used","n_attempted","mean_min_ps","mean_max_weight","mean_ess","mean_selected_n","mean_treatment_prevalence","mean_outcome_risk","mean_cor_pd_selected","warning_rate","unresolved_rate"
1,"noncollider",0.1,0.3,"full","minimal",TRUE,-0.0363028472899577,0.000616306024509135,0.000483024317033087,0.000616306024509135,0.000466771502315562,1.52692544683639e-05,0.0216015041534279,0.000341635189528249,0.0218298655243971,1.55744638764701e-05,1.05715495248511,1.59987893656844,0.9485,0.00494205169944629,0.9485,0.00494205169944629,0.365,0.0107651056659933,1,0,2000,2000,0.184049104475798,4.80448603190458,1135.20987031967,1199.899,0.533734435215575,0.175784646801427,-0.000452242204903325,0,0
1,"noncollider",0.1,0.3,"full","role_based",TRUE,-0.0363028472899577,0.000148197479551207,0.000521331799170622,0.000148197479551207,0.000543323865301073,1.87766610538137e-05,0.0233146668355556,0.000368729444328489,0.0229831010778184,7.47863573633384e-05,-1.42213380133526,1.59169951700953,0.9455,0.00507591124823908,0.9455,0.00507591124823908,0.349,0.0106583066197215,1,0,2000,2000,0.0155925988145984,19.7627355772004,860.054772351864,1199.899,0.533734435215575,0.175784646801427,-0.000452242204903325,0,0
1,"noncollider",0.1,0.3,"full","all_measured",TRUE,-0.0363028472899577,0.000257593392308325,0.000529113248176023,0.000257593392308325,0.000559708052317129,1.95277116747241e-05,0.0236626638143461,0.000374233135782562,0.0230119775845994,9.39286246592847e-05,-2.74984352924853,1.58844239900641,0.9425,0.00520546587732549,0.9425,0.00520546587732549,0.353,0.0106862294566419,1,0,2000,2000,0.0138820252313175,20.8388372473246,844.027135740402,1199.899,0.533734435215575,0.175784646801427,-0.000452242204903325,0,0
1,"noncollider",0.1,0.3,"full","oracle",TRUE,-0.0363028472899577,0.000167743257604332,0.000523420625404135,0.000167743257604332,0.000547692470846285,1.9231148975932e-05,0.023408081984582,0.000370206836917254,0.0230276477521907,8.82889008837381e-05,-1.62522599092847,1.60089618967314,0.9455,0.00507591124823908,0.9465,0.00503178646208283,0.349,0.0106583066197215,1,0,2000,2000,0.0153328913975628,19.9158117110117,858.352294661172,1199.899,0.533734435215575,0.175784646801427,-0.000452242204903325,0,0
1,"noncollider",0.1,0.3,"full","broad",TRUE,-0.0335628331533101,-0.000100493491394439,0.000246827238885036,0.000100493491394439,0.000121796546967178,3.7473529660958e-06,0.0110384496969104,0.00017457686407007,0.0109227960364006,4.51933517203345e-06,-1.04773463380651,1.56549943750019,0.9535,0.00470838348055891,0.953,0.00473238840333293,0.865,0.00764117137617002,1,0,2000,2000,0.155776589173883,5.56231950847621,3778.78332843456,1199.899,0.533734435215575,0.175784646801427,-0.000452242204903325,0,0
1,"noncollider",0.1,0.3,"full","policy",TRUE,-0.0363028472899577,0.000616306024509135,0.000483024317033087,0.000616306024509135,0.000466771502315562,1.52692544683639e-05,0.0216015041534279,0.000341635189528249,0.0218298655243971,1.55744638764701e-05,1.05715495248511,1.59987893656844,0.9485,0.00494205169944629,0.9485,0.00494205169944629,0.365,0.0107651056659933,1,0,2000,2000,0.184049104475798,4.80448603190458,1135.20987031967,1199.899,0.533734435215575,0.175784646801427,-0.000452242204903325,0,0
1,"noncollider",0.1,0.3,"full","pooled_all",TRUE,-0.0363028472899577,3.23460335190651e-05,0.000359452661426392,3.23460335190651e-05,0.000258284271663112,8.3557240209057e-06,0.0160752117128526,0.00025423498110226,0.0164474000348152,0.000119040601841773,2.31529343818886,1.7795471296143,0.9535,0.00470838348055891,0.9535,0.00470838348055891,0.602,0.0109452272703677,1,0,2000,2000,0.0106402280471821,25.0728856804932,1696.85842188739,1199.899,0.533734435215575,0.175784646801427,-0.000452242204903325,0,0
1,"noncollider",0.1,0.3,"reduced","minimal",TRUE,-0.0363028472899577,0.000616306024509135,0.000483024317033087,0.000616306024509135,0.000466771502315562,1.52692544683639e-05,0.0216015041534279,0.000341635189528249,0.0218298655243971,1.55744638764701e-05,1.05715495248511,1.59987893656844,0.9485,0.00494205169944629,0.9485,0.00494205169944629,0.365,0.0107651056659933,1,0,2000,2000,0.184049104475798,4.80448603190458,1135.20987031967,1199.899,0.533734435215575,0.175784646801427,-0.000452242204903325,0,0
1,"noncollider",0.1,0.3,"reduced","role_based",FALSE,-0.0363028472899577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2000,NA,NA,NA,1199.899,0.533734435215575,0.175784646801427,-0.000452242204903325,0,0
1,"noncollider",0.1,0.3,"reduced","all_measured",TRUE,-0.0363028472899577,0.000559236744203342,0.000484725832713731,0.000559236744203342,0.000469996052403207,1.5357553651757e-05,0.0216775982479619,0.000342838643705489,0.0218289269322206,1.60050354414993e-05,0.698087871763686,1.5942852812011,0.949,0.00491929873051028,0.95,0.00487339717240448,0.366,0.0107713508902087,1,0,2000,2000,0.162708464325306,5.26575246250324,1125.66814598002,1199.899,0.533734435215575,0.175784646801427,-0.000452242204903325,0,0
1,"noncollider",0.1,0.3,"reduced","oracle",TRUE,-0.0363028472899577,0.000167743257604332,0.000523420625404135,0.000167743257604332,0.000547692470846285,1.9231148975932e-05,0.023408081984582,0.000370206836917254,0.0230276477521907,8.82889008837381e-05,-1.62522599092847,1.60089618967314,0.9455,0.00507591124823908,0.9465,0.00503178646208283,0.349,0.0106583066197215,1,0,2000,2000,0.0153328913975628,19.9158117110117,858.352294661172,1199.899,0.533734435215575,0.175784646801427,-0.000452242204903325,0,0
