"candidate_1","candidate_2","correlation","scenario"
"c60-h36","c55-h60",0.666762767589124,7
"c55-h36","c50-h36",0.907245035751421,7
"c55-h60","c50-h36",0.716485113675592,7
"c50-h36","c50-h36",1,7
"c50-h60","c50-h36",0.778453953649099,7
"c45-h48","c50-h36",0.819469922006735,7
"c45-h60","c50-h36",0.733157774403629,7
"c60-h60","c50-h36",0.601847746907015,7
"c55-h24","c50-h36",0.736848000880439,7
"c55-h48","c50-h36",0.787292357016648,7
"c50-h24","c50-h36",0.804074863098155,7
"c50-h48","c50-h36",0.868211394617004,7
"c45-h24","c50-h36",0.755874872532659,7
"c45-h36","c50-h36",0.942898944221448,7
"c60-h48","c50-h36",0.656934906098412,7
"c60-h24","c50-h36",0.613537425138773,7
"c60-h36","c50-h36",0.765204348618946,7
"c55-h36","c50-h60",0.707387749139615,7
"c55-h60","c50-h60",0.906436441062091,7
"c50-h36","c50-h60",0.778453953649099,7
"c50-h60","c50-h60",1,7
"c45-h48","c50-h60",0.837326163328779,7
"c45-h60","c50-h60",0.940754974849274,7
"c60-h60","c50-h60",0.77093195115162,7
"c55-h24","c50-h60",0.584213665501304,7
"c55-h48","c50-h60",0.801678269781046,7
"c50-h24","c50-h60",0.633750895909912,7
"c50-h48","c50-h60",0.89088079022154,7
"c45-h24","c50-h60",0.593185910083169,7
"c45-h36","c50-h60",0.725739924542243,7
"c60-h48","c50-h60",0.680374891026968,7
"c60-h24","c50-h60",0.485548193960674,7
"c60-h36","c50-h60",0.603357097349032,7
"c55-h36","c45-h48",0.749434736788042,7
"c55-h60","c45-h48",0.767666838787467,7
"c50-h36","c45-h48",0.819469922006735,7
"c50-h60","c45-h48",0.837326163328779,7
"c45-h48","c45-h48",1,7
"c45-h60","c45-h48",0.890547481420696,7
"c60-h60","c45-h48",0.650812648670579,7
"c55-h24","c45-h48",0.613214011393661,7
"c55-h48","c45-h48",0.852918861288223,7
"c50-h24","c45-h48",0.662056422301314,7
"c50-h48","c45-h48",0.942679175524228,7
"c45-h24","c45-h48",0.696890645897747,7
"c45-h36","c45-h48",0.862492868707282,7
"c60-h48","c45-h48",0.72177016054907,7
"c60-h24","c45-h48",0.517405440301052,7
"c60-h36","c45-h48",0.638055587624023,7
"c55-h36","c45-h60",0.666680132252445,7
"c55-h60","c45-h60",0.853807517599294,7
"c50-h36","c45-h60",0.733157774403629,7
"c50-h60","c45-h60",0.940754974849274,7
"c45-h48","c45-h60",0.890547481420696,7
"c45-h60","c45-h60",1,7
"c60-h60","c45-h60",0.72834379169323,7
"c55-h24","c45-h60",0.552970298452901,7
"c55-h48","c45-h60",0.756897282475689,7
"c50-h24","c45-h60",0.600679522006053,7
"c50-h48","c45-h60",0.839856379391267,7
"c45-h24","c45-h60",0.631077117111696,7
"c45-h36","c45-h60",0.771236152445528,7
"c60-h48","c45-h60",0.644167713016487,7
"c60-h24","c45-h60",0.465612096002587,7
"c60-h36","c45-h60",0.571334541646459,7
"c55-h36","c60-h60",0.661022902114368,7
"c55-h60","c60-h60",0.847771148411859,7
"c50-h36","c60-h60",0.601847746907015,7
"c50-h60","c60-h60",0.77093195115162,7
"c45-h48","c60-h60",0.650812648670579,7
"c45-h60","c60-h60",0.72834379169323,7
"c60-h60","c60-h60",1,7
"c55-h24","c60-h60",0.558497369274013,7
"c55-h48","c60-h60",0.756003675515147,7
"c50-h24","c60-h60",0.50914990272977,7
"c50-h48","c60-h60",0.691199655729443,7
"c45-h24","c60-h60",0.471081062468465,7
"c45-h36","c60-h60",0.55878353669362,7
"c60-h48","c60-h60",0.891768921171244,7
"c60-h24","c60-h60",0.643867839261984,7
"c60-h36","c60-h60",0.77599874407802,7
"c55-h36","c55-h24",0.812121564107686,7
"c55-h60","c55-h24",0.655087447539478,7
"c50-h36","c55-h24",0.736848000880439,7
"c50-h60","c55-h24",0.584213665501304,7
"c45-h48","c55-h24",0.613214011393661,7
"c45-h60","c55-h24",0.552970298452901,7
"c60-h60","c55-h24",0.558497369274013,7
"c55-h24","c55-h24",1,7
"c55-h48","c55-h24",0.716399880686157,7
"c50-h24","c55-h24",0.905238745334446,7
"c50-h48","c55-h24",0.649220107368434,7
"c45-h24","c55-h24",0.851824090773256,7
"c45-h36","c55-h24",0.693324675054776,7
"c60-h48","c55-h24",0.601728053188915,7
"c60-h24","c55-h24",0.83892285618009,7
"c60-h36","c55-h24",0.687209717568793,7
"c55-h36","c55-h48",0.873029951270105,7
"c55-h60","c55-h48",0.896914124573439,7
"c50-h36","c55-h48",0.787292357016648,7
"c50-h60","c55-h48",0.801678269781046,7
"c45-h48","c55-h48",0.852918861288223,7
"c45-h60","c55-h48",0.756897282475689,7
"c60-h60","c55-h48",0.756003675515147,7
"c55-h24","c55-h48",0.716399880686157,7
"c55-h48","c55-h48",1,7
"c50-h24","c55-h48",0.639478472959989,7
"c50-h48","c55-h48",0.905278333945901,7
"c45-h24","c55-h48",0.599260489395511,7
"c45-h36","c55-h48",0.737424154437104,7
"c60-h48","c55-h48",0.845145968005917,7
"c60-h24","c55-h48",0.597659169048861,7
"c60-h36","c55-h48",0.738183118824575,7
"c55-h36","c50-h24",0.730723924788097,7
"c55-h60","c50-h24",0.591761807042622,7
"c50-h36","c50-h24",0.804074863098155,7
"c50-h60","c50-h24",0.633750895909912,7
"c45-h48","c50-h24",0.662056422301314,7
"c45-h60","c50-h24",0.600679522006053,7
"c60-h60","c50-h24",0.50914990272977,7
"c55-h24","c50-h24",0.905238745334446,7
"c55-h48","c50-h24",0.639478472959989,7
"c50-h24","c50-h24",1,7
"c50-h48","c50-h24",0.699201368742036,7
"c45-h24","c50-h24",0.944949527325856,7
"c45-h36","c50-h24",0.758520221421809,7
"c60-h48","c50-h24",0.537717902245856,7
"c60-h24","c50-h24",0.762198809725156,7
"c60-h36","c50-h24",0.620947521492056,7
"c55-h36","c50-h48",0.794992031583037,7
"c55-h60","c50-h48",0.817865478004519,7
"c50-h36","c50-h48",0.868211394617004,7
"c50-h60","c50-h48",0.89088079022154,7
"c45-h48","c50-h48",0.942679175524228,7
"c45-h60","c50-h48",0.839856379391267,7
"c60-h60","c50-h48",0.691199655729443,7
"c55-h24","c50-h48",0.649220107368434,7
"c55-h48","c50-h48",0.905278333945901,7
"c50-h24","c50-h48",0.699201368742036,7
"c50-h48","c50-h48",1,7
"c45-h24","c50-h48",0.654984563072746,7
"c45-h36","c50-h48",0.812245551306363,7
"c60-h48","c50-h48",0.765433528780971,7
"c60-h24","c50-h48",0.54341530278256,7
"c60-h36","c50-h48",0.676652078646502,7
"c55-h36","c45-h24",0.686335616311942,7
"c55-h60","c45-h24",0.552006455570091,7
"c50-h36","c45-h24",0.755874872532659,7
"c50-h60","c45-h24",0.593185910083169,7
"c45-h48","c45-h24",0.696890645897747,7
"c45-h60","c45-h24",0.631077117111696,7
"c60-h60","c45-h24",0.471081062468465,7
"c55-h24","c45-h24",0.851824090773256,7
"c55-h48","c45-h24",0.599260489395511,7
"c50-h24","c45-h24",0.944949527325856,7
"c50-h48","c45-h24",0.654984563072746,7
"c45-h24","c45-h24",1,7
"c45-h36","c45-h24",0.802157349754436,7
"c60-h48","c45-h24",0.499585582098589,7
"c60-h24","c45-h24",0.719116003040637,7
"c60-h36","c45-h24",0.57959445955279,7
"c55-h36","c45-h36",0.855906643227358,7
"c55-h60","c45-h36",0.667254603897995,7
"c50-h36","c45-h36",0.942898944221448,7
"c50-h60","c45-h36",0.725739924542243,7
"c45-h48","c45-h36",0.862492868707282,7
"c45-h60","c45-h36",0.771236152445528,7
"c60-h60","c45-h36",0.55878353669362,7
"c55-h24","c45-h36",0.693324675054776,7
"c55-h48","c45-h36",0.737424154437104,7
"c50-h24","c45-h36",0.758520221421809,7
"c50-h48","c45-h36",0.812245551306363,7
"c45-h24","c45-h36",0.802157349754436,7
"c45-h36","c45-h36",1,7
"c60-h48","c45-h36",0.61250251014927,7
"c60-h24","c45-h36",0.580326160346548,7
"c60-h36","c45-h36",0.721092489958183,7
"c55-h36","c60-h48",0.73229280672987,7
"c55-h60","c60-h48",0.758852857914145,7
"c50-h36","c60-h48",0.656934906098412,7
"c50-h60","c60-h48",0.680374891026968,7
"c45-h48","c60-h48",0.72177016054907,7
"c45-h60","c60-h48",0.644167713016487,7
"c60-h60","c60-h48",0.891768921171244,7
"c55-h24","c60-h48",0.601728053188915,7
"c55-h48","c60-h48",0.845145968005917,7
"c50-h24","c60-h48",0.537717902245856,7
"c50-h48","c60-h48",0.765433528780971,7
"c45-h24","c60-h48",0.499585582098589,7
"c45-h36","c60-h48",0.61250251014927,7
"c60-h48","c60-h48",1,7
"c60-h24","c60-h48",0.707761243836298,7
"c60-h36","c60-h48",0.864943842976398,7
"c55-h36","c60-h24",0.677335720860861,7
"c55-h60","c60-h24",0.543351221514959,7
"c50-h36","c60-h24",0.613537425138773,7
"c50-h60","c60-h24",0.485548193960674,7
"c45-h48","c60-h24",0.517405440301052,7
"c45-h60","c60-h24",0.465612096002587,7
"c60-h60","c60-h24",0.643867839261984,7
"c55-h24","c60-h24",0.83892285618009,7
"c55-h48","c60-h24",0.597659169048861,7
"c50-h24","c60-h24",0.762198809725156,7
"c50-h48","c60-h24",0.54341530278256,7
"c45-h24","c60-h24",0.719116003040637,7
"c45-h36","c60-h24",0.580326160346548,7
"c60-h48","c60-h24",0.707761243836298,7
"c60-h24","c60-h24",1,7
"c60-h36","c60-h24",0.814211145593646,7
"c55-h36","c60-h36",0.842914777869504,7
"c55-h60","c60-h36",0.666762767589124,7
"c50-h36","c60-h36",0.765204348618946,7
"c50-h60","c60-h36",0.603357097349032,7
"c45-h48","c60-h36",0.638055587624023,7
"c45-h60","c60-h36",0.571334541646459,7
"c60-h60","c60-h36",0.77599874407802,7
"c55-h24","c60-h36",0.687209717568793,7
"c55-h48","c60-h36",0.738183118824575,7
"c50-h24","c60-h36",0.620947521492056,7
"c50-h48","c60-h36",0.676652078646502,7
"c45-h24","c60-h36",0.57959445955279,7
"c45-h36","c60-h36",0.721092489958183,7
"c60-h48","c60-h36",0.864943842976398,7
"c60-h24","c60-h36",0.814211145593646,7
"c60-h36","c60-h36",1,7
"c50-h60","c50-h60",1,8
"c55-h60","c50-h60",0.907007883010988,8
"c50-h36","c50-h60",0.779141740193034,8
"c55-h36","c50-h60",0.71721727701359,8
"c45-h60","c50-h60",0.944062625221944,8
"c60-h60","c50-h60",0.770018027459809,8
"c55-h24","c50-h60",0.587464993174178,8
"c55-h48","c50-h60",0.812856765187419,8
"c60-h24","c50-h60",0.505848844697987,8
"c60-h36","c50-h60",0.614703690792088,8
"c60-h48","c50-h60",0.696816922962437,8
"c50-h48","c50-h60",0.89271109247773,8
"c45-h24","c50-h60",0.617922464652151,8
"c45-h36","c50-h60",0.74117178540598,8
"c50-h24","c50-h60",0.648356500957837,8
"c45-h48","c50-h60",0.845642526341089,8
"c50-h60","c55-h60",0.907007883010988,8
"c55-h60","c55-h60",1,8
