"scenario","n","event_target","K","effect","candidate","coverage","coverage_mcse","failure_probability","failure_mcse","truth_mcse","truth_draws","n_attempted","pass","gate_z","coverage_lower_fw","coverage_upper_fw","failure_lower_fw","pass_replication_gate"
31,4000,35,16,"heterogeneous","c45-h36",0.947,0.0050095408971282,0,0,1.7207461808714e-06,2000000,2000,TRUE,3.8101386306166,0.924489782083104,0.963067811722128,0,TRUE
32,8000,35,16,"heterogeneous","c45-h36",0.955,0.00463546114210873,0,0,8.13151367122658e-07,2000000,2000,TRUE,3.8101386306166,0.933820298399351,0.969621995071299,0,TRUE
33,4000,70,16,"heterogeneous","c45-h36",0.9465,0.00503178646208283,0,0,3.24082204588544e-06,2000000,2000,TRUE,3.8101386306166,0.923910712079677,0.962654087996466,0,TRUE
34,8000,70,16,"heterogeneous","c45-h36",0.9495,0.00489641450451246,0,0,1.66212109809439e-06,2000000,2000,TRUE,3.8101386306166,0.927391986168346,0.96512957628233,0,TRUE
35,4000,140,16,"heterogeneous","c45-h36",0.954,0.00468422885862764,0,0,5.78400306440653e-06,2000000,2000,TRUE,3.8101386306166,0.932646769371872,0.968809936640601,0,TRUE
36,8000,140,16,"heterogeneous","c45-h36",0.9485,0.00494205169944629,0,0,3.51953186356696e-06,2000000,2000,TRUE,3.8101386306166,0.926229709613639,0.964306265378858,0,TRUE
7,4000,35,16,"null","c45-h48",0.952,0.00477995815881269,0,0,0,2000000,2000,TRUE,3.8101386306166,0.930306189622984,0.967179341473134,0,TRUE
8,8000,35,16,"null","c45-h48",0.9545,0.00465992220965114,0,0,0,2000000,2000,TRUE,3.8101386306166,0.933233257227807,0.969216242513754,0,TRUE
9,4000,70,16,"null","c45-h48",0.9595,0.00440793318914885,0,0,0,2000000,2000,TRUE,3.8101386306166,0.939130041219521,0.973247395812927,0,TRUE
10,8000,70,16,"null","c45-h48",0.9515,0.00480352734977121,0,0,0,2000000,2000,TRUE,3.8101386306166,0.929722349001114,0.966770388365915,0,TRUE
11,4000,140,16,"null","c45-h48",0.9515,0.00480352734977121,0,0,0,2000000,2000,TRUE,3.8101386306166,0.929722349001114,0.966770388365915,0,TRUE
12,8000,140,16,"null","c45-h48",0.9445,0.00511955808639769,0,0,0,2000000,2000,TRUE,3.8101386306166,0.921598809400516,0.960994815759273,0,TRUE
19,4000,35,16,"homogeneous","c45-h48",0.9455,0.00507591124823908,0,0,1.91453150087853e-06,2000000,2000,TRUE,3.8101386306166,0.922753896284858,0.961825316333108,0,TRUE
20,8000,35,16,"homogeneous","c45-h48",0.948,0.00496467521596328,0,0,1.03913193936974e-06,2000000,2000,TRUE,3.8101386306166,0.925649274927366,0.963893906336043,0,TRUE
21,4000,70,16,"homogeneous","c45-h48",0.9495,0.00489641450451246,0,0,4.40357976000511e-06,2000000,2000,TRUE,3.8101386306166,0.927391986168346,0.96512957628233,0,TRUE
22,8000,70,16,"homogeneous","c45-h48",0.942,0.00522666241496426,0,0,2.00286162252839e-06,2000000,2000,TRUE,3.8101386306166,0.918718382388684,0.958911274125662,0,TRUE
23,4000,140,16,"homogeneous","c45-h48",0.9515,0.00480352734977121,0,0,6.93804654435099e-06,2000000,2000,TRUE,3.8101386306166,0.929722349001114,0.966770388365915,0,TRUE
24,8000,140,16,"homogeneous","c45-h48",0.9565,0.00456112650559048,0,0,4.04113168910649e-06,2000000,2000,TRUE,3.8101386306166,0.935584827435569,0.970835847222347,0,TRUE
31,4000,35,16,"heterogeneous","c45-h48",0.9435,0.00516273909857936,0,0,2.27590225683921e-06,2000000,2000,TRUE,3.8101386306166,0.92044540903839,0.960162628663222,0,TRUE
32,8000,35,16,"heterogeneous","c45-h48",0.948,0.00496467521596328,0,0,1.07951693952118e-06,2000000,2000,TRUE,3.8101386306166,0.925649274927366,0.963893906336043,0,TRUE
