"scenario","n","event_target","K","effect","method","selector","mean_target_movement","probability_abs_gt_001"
18,8000,140,4,"homogeneous","bonferroni","outcome_blinded",0.00122487925069772,0
19,4000,35,16,"homogeneous","bonferroni","outcome_blinded",0.00112868033632588,0
20,8000,35,16,"homogeneous","bonferroni","outcome_blinded",0.000570945970507725,0
21,4000,70,16,"homogeneous","bonferroni","outcome_blinded",0.00214386129228982,0
22,8000,70,16,"homogeneous","bonferroni","outcome_blinded",0.00111159256637721,0
23,4000,140,16,"homogeneous","bonferroni","outcome_blinded",0.0040326253508991,0
24,8000,140,16,"homogeneous","bonferroni","outcome_blinded",0.00215041289352292,0
25,4000,35,4,"heterogeneous","bonferroni","outcome_blinded",-0.000707193592166307,0
26,8000,35,4,"heterogeneous","bonferroni","outcome_blinded",-0.000353376054713653,0
27,4000,70,4,"heterogeneous","bonferroni","outcome_blinded",-0.0013956699916947,0
28,8000,70,4,"heterogeneous","bonferroni","outcome_blinded",-0.00072626293791096,0
29,4000,140,4,"heterogeneous","bonferroni","outcome_blinded",-0.00278681769130786,0
30,8000,140,4,"heterogeneous","bonferroni","outcome_blinded",-0.0013966485886375,0
31,4000,35,16,"heterogeneous","bonferroni","outcome_blinded",-0.00110432106690451,0
32,8000,35,16,"heterogeneous","bonferroni","outcome_blinded",-0.000543514592462427,0
33,4000,70,16,"heterogeneous","bonferroni","outcome_blinded",-0.0021542525512409,0
34,8000,70,16,"heterogeneous","bonferroni","outcome_blinded",-0.00110710870232235,0
35,4000,140,16,"heterogeneous","bonferroni","outcome_blinded",-0.00433173710473204,0
36,8000,140,16,"heterogeneous","bonferroni","outcome_blinded",-0.00221460458848789,0
1,4000,35,4,"null","naive","outcome_blinded",0,0
2,8000,35,4,"null","naive","outcome_blinded",0,0
3,4000,70,4,"null","naive","outcome_blinded",0,0
4,8000,70,4,"null","naive","outcome_blinded",0,0
5,4000,140,4,"null","naive","outcome_blinded",0,0
6,8000,140,4,"null","naive","outcome_blinded",0,0
7,4000,35,16,"null","naive","outcome_blinded",0,0
8,8000,35,16,"null","naive","outcome_blinded",0,0
9,4000,70,16,"null","naive","outcome_blinded",0,0
10,8000,70,16,"null","naive","outcome_blinded",0,0
11,4000,140,16,"null","naive","outcome_blinded",0,0
12,8000,140,16,"null","naive","outcome_blinded",0,0
13,4000,35,4,"homogeneous","naive","outcome_blinded",0.000636605074147778,0
14,8000,35,4,"homogeneous","naive","outcome_blinded",0.000327949835203043,0
15,4000,70,4,"homogeneous","naive","outcome_blinded",0.00121808884805584,0
16,8000,70,4,"homogeneous","naive","outcome_blinded",0.000629925026764284,0
17,4000,140,4,"homogeneous","naive","outcome_blinded",0.00218532374329676,0
18,8000,140,4,"homogeneous","naive","outcome_blinded",0.00122487925069772,0
19,4000,35,16,"homogeneous","naive","outcome_blinded",0.00112868033632588,0
20,8000,35,16,"homogeneous","naive","outcome_blinded",0.000570945970507725,0
21,4000,70,16,"homogeneous","naive","outcome_blinded",0.00214386129228982,0
22,8000,70,16,"homogeneous","naive","outcome_blinded",0.00111159256637721,0
23,4000,140,16,"homogeneous","naive","outcome_blinded",0.0040326253508991,0
24,8000,140,16,"homogeneous","naive","outcome_blinded",0.00215041289352292,0
25,4000,35,4,"heterogeneous","naive","outcome_blinded",-0.000707193592166307,0
26,8000,35,4,"heterogeneous","naive","outcome_blinded",-0.000353376054713653,0
27,4000,70,4,"heterogeneous","naive","outcome_blinded",-0.0013956699916947,0
28,8000,70,4,"heterogeneous","naive","outcome_blinded",-0.00072626293791096,0
29,4000,140,4,"heterogeneous","naive","outcome_blinded",-0.00278681769130786,0
30,8000,140,4,"heterogeneous","naive","outcome_blinded",-0.0013966485886375,0
31,4000,35,16,"heterogeneous","naive","outcome_blinded",-0.00110432106690451,0
32,8000,35,16,"heterogeneous","naive","outcome_blinded",-0.000543514592462426,0
33,4000,70,16,"heterogeneous","naive","outcome_blinded",-0.00215425255124091,0
34,8000,70,16,"heterogeneous","naive","outcome_blinded",-0.00110710870232234,0
35,4000,140,16,"heterogeneous","naive","outcome_blinded",-0.00433173710473205,0
36,8000,140,16,"heterogeneous","naive","outcome_blinded",-0.00221460458848789,0
1,4000,35,4,"null","bonferroni","prognostic_high",0,0
2,8000,35,4,"null","bonferroni","prognostic_high",0,0
3,4000,70,4,"null","bonferroni","prognostic_high",0,0
4,8000,70,4,"null","bonferroni","prognostic_high",0,0
5,4000,140,4,"null","bonferroni","prognostic_high",0,0
6,8000,140,4,"null","bonferroni","prognostic_high",0,0
7,4000,35,16,"null","bonferroni","prognostic_high",0,0
8,8000,35,16,"null","bonferroni","prognostic_high",0,0
9,4000,70,16,"null","bonferroni","prognostic_high",0,0
10,8000,70,16,"null","bonferroni","prognostic_high",0,0
11,4000,140,16,"null","bonferroni","prognostic_high",0,0
12,8000,140,16,"null","bonferroni","prognostic_high",0,0
13,4000,35,4,"homogeneous","bonferroni","prognostic_high",0.000785839618962958,0
14,8000,35,4,"homogeneous","bonferroni","prognostic_high",0.000369683835206594,0
15,4000,70,4,"homogeneous","bonferroni","prognostic_high",0.00115471718640285,0
16,8000,70,4,"homogeneous","bonferroni","prognostic_high",0.000591218103421816,0
17,4000,140,4,"homogeneous","bonferroni","prognostic_high",0.00186285514119919,0.0055
18,8000,140,4,"homogeneous","bonferroni","prognostic_high",0.000961435590110436,0
19,4000,35,16,"homogeneous","bonferroni","prognostic_high",0.000775384197248791,0
20,8000,35,16,"homogeneous","bonferroni","prognostic_high",0.000392042923145278,0
21,4000,70,16,"homogeneous","bonferroni","prognostic_high",0.00109205777232966,0
22,8000,70,16,"homogeneous","bonferroni","prognostic_high",0.00056023603204142,0
23,4000,140,16,"homogeneous","bonferroni","prognostic_high",0.00159503898495568,0.0035
24,8000,140,16,"homogeneous","bonferroni","prognostic_high",0.000829403835493355,0
25,4000,35,4,"heterogeneous","bonferroni","prognostic_high",-0.000421118492980178,0
26,8000,35,4,"heterogeneous","bonferroni","prognostic_high",-0.000216181411134104,0
27,4000,70,4,"heterogeneous","bonferroni","prognostic_high",-0.000934284824516187,0
28,8000,70,4,"heterogeneous","bonferroni","prognostic_high",-0.000491739212442181,0
29,4000,140,4,"heterogeneous","bonferroni","prognostic_high",-0.00199432579426349,0
30,8000,140,4,"heterogeneous","bonferroni","prognostic_high",-0.000979275288929909,0
31,4000,35,16,"heterogeneous","bonferroni","prognostic_high",0.000249951771697039,0
32,8000,35,16,"heterogeneous","bonferroni","prognostic_high",0.000122160330546731,0
33,4000,70,16,"heterogeneous","bonferroni","prognostic_high",0.000175250905606389,0
34,8000,70,16,"heterogeneous","bonferroni","prognostic_high",5.77510287888871e-05,0
35,4000,140,16,"heterogeneous","bonferroni","prognostic_high",-1.96050460861878e-07,0
36,8000,140,16,"heterogeneous","bonferroni","prognostic_high",7.58772888069766e-05,0
1,4000,35,4,"null","naive","prognostic_high",0,0
2,8000,35,4,"null","naive","prognostic_high",0,0
3,4000,70,4,"null","naive","prognostic_high",0,0
4,8000,70,4,"null","naive","prognostic_high",0,0
5,4000,140,4,"null","naive","prognostic_high",0,0
6,8000,140,4,"null","naive","prognostic_high",0,0
7,4000,35,16,"null","naive","prognostic_high",0,0
8,8000,35,16,"null","naive","prognostic_high",0,0
9,4000,70,16,"null","naive","prognostic_high",0,0
10,8000,70,16,"null","naive","prognostic_high",0,0
11,4000,140,16,"null","naive","prognostic_high",0,0
12,8000,140,16,"null","naive","prognostic_high",0,0
13,4000,35,4,"homogeneous","naive","prognostic_high",0.000785839618962957,0
14,8000,35,4,"homogeneous","naive","prognostic_high",0.000369683835206595,0
15,4000,70,4,"homogeneous","naive","prognostic_high",0.00115471718640285,0
16,8000,70,4,"homogeneous","naive","prognostic_high",0.000591218103421815,0
17,4000,140,4,"homogeneous","naive","prognostic_high",0.00186285514119919,0.0055
18,8000,140,4,"homogeneous","naive","prognostic_high",0.000961435590110436,0
19,4000,35,16,"homogeneous","naive","prognostic_high",0.000775384197248791,0
20,8000,35,16,"homogeneous","naive","prognostic_high",0.000392042923145278,0
21,4000,70,16,"homogeneous","naive","prognostic_high",0.00109205777232966,0
22,8000,70,16,"homogeneous","naive","prognostic_high",0.000560236032041419,0
23,4000,140,16,"homogeneous","naive","prognostic_high",0.00159503898495569,0.0035
24,8000,140,16,"homogeneous","naive","prognostic_high",0.000829403835493357,0
25,4000,35,4,"heterogeneous","naive","prognostic_high",-0.000421118492980178,0
26,8000,35,4,"heterogeneous","naive","prognostic_high",-0.000216181411134104,0
27,4000,70,4,"heterogeneous","naive","prognostic_high",-0.000934284824516186,0
28,8000,70,4,"heterogeneous","naive","prognostic_high",-0.000491739212442181,0
29,4000,140,4,"heterogeneous","naive","prognostic_high",-0.00199432579426349,0
30,8000,140,4,"heterogeneous","naive","prognostic_high",-0.000979275288929909,0
31,4000,35,16,"heterogeneous","naive","prognostic_high",0.00024995177169704,0
32,8000,35,16,"heterogeneous","naive","prognostic_high",0.000122160330546732,0
33,4000,70,16,"heterogeneous","naive","prognostic_high",0.000175250905606391,0
34,8000,70,16,"heterogeneous","naive","prognostic_high",5.77510287888854e-05,0
35,4000,140,16,"heterogeneous","naive","prognostic_high",-1.96050460852613e-07,0
36,8000,140,16,"heterogeneous","naive","prognostic_high",7.58772888069784e-05,0
1,4000,35,4,"null","split","prognostic_high",0,0
2,8000,35,4,"null","split","prognostic_high",0,0
3,4000,70,4,"null","split","prognostic_high",0,0
4,8000,70,4,"null","split","prognostic_high",0,0
5,4000,140,4,"null","split","prognostic_high",0,0
6,8000,140,4,"null","split","prognostic_high",0,0
7,4000,35,16,"null","split","prognostic_high",0,0
8,8000,35,16,"null","split","prognostic_high",0,0
9,4000,70,16,"null","split","prognostic_high",0,0
10,8000,70,16,"null","split","prognostic_high",0,0
11,4000,140,16,"null","split","prognostic_high",0,0
12,8000,140,16,"null","split","prognostic_high",0,0
13,4000,35,4,"homogeneous","split","prognostic_high",0.00104061023235262,0
14,8000,35,4,"homogeneous","split","prognostic_high",0.000499750437541558,0
15,4000,70,4,"homogeneous","split","prognostic_high",0.00150910415288828,0
16,8000,70,4,"homogeneous","split","prognostic_high",0.00076106267208702,0
17,4000,140,4,"homogeneous","split","prognostic_high",0.00221106660936401,0.0265
18,8000,140,4,"homogeneous","split","prognostic_high",0.00106852162828688,0
19,4000,35,16,"homogeneous","split","prognostic_high",0.00105057639172136,0
20,8000,35,16,"homogeneous","split","prognostic_high",0.000551690489620788,0
21,4000,70,16,"homogeneous","split","prognostic_high",0.0014111813526329,0
22,8000,70,16,"homogeneous","split","prognostic_high",0.000792949187530713,0
23,4000,140,16,"homogeneous","split","prognostic_high",0.00193690856567693,0.017
24,8000,140,16,"homogeneous","split","prognostic_high",0.001025232564796,0
25,4000,35,4,"heterogeneous","split","prognostic_high",-0.000342370218070712,0
26,8000,35,4,"heterogeneous","split","prognostic_high",-0.000169344944967246,0
27,4000,70,4,"heterogeneous","split","prognostic_high",-0.000795141729553352,0
28,8000,70,4,"heterogeneous","split","prognostic_high",-0.00042429618466248,0
29,4000,140,4,"heterogeneous","split","prognostic_high",-0.0018599964784226,0
30,8000,140,4,"heterogeneous","split","prognostic_high",-0.000906549428755749,0
31,4000,35,16,"heterogeneous","split","prognostic_high",0.000424841237713653,0
32,8000,35,16,"heterogeneous","split","prognostic_high",0.000179559406318226,0
33,4000,70,16,"heterogeneous","split","prognostic_high",0.00047152603062995,0
34,8000,70,16,"heterogeneous","split","prognostic_high",0.00020356495131354,0
35,4000,140,16,"heterogeneous","split","prognostic_high",0.000454635669574241,0
36,8000,140,16,"heterogeneous","split","prognostic_high",0.000281451410345968,0
1,4000,35,4,"null","bonferroni","prognostic_low",0,0
2,8000,35,4,"null","bonferroni","prognostic_low",0,0
3,4000,70,4,"null","bonferroni","prognostic_low",0,0
4,8000,70,4,"null","bonferroni","prognostic_low",0,0
5,4000,140,4,"null","bonferroni","prognostic_low",0,0
6,8000,140,4,"null","bonferroni","prognostic_low",0,0
7,4000,35,16,"null","bonferroni","prognostic_low",0,0
8,8000,35,16,"null","bonferroni","prognostic_low",0,0
9,4000,70,16,"null","bonferroni","prognostic_low",0,0
10,8000,70,16,"null","bonferroni","prognostic_low",0,0
11,4000,140,16,"null","bonferroni","prognostic_low",0,0
12,8000,140,16,"null","bonferroni","prognostic_low",0,0
13,4000,35,4,"homogeneous","bonferroni","prognostic_low",0.00106713284202479,0
14,8000,35,4,"homogeneous","bonferroni","prognostic_low",0.00054124418316944,0
15,4000,70,4,"homogeneous","bonferroni","prognostic_low",0.00171826930129591,0
16,8000,70,4,"homogeneous","bonferroni","prognostic_low",0.000932450937258818,0
17,4000,140,4,"homogeneous","bonferroni","prognostic_low",0.00278881685785093,0.036
18,8000,140,4,"homogeneous","bonferroni","prognostic_low",0.00141988394337191,0
19,4000,35,16,"homogeneous","bonferroni","prognostic_low",0.00136269661524001,0
20,8000,35,16,"homogeneous","bonferroni","prognostic_low",0.000706089121010158,0
21,4000,70,16,"homogeneous","bonferroni","prognostic_low",0.00233038378259699,0
22,8000,70,16,"homogeneous","bonferroni","prognostic_low",0.00115106131263153,0
23,4000,140,16,"homogeneous","bonferroni","prognostic_low",0.00389619779344917,0.029
24,8000,140,16,"homogeneous","bonferroni","prognostic_low",0.00201554465626854,0
25,4000,35,4,"heterogeneous","bonferroni","prognostic_low",-0.00043513727174185,0
26,8000,35,4,"heterogeneous","bonferroni","prognostic_low",-0.00021947159203905,0
27,4000,70,4,"heterogeneous","bonferroni","prognostic_low",-0.00109630537360831,0
28,8000,70,4,"heterogeneous","bonferroni","prognostic_low",-0.000563393833859024,0
29,4000,140,4,"heterogeneous","bonferroni","prognostic_low",-0.00254410469194439,0
30,8000,140,4,"heterogeneous","bonferroni","prognostic_low",-0.00129459430547668,0
31,4000,35,16,"heterogeneous","bonferroni","prognostic_low",-0.000129059661022155,0
32,8000,35,16,"heterogeneous","bonferroni","prognostic_low",-3.41156963062807e-05,0
33,4000,70,16,"heterogeneous","bonferroni","prognostic_low",-0.000858218447642511,0
34,8000,70,16,"heterogeneous","bonferroni","prognostic_low",-0.000416837135913385,0
