"scenario","n","event_target","K","effect","method","selector","candidate","frequency","count","denominator"
3,4000,70,4,"null","bonferroni","prognostic_high","c50-h36",0.014,28,2000
4,8000,70,4,"null","bonferroni","prognostic_high","c50-h36",0.0135,27,2000
5,4000,140,4,"null","bonferroni","prognostic_high","c50-h36",0.001,2,2000
6,8000,140,4,"null","bonferroni","prognostic_high","c50-h36",0.001,2,2000
7,4000,35,16,"null","bonferroni","prognostic_high","c50-h36",0.003,6,2000
8,8000,35,16,"null","bonferroni","prognostic_high","c50-h36",0.002,4,2000
9,4000,70,16,"null","bonferroni","prognostic_high","c50-h36",0.0015,3,2000
10,8000,70,16,"null","bonferroni","prognostic_high","c50-h36",5e-04,1,2000
11,4000,140,16,"null","bonferroni","prognostic_high","c50-h36",5e-04,1,2000
13,4000,35,4,"homogeneous","bonferroni","prognostic_high","c50-h36",0.0505,101,2000
14,8000,35,4,"homogeneous","bonferroni","prognostic_high","c50-h36",0.043,86,2000
15,4000,70,4,"homogeneous","bonferroni","prognostic_high","c50-h36",0.023,46,2000
16,8000,70,4,"homogeneous","bonferroni","prognostic_high","c50-h36",0.0215,43,2000
17,4000,140,4,"homogeneous","bonferroni","prognostic_high","c50-h36",0.0055,11,2000
18,8000,140,4,"homogeneous","bonferroni","prognostic_high","c50-h36",0.0035,7,2000
19,4000,35,16,"homogeneous","bonferroni","prognostic_high","c50-h36",0.008,16,2000
20,8000,35,16,"homogeneous","bonferroni","prognostic_high","c50-h36",0.0075,15,2000
21,4000,70,16,"homogeneous","bonferroni","prognostic_high","c50-h36",0.002,4,2000
22,8000,70,16,"homogeneous","bonferroni","prognostic_high","c50-h36",0.0045,9,2000
23,4000,140,16,"homogeneous","bonferroni","prognostic_high","c50-h36",5e-04,1,2000
25,4000,35,4,"heterogeneous","bonferroni","prognostic_high","c50-h36",0.041,82,2000
26,8000,35,4,"heterogeneous","bonferroni","prognostic_high","c50-h36",0.0235,47,2000
27,4000,70,4,"heterogeneous","bonferroni","prognostic_high","c50-h36",0.01,20,2000
28,8000,70,4,"heterogeneous","bonferroni","prognostic_high","c50-h36",0.007,14,2000
29,4000,140,4,"heterogeneous","bonferroni","prognostic_high","c50-h36",5e-04,1,2000
30,8000,140,4,"heterogeneous","bonferroni","prognostic_high","c50-h36",0.0015,3,2000
31,4000,35,16,"heterogeneous","bonferroni","prognostic_high","c50-h36",0.0045,9,2000
32,8000,35,16,"heterogeneous","bonferroni","prognostic_high","c50-h36",0.007,14,2000
33,4000,70,16,"heterogeneous","bonferroni","prognostic_high","c50-h36",0.0025,5,2000
34,8000,70,16,"heterogeneous","bonferroni","prognostic_high","c50-h36",5e-04,1,2000
1,4000,35,4,"null","naive","prognostic_high","c50-h36",0.034,68,2000
2,8000,35,4,"null","naive","prognostic_high","c50-h36",0.0355,71,2000
3,4000,70,4,"null","naive","prognostic_high","c50-h36",0.014,28,2000
4,8000,70,4,"null","naive","prognostic_high","c50-h36",0.0135,27,2000
5,4000,140,4,"null","naive","prognostic_high","c50-h36",0.001,2,2000
6,8000,140,4,"null","naive","prognostic_high","c50-h36",0.001,2,2000
7,4000,35,16,"null","naive","prognostic_high","c50-h36",0.003,6,2000
8,8000,35,16,"null","naive","prognostic_high","c50-h36",0.002,4,2000
9,4000,70,16,"null","naive","prognostic_high","c50-h36",0.0015,3,2000
10,8000,70,16,"null","naive","prognostic_high","c50-h36",5e-04,1,2000
11,4000,140,16,"null","naive","prognostic_high","c50-h36",5e-04,1,2000
13,4000,35,4,"homogeneous","naive","prognostic_high","c50-h36",0.0505,101,2000
14,8000,35,4,"homogeneous","naive","prognostic_high","c50-h36",0.043,86,2000
15,4000,70,4,"homogeneous","naive","prognostic_high","c50-h36",0.023,46,2000
16,8000,70,4,"homogeneous","naive","prognostic_high","c50-h36",0.0215,43,2000
17,4000,140,4,"homogeneous","naive","prognostic_high","c50-h36",0.0055,11,2000
18,8000,140,4,"homogeneous","naive","prognostic_high","c50-h36",0.0035,7,2000
19,4000,35,16,"homogeneous","naive","prognostic_high","c50-h36",0.008,16,2000
20,8000,35,16,"homogeneous","naive","prognostic_high","c50-h36",0.0075,15,2000
21,4000,70,16,"homogeneous","naive","prognostic_high","c50-h36",0.002,4,2000
22,8000,70,16,"homogeneous","naive","prognostic_high","c50-h36",0.0045,9,2000
23,4000,140,16,"homogeneous","naive","prognostic_high","c50-h36",5e-04,1,2000
25,4000,35,4,"heterogeneous","naive","prognostic_high","c50-h36",0.041,82,2000
26,8000,35,4,"heterogeneous","naive","prognostic_high","c50-h36",0.0235,47,2000
27,4000,70,4,"heterogeneous","naive","prognostic_high","c50-h36",0.01,20,2000
28,8000,70,4,"heterogeneous","naive","prognostic_high","c50-h36",0.007,14,2000
29,4000,140,4,"heterogeneous","naive","prognostic_high","c50-h36",5e-04,1,2000
30,8000,140,4,"heterogeneous","naive","prognostic_high","c50-h36",0.0015,3,2000
31,4000,35,16,"heterogeneous","naive","prognostic_high","c50-h36",0.0045,9,2000
32,8000,35,16,"heterogeneous","naive","prognostic_high","c50-h36",0.007,14,2000
33,4000,70,16,"heterogeneous","naive","prognostic_high","c50-h36",0.0025,5,2000
34,8000,70,16,"heterogeneous","naive","prognostic_high","c50-h36",5e-04,1,2000
1,4000,35,4,"null","split","prognostic_high","c50-h36",0.0745,149,2000
2,8000,35,4,"null","split","prognostic_high","c50-h36",0.075,150,2000
3,4000,70,4,"null","split","prognostic_high","c50-h36",0.039,78,2000
4,8000,70,4,"null","split","prognostic_high","c50-h36",0.0395,79,2000
5,4000,140,4,"null","split","prognostic_high","c50-h36",0.009,18,2000
6,8000,140,4,"null","split","prognostic_high","c50-h36",0.0085,17,2000
7,4000,35,16,"null","split","prognostic_high","c50-h36",0.0125,25,2000
8,8000,35,16,"null","split","prognostic_high","c50-h36",0.007,14,2000
9,4000,70,16,"null","split","prognostic_high","c50-h36",0.007,14,2000
10,8000,70,16,"null","split","prognostic_high","c50-h36",0.0055,11,2000
11,4000,140,16,"null","split","prognostic_high","c50-h36",0.0015,3,2000
12,8000,140,16,"null","split","prognostic_high","c50-h36",0.0015,3,2000
13,4000,35,4,"homogeneous","split","prognostic_high","c50-h36",0.104,208,2000
14,8000,35,4,"homogeneous","split","prognostic_high","c50-h36",0.095,190,2000
15,4000,70,4,"homogeneous","split","prognostic_high","c50-h36",0.0565,113,2000
16,8000,70,4,"homogeneous","split","prognostic_high","c50-h36",0.0385,77,2000
17,4000,140,4,"homogeneous","split","prognostic_high","c50-h36",0.0265,53,2000
18,8000,140,4,"homogeneous","split","prognostic_high","c50-h36",0.0155,31,2000
19,4000,35,16,"homogeneous","split","prognostic_high","c50-h36",0.0165,33,2000
20,8000,35,16,"homogeneous","split","prognostic_high","c50-h36",0.0125,25,2000
21,4000,70,16,"homogeneous","split","prognostic_high","c50-h36",0.0105,21,2000
22,8000,70,16,"homogeneous","split","prognostic_high","c50-h36",0.005,10,2000
23,4000,140,16,"homogeneous","split","prognostic_high","c50-h36",0.0025,5,2000
24,8000,140,16,"homogeneous","split","prognostic_high","c50-h36",0.002,4,2000
25,4000,35,4,"heterogeneous","split","prognostic_high","c50-h36",0.062,124,2000
26,8000,35,4,"heterogeneous","split","prognostic_high","c50-h36",0.064,128,2000
27,4000,70,4,"heterogeneous","split","prognostic_high","c50-h36",0.034,68,2000
28,8000,70,4,"heterogeneous","split","prognostic_high","c50-h36",0.026,52,2000
29,4000,140,4,"heterogeneous","split","prognostic_high","c50-h36",0.013,26,2000
30,8000,140,4,"heterogeneous","split","prognostic_high","c50-h36",0.004,8,2000
31,4000,35,16,"heterogeneous","split","prognostic_high","c50-h36",0.0055,11,2000
32,8000,35,16,"heterogeneous","split","prognostic_high","c50-h36",0.011,22,2000
33,4000,70,16,"heterogeneous","split","prognostic_high","c50-h36",0.0055,11,2000
34,8000,70,16,"heterogeneous","split","prognostic_high","c50-h36",0.0035,7,2000
35,4000,140,16,"heterogeneous","split","prognostic_high","c50-h36",0.0015,3,2000
36,8000,140,16,"heterogeneous","split","prognostic_high","c50-h36",0.001,2,2000
1,4000,35,4,"null","bonferroni","prognostic_low","c50-h36",0.1015,203,2000
2,8000,35,4,"null","bonferroni","prognostic_low","c50-h36",0.08,160,2000
3,4000,70,4,"null","bonferroni","prognostic_low","c50-h36",0.053,106,2000
4,8000,70,4,"null","bonferroni","prognostic_low","c50-h36",0.0455,91,2000
5,4000,140,4,"null","bonferroni","prognostic_low","c50-h36",0.016,32,2000
6,8000,140,4,"null","bonferroni","prognostic_low","c50-h36",0.0185,37,2000
7,4000,35,16,"null","bonferroni","prognostic_low","c50-h36",0.0125,25,2000
8,8000,35,16,"null","bonferroni","prognostic_low","c50-h36",0.019,38,2000
9,4000,70,16,"null","bonferroni","prognostic_low","c50-h36",0.009,18,2000
10,8000,70,16,"null","bonferroni","prognostic_low","c50-h36",0.005,10,2000
11,4000,140,16,"null","bonferroni","prognostic_low","c50-h36",0.0015,3,2000
12,8000,140,16,"null","bonferroni","prognostic_low","c50-h36",0.004,8,2000
13,4000,35,4,"homogeneous","bonferroni","prognostic_low","c50-h36",0.0995,199,2000
14,8000,35,4,"homogeneous","bonferroni","prognostic_low","c50-h36",0.1095,219,2000
15,4000,70,4,"homogeneous","bonferroni","prognostic_low","c50-h36",0.079,158,2000
16,8000,70,4,"homogeneous","bonferroni","prognostic_low","c50-h36",0.0765,153,2000
17,4000,140,4,"homogeneous","bonferroni","prognostic_low","c50-h36",0.036,72,2000
18,8000,140,4,"homogeneous","bonferroni","prognostic_low","c50-h36",0.028,56,2000
19,4000,35,16,"homogeneous","bonferroni","prognostic_low","c50-h36",0.018,36,2000
20,8000,35,16,"homogeneous","bonferroni","prognostic_low","c50-h36",0.0195,39,2000
21,4000,70,16,"homogeneous","bonferroni","prognostic_low","c50-h36",0.013,26,2000
22,8000,70,16,"homogeneous","bonferroni","prognostic_low","c50-h36",0.0065,13,2000
23,4000,140,16,"homogeneous","bonferroni","prognostic_low","c50-h36",0.007,14,2000
24,8000,140,16,"homogeneous","bonferroni","prognostic_low","c50-h36",0.0035,7,2000
25,4000,35,4,"heterogeneous","bonferroni","prognostic_low","c50-h36",0.0805,161,2000
26,8000,35,4,"heterogeneous","bonferroni","prognostic_low","c50-h36",0.0645,129,2000
27,4000,70,4,"heterogeneous","bonferroni","prognostic_low","c50-h36",0.036,72,2000
28,8000,70,4,"heterogeneous","bonferroni","prognostic_low","c50-h36",0.034,68,2000
29,4000,140,4,"heterogeneous","bonferroni","prognostic_low","c50-h36",0.0135,27,2000
30,8000,140,4,"heterogeneous","bonferroni","prognostic_low","c50-h36",0.0075,15,2000
31,4000,35,16,"heterogeneous","bonferroni","prognostic_low","c50-h36",0.0145,29,2000
32,8000,35,16,"heterogeneous","bonferroni","prognostic_low","c50-h36",0.0125,25,2000
33,4000,70,16,"heterogeneous","bonferroni","prognostic_low","c50-h36",0.006,12,2000
34,8000,70,16,"heterogeneous","bonferroni","prognostic_low","c50-h36",0.0045,9,2000
36,8000,140,16,"heterogeneous","bonferroni","prognostic_low","c50-h36",5e-04,1,2000
1,4000,35,4,"null","naive","prognostic_low","c50-h36",0.1015,203,2000
2,8000,35,4,"null","naive","prognostic_low","c50-h36",0.08,160,2000
3,4000,70,4,"null","naive","prognostic_low","c50-h36",0.053,106,2000
4,8000,70,4,"null","naive","prognostic_low","c50-h36",0.0455,91,2000
5,4000,140,4,"null","naive","prognostic_low","c50-h36",0.016,32,2000
6,8000,140,4,"null","naive","prognostic_low","c50-h36",0.0185,37,2000
7,4000,35,16,"null","naive","prognostic_low","c50-h36",0.0125,25,2000
8,8000,35,16,"null","naive","prognostic_low","c50-h36",0.019,38,2000
9,4000,70,16,"null","naive","prognostic_low","c50-h36",0.009,18,2000
10,8000,70,16,"null","naive","prognostic_low","c50-h36",0.005,10,2000
11,4000,140,16,"null","naive","prognostic_low","c50-h36",0.0015,3,2000
12,8000,140,16,"null","naive","prognostic_low","c50-h36",0.004,8,2000
13,4000,35,4,"homogeneous","naive","prognostic_low","c50-h36",0.0995,199,2000
14,8000,35,4,"homogeneous","naive","prognostic_low","c50-h36",0.1095,219,2000
15,4000,70,4,"homogeneous","naive","prognostic_low","c50-h36",0.079,158,2000
16,8000,70,4,"homogeneous","naive","prognostic_low","c50-h36",0.0765,153,2000
17,4000,140,4,"homogeneous","naive","prognostic_low","c50-h36",0.036,72,2000
18,8000,140,4,"homogeneous","naive","prognostic_low","c50-h36",0.028,56,2000
19,4000,35,16,"homogeneous","naive","prognostic_low","c50-h36",0.018,36,2000
20,8000,35,16,"homogeneous","naive","prognostic_low","c50-h36",0.0195,39,2000
21,4000,70,16,"homogeneous","naive","prognostic_low","c50-h36",0.013,26,2000
22,8000,70,16,"homogeneous","naive","prognostic_low","c50-h36",0.0065,13,2000
23,4000,140,16,"homogeneous","naive","prognostic_low","c50-h36",0.007,14,2000
24,8000,140,16,"homogeneous","naive","prognostic_low","c50-h36",0.0035,7,2000
25,4000,35,4,"heterogeneous","naive","prognostic_low","c50-h36",0.0805,161,2000
26,8000,35,4,"heterogeneous","naive","prognostic_low","c50-h36",0.0645,129,2000
27,4000,70,4,"heterogeneous","naive","prognostic_low","c50-h36",0.036,72,2000
28,8000,70,4,"heterogeneous","naive","prognostic_low","c50-h36",0.034,68,2000
29,4000,140,4,"heterogeneous","naive","prognostic_low","c50-h36",0.0135,27,2000
30,8000,140,4,"heterogeneous","naive","prognostic_low","c50-h36",0.0075,15,2000
31,4000,35,16,"heterogeneous","naive","prognostic_low","c50-h36",0.0145,29,2000
32,8000,35,16,"heterogeneous","naive","prognostic_low","c50-h36",0.0125,25,2000
33,4000,70,16,"heterogeneous","naive","prognostic_low","c50-h36",0.006,12,2000
34,8000,70,16,"heterogeneous","naive","prognostic_low","c50-h36",0.0045,9,2000
36,8000,140,16,"heterogeneous","naive","prognostic_low","c50-h36",5e-04,1,2000
1,4000,35,4,"null","split","prognostic_low","c50-h36",0.1415,283,2000
2,8000,35,4,"null","split","prognostic_low","c50-h36",0.1355,271,2000
3,4000,70,4,"null","split","prognostic_low","c50-h36",0.1015,203,2000
4,8000,70,4,"null","split","prognostic_low","c50-h36",0.092,184,2000
5,4000,140,4,"null","split","prognostic_low","c50-h36",0.0525,105,2000
6,8000,140,4,"null","split","prognostic_low","c50-h36",0.0495,99,2000
7,4000,35,16,"null","split","prognostic_low","c50-h36",0.018,36,2000
8,8000,35,16,"null","split","prognostic_low","c50-h36",0.019,38,2000
9,4000,70,16,"null","split","prognostic_low","c50-h36",0.019,38,2000
10,8000,70,16,"null","split","prognostic_low","c50-h36",0.01,20,2000
11,4000,140,16,"null","split","prognostic_low","c50-h36",0.011,22,2000
12,8000,140,16,"null","split","prognostic_low","c50-h36",0.006,12,2000
13,4000,35,4,"homogeneous","split","prognostic_low","c50-h36",0.1375,275,2000
14,8000,35,4,"homogeneous","split","prognostic_low","c50-h36",0.153,306,2000
15,4000,70,4,"homogeneous","split","prognostic_low","c50-h36",0.1105,221,2000
16,8000,70,4,"homogeneous","split","prognostic_low","c50-h36",0.114,228,2000
17,4000,140,4,"homogeneous","split","prognostic_low","c50-h36",0.085,170,2000
18,8000,140,4,"homogeneous","split","prognostic_low","c50-h36",0.077,154,2000
19,4000,35,16,"homogeneous","split","prognostic_low","c50-h36",0.0285,57,2000
20,8000,35,16,"homogeneous","split","prognostic_low","c50-h36",0.0255,51,2000
21,4000,70,16,"homogeneous","split","prognostic_low","c50-h36",0.023,46,2000
22,8000,70,16,"homogeneous","split","prognostic_low","c50-h36",0.0175,35,2000
23,4000,140,16,"homogeneous","split","prognostic_low","c50-h36",0.009,18,2000
24,8000,140,16,"homogeneous","split","prognostic_low","c50-h36",0.0055,11,2000
25,4000,35,4,"heterogeneous","split","prognostic_low","c50-h36",0.113,226,2000
26,8000,35,4,"heterogeneous","split","prognostic_low","c50-h36",0.112,224,2000
27,4000,70,4,"heterogeneous","split","prognostic_low","c50-h36",0.075,150,2000
28,8000,70,4,"heterogeneous","split","prognostic_low","c50-h36",0.074,148,2000
29,4000,140,4,"heterogeneous","split","prognostic_low","c50-h36",0.0505,101,2000
30,8000,140,4,"heterogeneous","split","prognostic_low","c50-h36",0.0255,51,2000
31,4000,35,16,"heterogeneous","split","prognostic_low","c50-h36",0.016,32,2000
32,8000,35,16,"heterogeneous","split","prognostic_low","c50-h36",0.0185,37,2000
33,4000,70,16,"heterogeneous","split","prognostic_low","c50-h36",0.019,38,2000
34,8000,70,16,"heterogeneous","split","prognostic_low","c50-h36",0.0155,31,2000
35,4000,140,16,"heterogeneous","split","prognostic_low","c50-h36",0.0055,11,2000
36,8000,140,16,"heterogeneous","split","prognostic_low","c50-h36",0.003,6,2000
7,4000,35,16,"null","split","workability","c50-h36",0.001,2,2000
14,8000,35,4,"homogeneous","split","workability","c50-h36",5e-04,1,2000
16,8000,70,4,"homogeneous","split","workability","c50-h36",5e-04,1,2000
7,4000,35,16,"null","bonferroni","effect_seeking","c50-h48",0.031,62,2000
8,8000,35,16,"null","bonferroni","effect_seeking","c50-h48",0.036,72,2000
9,4000,70,16,"null","bonferroni","effect_seeking","c50-h48",0.024,48,2000
10,8000,70,16,"null","bonferroni","effect_seeking","c50-h48",0.038,76,2000
11,4000,140,16,"null","bonferroni","effect_seeking","c50-h48",0.0395,79,2000
12,8000,140,16,"null","bonferroni","effect_seeking","c50-h48",0.03,60,2000
19,4000,35,16,"homogeneous","bonferroni","effect_seeking","c50-h48",0.0415,83,2000
20,8000,35,16,"homogeneous","bonferroni","effect_seeking","c50-h48",0.0365,73,2000
21,4000,70,16,"homogeneous","bonferroni","effect_seeking","c50-h48",0.053,106,2000
22,8000,70,16,"homogeneous","bonferroni","effect_seeking","c50-h48",0.0505,101,2000
23,4000,140,16,"homogeneous","bonferroni","effect_seeking","c50-h48",0.0485,97,2000
24,8000,140,16,"homogeneous","bonferroni","effect_seeking","c50-h48",0.049,98,2000
31,4000,35,16,"heterogeneous","bonferroni","effect_seeking","c50-h48",0.051,102,2000
32,8000,35,16,"heterogeneous","bonferroni","effect_seeking","c50-h48",0.0375,75,2000
33,4000,70,16,"heterogeneous","bonferroni","effect_seeking","c50-h48",0.0415,83,2000
34,8000,70,16,"heterogeneous","bonferroni","effect_seeking","c50-h48",0.0395,79,2000
35,4000,140,16,"heterogeneous","bonferroni","effect_seeking","c50-h48",0.0285,57,2000
36,8000,140,16,"heterogeneous","bonferroni","effect_seeking","c50-h48",0.037,74,2000
7,4000,35,16,"null","naive","effect_seeking","c50-h48",0.031,62,2000
8,8000,35,16,"null","naive","effect_seeking","c50-h48",0.036,72,2000
9,4000,70,16,"null","naive","effect_seeking","c50-h48",0.024,48,2000
10,8000,70,16,"null","naive","effect_seeking","c50-h48",0.038,76,2000
11,4000,140,16,"null","naive","effect_seeking","c50-h48",0.0395,79,2000
12,8000,140,16,"null","naive","effect_seeking","c50-h48",0.03,60,2000
19,4000,35,16,"homogeneous","naive","effect_seeking","c50-h48",0.0415,83,2000
20,8000,35,16,"homogeneous","naive","effect_seeking","c50-h48",0.0365,73,2000
21,4000,70,16,"homogeneous","naive","effect_seeking","c50-h48",0.053,106,2000
22,8000,70,16,"homogeneous","naive","effect_seeking","c50-h48",0.0505,101,2000
23,4000,140,16,"homogeneous","naive","effect_seeking","c50-h48",0.0485,97,2000
24,8000,140,16,"homogeneous","naive","effect_seeking","c50-h48",0.049,98,2000
31,4000,35,16,"heterogeneous","naive","effect_seeking","c50-h48",0.051,102,2000
32,8000,35,16,"heterogeneous","naive","effect_seeking","c50-h48",0.0375,75,2000
33,4000,70,16,"heterogeneous","naive","effect_seeking","c50-h48",0.0415,83,2000
34,8000,70,16,"heterogeneous","naive","effect_seeking","c50-h48",0.0395,79,2000
35,4000,140,16,"heterogeneous","naive","effect_seeking","c50-h48",0.0285,57,2000
36,8000,140,16,"heterogeneous","naive","effect_seeking","c50-h48",0.037,74,2000
7,4000,35,16,"null","bonferroni","prognostic_high","c50-h48",0.018,36,2000
8,8000,35,16,"null","bonferroni","prognostic_high","c50-h48",0.02,40,2000
9,4000,70,16,"null","bonferroni","prognostic_high","c50-h48",0.0095,19,2000
10,8000,70,16,"null","bonferroni","prognostic_high","c50-h48",0.009,18,2000
11,4000,140,16,"null","bonferroni","prognostic_high","c50-h48",0.006,12,2000
12,8000,140,16,"null","bonferroni","prognostic_high","c50-h48",0.003,6,2000
19,4000,35,16,"homogeneous","bonferroni","prognostic_high","c50-h48",0.03,60,2000
20,8000,35,16,"homogeneous","bonferroni","prognostic_high","c50-h48",0.0225,45,2000
21,4000,70,16,"homogeneous","bonferroni","prognostic_high","c50-h48",0.0135,27,2000
22,8000,70,16,"homogeneous","bonferroni","prognostic_high","c50-h48",0.0185,37,2000
23,4000,140,16,"homogeneous","bonferroni","prognostic_high","c50-h48",0.009,18,2000
24,8000,140,16,"homogeneous","bonferroni","prognostic_high","c50-h48",0.0045,9,2000
31,4000,35,16,"heterogeneous","bonferroni","prognostic_high","c50-h48",0.0175,35,2000
32,8000,35,16,"heterogeneous","bonferroni","prognostic_high","c50-h48",0.016,32,2000
33,4000,70,16,"heterogeneous","bonferroni","prognostic_high","c50-h48",0.0115,23,2000
34,8000,70,16,"heterogeneous","bonferroni","prognostic_high","c50-h48",0.005,10,2000
35,4000,140,16,"heterogeneous","bonferroni","prognostic_high","c50-h48",0.0065,13,2000
36,8000,140,16,"heterogeneous","bonferroni","prognostic_high","c50-h48",0.003,6,2000
7,4000,35,16,"null","naive","prognostic_high","c50-h48",0.018,36,2000
8,8000,35,16,"null","naive","prognostic_high","c50-h48",0.02,40,2000
9,4000,70,16,"null","naive","prognostic_high","c50-h48",0.0095,19,2000
10,8000,70,16,"null","naive","prognostic_high","c50-h48",0.009,18,2000
11,4000,140,16,"null","naive","prognostic_high","c50-h48",0.006,12,2000
12,8000,140,16,"null","naive","prognostic_high","c50-h48",0.003,6,2000
19,4000,35,16,"homogeneous","naive","prognostic_high","c50-h48",0.03,60,2000
20,8000,35,16,"homogeneous","naive","prognostic_high","c50-h48",0.0225,45,2000
21,4000,70,16,"homogeneous","naive","prognostic_high","c50-h48",0.0135,27,2000
22,8000,70,16,"homogeneous","naive","prognostic_high","c50-h48",0.0185,37,2000
23,4000,140,16,"homogeneous","naive","prognostic_high","c50-h48",0.009,18,2000
24,8000,140,16,"homogeneous","naive","prognostic_high","c50-h48",0.0045,9,2000
31,4000,35,16,"heterogeneous","naive","prognostic_high","c50-h48",0.0175,35,2000
32,8000,35,16,"heterogeneous","naive","prognostic_high","c50-h48",0.016,32,2000
33,4000,70,16,"heterogeneous","naive","prognostic_high","c50-h48",0.0115,23,2000
34,8000,70,16,"heterogeneous","naive","prognostic_high","c50-h48",0.005,10,2000
35,4000,140,16,"heterogeneous","naive","prognostic_high","c50-h48",0.0065,13,2000
36,8000,140,16,"heterogeneous","naive","prognostic_high","c50-h48",0.003,6,2000
7,4000,35,16,"null","split","prognostic_high","c50-h48",0.026,52,2000
8,8000,35,16,"null","split","prognostic_high","c50-h48",0.023,46,2000
9,4000,70,16,"null","split","prognostic_high","c50-h48",0.0205,41,2000
10,8000,70,16,"null","split","prognostic_high","c50-h48",0.0215,43,2000
11,4000,140,16,"null","split","prognostic_high","c50-h48",0.0105,21,2000
12,8000,140,16,"null","split","prognostic_high","c50-h48",0.0095,19,2000
19,4000,35,16,"homogeneous","split","prognostic_high","c50-h48",0.032,64,2000
20,8000,35,16,"homogeneous","split","prognostic_high","c50-h48",0.0265,53,2000
21,4000,70,16,"homogeneous","split","prognostic_high","c50-h48",0.016,32,2000
22,8000,70,16,"homogeneous","split","prognostic_high","c50-h48",0.022,44,2000
23,4000,140,16,"homogeneous","split","prognostic_high","c50-h48",0.011,22,2000
24,8000,140,16,"homogeneous","split","prognostic_high","c50-h48",0.0125,25,2000
31,4000,35,16,"heterogeneous","split","prognostic_high","c50-h48",0.024,48,2000
32,8000,35,16,"heterogeneous","split","prognostic_high","c50-h48",0.025,50,2000
33,4000,70,16,"heterogeneous","split","prognostic_high","c50-h48",0.017,34,2000
34,8000,70,16,"heterogeneous","split","prognostic_high","c50-h48",0.0145,29,2000
35,4000,140,16,"heterogeneous","split","prognostic_high","c50-h48",0.0095,19,2000
36,8000,140,16,"heterogeneous","split","prognostic_high","c50-h48",0.011,22,2000
7,4000,35,16,"null","bonferroni","prognostic_low","c50-h48",0.0255,51,2000
8,8000,35,16,"null","bonferroni","prognostic_low","c50-h48",0.026,52,2000
9,4000,70,16,"null","bonferroni","prognostic_low","c50-h48",0.026,52,2000
10,8000,70,16,"null","bonferroni","prognostic_low","c50-h48",0.018,36,2000
11,4000,140,16,"null","bonferroni","prognostic_low","c50-h48",0.0135,27,2000
12,8000,140,16,"null","bonferroni","prognostic_low","c50-h48",0.0105,21,2000
19,4000,35,16,"homogeneous","bonferroni","prognostic_low","c50-h48",0.032,64,2000
20,8000,35,16,"homogeneous","bonferroni","prognostic_low","c50-h48",0.0375,75,2000
21,4000,70,16,"homogeneous","bonferroni","prognostic_low","c50-h48",0.023,46,2000
22,8000,70,16,"homogeneous","bonferroni","prognostic_low","c50-h48",0.0295,59,2000
23,4000,140,16,"homogeneous","bonferroni","prognostic_low","c50-h48",0.016,32,2000
24,8000,140,16,"homogeneous","bonferroni","prognostic_low","c50-h48",0.014,28,2000
31,4000,35,16,"heterogeneous","bonferroni","prognostic_low","c50-h48",0.031,62,2000
32,8000,35,16,"heterogeneous","bonferroni","prognostic_low","c50-h48",0.0315,63,2000
33,4000,70,16,"heterogeneous","bonferroni","prognostic_low","c50-h48",0.0175,35,2000
34,8000,70,16,"heterogeneous","bonferroni","prognostic_low","c50-h48",0.019,38,2000
35,4000,140,16,"heterogeneous","bonferroni","prognostic_low","c50-h48",0.0075,15,2000
36,8000,140,16,"heterogeneous","bonferroni","prognostic_low","c50-h48",0.0075,15,2000
7,4000,35,16,"null","naive","prognostic_low","c50-h48",0.0255,51,2000
8,8000,35,16,"null","naive","prognostic_low","c50-h48",0.026,52,2000
9,4000,70,16,"null","naive","prognostic_low","c50-h48",0.026,52,2000
10,8000,70,16,"null","naive","prognostic_low","c50-h48",0.018,36,2000
11,4000,140,16,"null","naive","prognostic_low","c50-h48",0.0135,27,2000
12,8000,140,16,"null","naive","prognostic_low","c50-h48",0.0105,21,2000
19,4000,35,16,"homogeneous","naive","prognostic_low","c50-h48",0.032,64,2000
20,8000,35,16,"homogeneous","naive","prognostic_low","c50-h48",0.0375,75,2000
21,4000,70,16,"homogeneous","naive","prognostic_low","c50-h48",0.023,46,2000
22,8000,70,16,"homogeneous","naive","prognostic_low","c50-h48",0.0295,59,2000
23,4000,140,16,"homogeneous","naive","prognostic_low","c50-h48",0.016,32,2000
24,8000,140,16,"homogeneous","naive","prognostic_low","c50-h48",0.014,28,2000
31,4000,35,16,"heterogeneous","naive","prognostic_low","c50-h48",0.031,62,2000
32,8000,35,16,"heterogeneous","naive","prognostic_low","c50-h48",0.0315,63,2000
33,4000,70,16,"heterogeneous","naive","prognostic_low","c50-h48",0.0175,35,2000
34,8000,70,16,"heterogeneous","naive","prognostic_low","c50-h48",0.019,38,2000
35,4000,140,16,"heterogeneous","naive","prognostic_low","c50-h48",0.0075,15,2000
36,8000,140,16,"heterogeneous","naive","prognostic_low","c50-h48",0.0075,15,2000
7,4000,35,16,"null","split","prognostic_low","c50-h48",0.0385,77,2000
8,8000,35,16,"null","split","prognostic_low","c50-h48",0.0375,75,2000
9,4000,70,16,"null","split","prognostic_low","c50-h48",0.033,66,2000
10,8000,70,16,"null","split","prognostic_low","c50-h48",0.021,42,2000
11,4000,140,16,"null","split","prognostic_low","c50-h48",0.0185,37,2000
12,8000,140,16,"null","split","prognostic_low","c50-h48",0.0145,29,2000
