"scenario","n","event_target","K","effect","method","selector","candidate","frequency","count","denominator"
23,4000,140,16,"homogeneous","bonferroni","prognostic_low","c45-h24",0.0015,3,2000
24,8000,140,16,"homogeneous","bonferroni","prognostic_low","c45-h24",0.002,4,2000
31,4000,35,16,"heterogeneous","bonferroni","prognostic_low","c45-h24",0.005,10,2000
32,8000,35,16,"heterogeneous","bonferroni","prognostic_low","c45-h24",0.0055,11,2000
33,4000,70,16,"heterogeneous","bonferroni","prognostic_low","c45-h24",0.001,2,2000
34,8000,70,16,"heterogeneous","bonferroni","prognostic_low","c45-h24",0.001,2,2000
35,4000,140,16,"heterogeneous","bonferroni","prognostic_low","c45-h24",5e-04,1,2000
7,4000,35,16,"null","naive","prognostic_low","c45-h24",0.013,26,2000
8,8000,35,16,"null","naive","prognostic_low","c45-h24",0.0125,25,2000
9,4000,70,16,"null","naive","prognostic_low","c45-h24",0.001,2,2000
10,8000,70,16,"null","naive","prognostic_low","c45-h24",0.0015,3,2000
12,8000,140,16,"null","naive","prognostic_low","c45-h24",5e-04,1,2000
19,4000,35,16,"homogeneous","naive","prognostic_low","c45-h24",0.017,34,2000
20,8000,35,16,"homogeneous","naive","prognostic_low","c45-h24",0.017,34,2000
21,4000,70,16,"homogeneous","naive","prognostic_low","c45-h24",0.008,16,2000
22,8000,70,16,"homogeneous","naive","prognostic_low","c45-h24",0.008,16,2000
23,4000,140,16,"homogeneous","naive","prognostic_low","c45-h24",0.0015,3,2000
24,8000,140,16,"homogeneous","naive","prognostic_low","c45-h24",0.002,4,2000
31,4000,35,16,"heterogeneous","naive","prognostic_low","c45-h24",0.005,10,2000
32,8000,35,16,"heterogeneous","naive","prognostic_low","c45-h24",0.0055,11,2000
33,4000,70,16,"heterogeneous","naive","prognostic_low","c45-h24",0.001,2,2000
34,8000,70,16,"heterogeneous","naive","prognostic_low","c45-h24",0.001,2,2000
35,4000,140,16,"heterogeneous","naive","prognostic_low","c45-h24",5e-04,1,2000
7,4000,35,16,"null","split","prognostic_low","c45-h24",0.0205,41,2000
8,8000,35,16,"null","split","prognostic_low","c45-h24",0.02,40,2000
9,4000,70,16,"null","split","prognostic_low","c45-h24",0.01,20,2000
