"precision","delta","cutoff","wrong_definitive","decision_rate","indeterminate"
"medium",0.05,0.89,0.00815000000000001,0.6791,0.3209
"small",0.05,0.89,0.02534375,0.0366062500000001,0.96339375
"large",0.01,0.9,0.00806874999999999,0.56191875,0.43808125
"medium",0.01,0.9,0.03540625,0.27464375,0.72535625
"small",0.01,0.9,0.10705625,0.31435,0.68565
"large",0.02,0.9,0.00937499999999995,0.7299875,0.2700125
"medium",0.02,0.9,0.0219375,0.1466625,0.8533375
"small",0.02,0.9,0.06048125,0.1424625,0.8575375
"large",0.03,0.9,0.0069375,0.78318125,0.21681875
"medium",0.03,0.9,0.01710625,0.23029375,0.76970625
"small",0.03,0.9,0.0422375000000001,0.0840187500000001,0.91598125
"large",0.05,0.9,0.000193750000000001,0.943575,0.056425
"medium",0.05,0.9,0.00703749999999999,0.66136875,0.33863125
"small",0.05,0.9,0.0223125,0.03173125,0.96826875
"large",0.01,0.91,0.00709999999999999,0.5451375,0.4548625
"medium",0.01,0.91,0.0308875,0.258525,0.741475
"small",0.01,0.91,0.09234375,0.278625,0.721375
"large",0.02,0.91,0.00835,0.71725,0.28275
"medium",0.02,0.91,0.01914375,0.136775,0.863225
"small",0.02,0.91,0.05309375,0.1278375,0.8721625
"large",0.03,0.91,0.0059375,0.773775,0.226225
"medium",0.03,0.91,0.01481875,0.20530625,0.79469375
"small",0.03,0.91,0.03668125,0.0746000000000001,0.9254
"large",0.05,0.91,0.000156250000000007,0.93976875,0.06023125
"medium",0.05,0.91,0.00620625,0.641875,0.358125
"small",0.05,0.91,0.01955,0.0277,0.9723
"large",0.01,0.92,0.00608750000000001,0.52673125,0.47326875
"medium",0.01,0.92,0.026775,0.241675,0.758325
"small",0.01,0.92,0.07848125,0.244725,0.755275
"large",0.02,0.92,0.00731874999999997,0.70275,0.29725
"medium",0.02,0.92,0.01645,0.12694375,0.87305625
"small",0.02,0.92,0.04585625,0.1131875,0.8868125
"large",0.03,0.92,0.00520625,0.7634125,0.2365875
"medium",0.03,0.92,0.0124875,0.17255625,0.82744375
"small",0.03,0.92,0.03158125,0.0658125,0.9341875
"large",0.05,0.92,0.000112499999999999,0.93546875,0.06453125
"medium",0.05,0.92,0.00529375000000001,0.6199625,0.3800375
"small",0.05,0.92,0.01664375,0.02395625,0.97604375
"large",0.01,0.93,0.0052,0.5043875,0.4956125
"medium",0.01,0.93,0.02263125,0.2244375,0.7755625
"small",0.01,0.93,0.0659437500000001,0.21196875,0.78803125
"large",0.02,0.93,0.00622499999999999,0.68720625,0.31279375
"medium",0.02,0.93,0.0140875,0.1171875,0.8828125
"small",0.02,0.93,0.03915625,0.0990374999999999,0.9009625
"large",0.03,0.93,0.00423749999999999,0.75164375,0.24835625
"medium",0.03,0.93,0.01005,0.13278125,0.86721875
"small",0.03,0.93,0.02673125,0.0573375,0.9426625
"large",0.05,0.93,6.25000000000009e-05,0.93058125,0.0694187500000001
"medium",0.05,0.93,0.004425,0.595625,0.404375
"small",0.05,0.93,0.01395,0.0205125,0.9794875
"large",0.01,0.94,0.0044,0.4704625,0.5295375
"medium",0.01,0.94,0.01889375,0.206675,0.793325
"small",0.01,0.94,0.0538375,0.180625,0.819375
"large",0.02,0.94,0.00512500000000002,0.66990625,0.33009375
"medium",0.02,0.94,0.01183125,0.10686875,0.89313125
"small",0.02,0.94,0.032575,0.08509375,0.91490625
"large",0.03,0.94,0.00346249999999998,0.73934375,0.26065625
"medium",0.03,0.94,0.00725624999999997,0.10304375,0.89695625
"small",0.03,0.94,0.02224375,0.0490875,0.9509125
"large",0.05,0.94,3.75000000000009e-05,0.92501875,0.07498125
"medium",0.05,0.94,0.00360624999999999,0.56695,0.43305
"small",0.05,0.94,0.0113625,0.0171,0.9829
"large",0.01,0.95,0.00343749999999998,0.446225,0.553775
"medium",0.01,0.95,0.01535,0.1873875,0.8126125
"small",0.01,0.95,0.0426125,0.15001875,0.84998125
"large",0.02,0.95,0.00410000000000003,0.6496125,0.3503875
"medium",0.02,0.95,0.00950624999999999,0.09611875,0.90388125
"small",0.02,0.95,0.02589375,0.0706812500000001,0.92931875
"large",0.03,0.95,0.00273125,0.7255625,0.2744375
"medium",0.03,0.95,0.0051625,0.0662375,0.9337625
"small",0.03,0.95,0.01783125,0.0406,0.9594
"large",0.05,0.95,2.50000000000013e-05,0.9185875,0.0814125
"medium",0.05,0.95,0.002875,0.53290625,0.46709375
"small",0.05,0.95,0.009025,0.0139625,0.9860375
"large",0.01,0.96,0.002525,0.41213125,0.58786875
"medium",0.01,0.96,0.0116125,0.165625,0.834375
"small",0.01,0.96,0.03223125,0.12071875,0.87928125
"large",0.02,0.96,0.00306249999999998,0.62465625,0.37534375
"medium",0.02,0.96,0.00715625000000004,0.083525,0.916475
"small",0.02,0.96,0.02016875,0.0572062499999999,0.94279375
"large",0.03,0.96,0.0021875,0.70933125,0.29066875
"medium",0.03,0.96,0.00396874999999999,0.0425062499999999,0.95749375
"small",0.03,0.96,0.01398125,0.0327375,0.9672625
"large",0.05,0.96,1.2500000000001e-05,0.91054375,0.08945625
"medium",0.05,0.96,0.0020875,0.491075,0.508925
"small",0.05,0.96,0.006775,0.0108,0.9892
"large",0.01,0.97,0.0018125,0.39198125,0.60801875
"medium",0.01,0.97,0.008225,0.14155,0.85845
"small",0.01,0.97,0.02270625,0.09225625,0.90774375
"large",0.02,0.97,0.00217499999999998,0.59304375,0.40695625
"medium",0.02,0.97,0.00516250000000002,0.07050625,0.92949375
"small",0.02,0.97,0.0144625,0.043575,0.956425
"large",0.03,0.97,0.00159999999999999,0.68971875,0.31028125
"medium",0.03,0.97,0.00290000000000001,0.03446875,0.96553125
"small",0.03,0.97,0.01005625,0.0246812499999999,0.97531875
"large",0.05,0.97,6.25000000000048e-06,0.90005625,0.09994375
"medium",0.05,0.97,0.00145000000000001,0.4365,0.5635
"small",0.05,0.97,0.00488124999999999,0.00796249999999999,0.9920375
"large",0.01,0.98,0.0011,0.37329375,0.62670625
"medium",0.01,0.98,0.00498124999999995,0.1147125,0.8852875
"small",0.01,0.98,0.0139687499999999,0.0629562499999999,0.93704375
"large",0.02,0.98,0.00130625000000001,0.54945,0.45055
"medium",0.02,0.98,0.0034,0.05614375,0.94385625
"small",0.02,0.98,0.00928750000000003,0.0299562500000001,0.97004375
"large",0.03,0.98,0.000962500000000016,0.66396875,0.33603125
"medium",0.03,0.98,0.00165,0.02629375,0.97370625
"small",0.03,0.98,0.00621875000000002,0.0164875,0.9835125
"large",0.05,0.98,6.25000000000048e-06,0.88616875,0.11383125
"medium",0.05,0.98,0.000762500000000006,0.3550125,0.6449875
"small",0.05,0.98,0.00302499999999999,0.00514999999999998,0.99485
"large",0.01,0.99,0.000468750000000003,0.3443,0.6557
"medium",0.01,0.99,0.00232499999999999,0.080975,0.919025
"small",0.01,0.99,0.00648125000000002,0.03390625,0.96609375
"large",0.02,0.99,0.000599999999999995,0.47785,0.52215
"medium",0.02,0.99,0.00153750000000001,0.03825625,0.96174375
"small",0.02,0.99,0.00435,0.015875,0.984125
"large",0.03,0.99,0.000431249999999995,0.6244125,0.3755875
"medium",0.03,0.99,0.000712500000000006,0.01695,0.98305
"small",0.03,0.99,0.00286250000000001,0.00866875000000001,0.99133125
"large",0.05,0.99,0,0.86393125,0.13606875
"medium",0.05,0.99,0.000218750000000003,0.2196,0.7804
"small",0.05,0.99,0.00123125000000001,0.00233750000000002,0.9976625
