"precision","delta","cutoff","wrong_definitive","decision_rate","indeterminate"
"medium",0.01,0.58,0.3470875,0.8622625,0.1377375
"small",0.01,0.58,0.4375,1,0
"large",0.02,0.58,0.0639625,0.95699375,0.04300625
"medium",0.02,0.58,0.2192,0.8230125,0.1769875
"small",0.02,0.58,0.55976875,0.92579375,0.07420625
"large",0.03,0.58,0.0479,0.964475,0.035525
"medium",0.03,0.58,0.16050625,0.8882,0.1118
"small",0.03,0.58,0.3477625,0.60734375,0.39265625
"large",0.05,0.58,0.0045,0.993775,0.00622500000000003
"medium",0.05,0.58,0.058,0.9535875,0.0464125
"small",0.05,0.58,0.20194375,0.8303125,0.1696875
"large",0.01,0.59,0.06561875,0.9349375,0.0650624999999999
"medium",0.01,0.59,0.33743125,0.84863125,0.15136875
"small",0.01,0.59,0.4375,1,0
"large",0.02,0.59,0.06178125,0.9514875,0.0485125000000001
"medium",0.02,0.59,0.210325,0.799875,0.200125
"small",0.02,0.59,0.541025,0.89949375,0.10050625
"large",0.03,0.59,0.04611875,0.96009375,0.0399062499999999
"medium",0.03,0.59,0.15494375,0.874125,0.125875
"small",0.03,0.59,0.32914375,0.565175,0.434825
"large",0.05,0.59,0.00423125,0.99294375,0.00705624999999997
"medium",0.05,0.59,0.0557437500000001,0.94721875,0.05278125
"small",0.05,0.59,0.19339375,0.808475,0.191525
"large",0.01,0.6,0.0627625,0.9274375,0.0725625
"medium",0.01,0.6,0.3291875,0.836375,0.163625
"small",0.01,0.6,0.4375,1,0
"large",0.02,0.6,0.0594875,0.94571875,0.0542812499999999
"medium",0.02,0.6,0.20101875,0.7760125,0.2239875
"small",0.02,0.6,0.52040625,0.871225,0.128775
"large",0.03,0.6,0.0444187499999999,0.95585625,0.04414375
"medium",0.03,0.6,0.1492625,0.85995,0.14005
"small",0.03,0.6,0.3113125,0.5255125,0.4744875
"large",0.05,0.6,0.00396250000000001,0.9920875,0.00791249999999998
"medium",0.05,0.6,0.053575,0.94114375,0.05885625
"small",0.05,0.6,0.18539375,0.78620625,0.21379375
"large",0.01,0.61,0.06003125,0.9199,0.0801000000000001
"medium",0.01,0.61,0.3214625,0.825125,0.174875
"small",0.01,0.61,0.4375,1,0
"large",0.02,0.61,0.05733125,0.94000625,0.0599937499999999
"medium",0.02,0.61,0.192025,0.75108125,0.24891875
"small",0.02,0.61,0.49979375,0.8448625,0.1551375
"large",0.03,0.61,0.04265,0.95143125,0.04856875
"medium",0.03,0.61,0.1437375,0.8454875,0.1545125
"small",0.03,0.61,0.2955625,0.48815625,0.51184375
"large",0.05,0.61,0.00375000000000001,0.9912625,0.00873750000000001
"medium",0.05,0.61,0.05133125,0.93460625,0.06539375
"small",0.05,0.61,0.1771,0.763825,0.236175
"large",0.01,0.62,0.0577187499999999,0.91256875,0.08743125
"medium",0.01,0.62,0.31166875,0.8084,0.1916
"small",0.01,0.62,0.4375,1,0
"large",0.02,0.62,0.05486875,0.934125,0.065875
"medium",0.02,0.62,0.18300625,0.72599375,0.27400625
"small",0.02,0.62,0.4821875,0.822425,0.177575
"large",0.03,0.62,0.041075,0.94705,0.05295
"medium",0.03,0.62,0.13836875,0.83099375,0.16900625
"small",0.03,0.62,0.28089375,0.45485625,0.54514375
"large",0.05,0.62,0.00355000000000001,0.99026875,0.00973124999999996
"medium",0.05,0.62,0.04936875,0.92831875,0.07168125
"small",0.05,0.62,0.16980625,0.74111875,0.25888125
"large",0.01,0.63,0.0554125,0.9050125,0.0949875
"medium",0.01,0.63,0.285425,0.77304375,0.22695625
"small",0.01,0.63,0.4375,1,0
"large",0.02,0.63,0.0525812500000001,0.92845,0.0715500000000001
"medium",0.02,0.63,0.17401875,0.699425,0.300575
"small",0.02,0.63,0.46774375,0.8037375,0.1962625
"large",0.03,0.63,0.03938125,0.94259375,0.05740625
"medium",0.03,0.63,0.1332,0.81654375,0.18345625
"small",0.03,0.63,0.26771875,0.42616875,0.57383125
"large",0.05,0.63,0.0033,0.9894,0.0106
"medium",0.05,0.63,0.04714375,0.9215875,0.0784125
"small",0.05,0.63,0.16236875,0.717075,0.282925
"large",0.01,0.64,0.0529750000000001,0.8971625,0.1028375
"medium",0.01,0.64,0.25779375,0.72846875,0.27153125
"small",0.01,0.64,0.4375,1,0
"large",0.02,0.64,0.0506875000000001,0.9230875,0.0769125
"medium",0.02,0.64,0.16463125,0.67165625,0.32834375
"small",0.02,0.64,0.454975,0.78724375,0.21275625
"large",0.03,0.64,0.0377812500000001,0.93813125,0.06186875
"medium",0.03,0.64,0.1279125,0.80145,0.19855
"small",0.03,0.64,0.2549625,0.40166875,0.59833125
"large",0.05,0.64,0.0031125,0.98850625,0.01149375
"medium",0.05,0.64,0.04498125,0.91535625,0.08464375
"small",0.05,0.64,0.15501875,0.6932875,0.3067125
"large",0.01,0.65,0.0506062500000001,0.88955,0.11045
"medium",0.01,0.65,0.24036875,0.70005,0.29995
"small",0.01,0.65,0.4375,1,0
"large",0.02,0.65,0.0486,0.91750625,0.08249375
"medium",0.02,0.65,0.15570625,0.64145,0.35855
