"scenario","family","baseline_risk","mismatch","precision","n_trial","n_emulation","operator","agreement_probability","agreement_mcse","n_used","n_attempted"
1,"logit","lower","aligned","large",25000,250000,"overlap",0.989,0.00104307660355306,10000,10000
2,"probit","lower","aligned","large",25000,250000,"direction",1,0,10000,10000
2,"probit","lower","aligned","large",25000,250000,"overlap",0.9882,0.00107990398613106,10000,10000
3,"logit","common","aligned","large",25000,250000,"direction",1,0,10000,10000
3,"logit","common","aligned","large",25000,250000,"overlap",0.9856,0.00119138824091649,10000,10000
4,"probit","common","aligned","large",25000,250000,"direction",1,0,10000,10000
4,"probit","common","aligned","large",25000,250000,"overlap",0.9853,0.00120355135062252,10000,10000
5,"logit","lower","observed_z_shift","large",25000,250000,"direction",1,0,10000,10000
5,"logit","lower","observed_z_shift","large",25000,250000,"overlap",0.0697999999999999,0.0025482239588653,10000,10000
6,"probit","lower","observed_z_shift","large",25000,250000,"direction",1,0,10000,10000
6,"probit","lower","observed_z_shift","large",25000,250000,"overlap",0,0,10000,10000
7,"logit","common","observed_z_shift","large",25000,250000,"direction",1,0,10000,10000
7,"logit","common","observed_z_shift","large",25000,250000,"overlap",0.000400000000000009,0.000199969994748898,10000,10000
8,"probit","common","observed_z_shift","large",25000,250000,"direction",1,0,10000,10000
8,"probit","common","observed_z_shift","large",25000,250000,"overlap",0,0,10000,10000
9,"logit","lower","hidden_u_shift","large",25000,250000,"direction",1,0,10000,10000
9,"logit","lower","hidden_u_shift","large",25000,250000,"overlap",0.3364,0.00472501180672116,10000,10000
10,"probit","lower","hidden_u_shift","large",25000,250000,"direction",1,0,10000,10000
10,"probit","lower","hidden_u_shift","large",25000,250000,"overlap",0.0193999999999999,0.00137933108984945,10000,10000
11,"logit","common","hidden_u_shift","large",25000,250000,"direction",1,0,10000,10000
11,"logit","common","hidden_u_shift","large",25000,250000,"overlap",0.0740999999999997,0.00261946657938523,10000,10000
12,"probit","common","hidden_u_shift","large",25000,250000,"direction",1,0,10000,10000
12,"probit","common","hidden_u_shift","large",25000,250000,"overlap",0.000400000000000013,0.000199969994748899,10000,10000
13,"logit","lower","measurement_mismatch","large",25000,250000,"direction",1,0,10000,10000
13,"logit","lower","measurement_mismatch","large",25000,250000,"overlap",0.9507,0.00216504497458455,10000,10000
14,"probit","lower","measurement_mismatch","large",25000,250000,"direction",1,0,10000,10000
14,"probit","lower","measurement_mismatch","large",25000,250000,"overlap",0.9192,0.00272541350768656,10000,10000
15,"logit","common","measurement_mismatch","large",25000,250000,"direction",1,0,10000,10000
15,"logit","common","measurement_mismatch","large",25000,250000,"overlap",0.8478,0.00359232605433417,10000,10000
16,"probit","common","measurement_mismatch","large",25000,250000,"direction",1,0,10000,10000
16,"probit","common","measurement_mismatch","large",25000,250000,"overlap",0.4666,0.00498908138772164,10000,10000
