"scenario","family","baseline_risk","mismatch","precision","p_mean","p_q05","p_q25","p_median","p_q75","p_q95","source_success_probability","source_success_mcse","inversion_finite","interval_contains_zero","interval_contains_trial_truth","interval_contains_emulation_truth","mean_interval_width"
15,"logit","common","measurement_mismatch","medium",0.0585079604881581,1.03856456394344e-05,0.000609241475333652,0.00658138952998545,0.0417406672320234,0.303807413228621,0.7718,0.00419693190601701,1,0.2282,0.999,0.9996,0.0821538120081623
16,"probit","common","measurement_mismatch","medium",0.000435691215427957,3.0761888274287e-11,1.5718771208496e-08,7.03461096655489e-07,1.88934665646087e-05,0.00093243277677574,0.9989,0.000331496589724389,1,0.00109999999999994,0.995,0.9997,0.086668252398261
1,"logit","lower","aligned","large",0.000870180708954868,2.85735382799143e-10,8.83322408557126e-08,3.15250835084352e-06,6.41616279696338e-05,0.00267809783137752,0.997,0.000546927703623824,1,0.00299999999999994,0.9999,0.9999,0.0195222235200498
2,"probit","lower","aligned","large",1.19390978454658e-06,5.67659120842422e-17,1.30952721999714e-13,1.83140613100527e-11,1.57476223256738e-09,3.79502153064026e-07,1,0,1,0,1,1,0.0214092845332462
3,"logit","common","aligned","large",2.18048664635859e-10,1.50442078301974e-25,2.9627231103798e-21,1.55505069974914e-18,4.69626488984842e-16,9.56022488994295e-13,1,0,1,0,1,1,0.0257686361319421
4,"probit","common","aligned","large",1.2607240503086e-33,3.1619065204199e-67,4.39699163394762e-60,2.60064833855698e-55,9.45929846759309e-51,1.14066087632793e-44,1,0,1,0,1,1,0.0265452143510218
5,"logit","lower","observed_z_shift","large",6.03115011693745e-07,7.5956745913045e-16,2.62177710741737e-13,1.42700253479232e-11,6.33929514216807e-10,1.26688989989468e-07,1,0,1,0,0.976,0.9822,0.0306663269145395
6,"probit","lower","observed_z_shift","large",1.76993152352076e-15,8.37342277834843e-30,2.73997671693838e-26,6.82120260444337e-24,1.88737496904981e-21,4.64057847216206e-18,1,0,1,0,0.9753,0.9787,0.0438425730872828
7,"logit","common","observed_z_shift","large",7.08620911832453e-20,8.76398742011696e-43,6.93313507271292e-37,3.31278952090672e-33,1.0005357592891e-29,4.94754302923166e-25,1,0,1,0,0.9746,0.978,0.0521271646005804
8,"probit","common","observed_z_shift","large",3.84231237534464e-68,2.348322341176e-110,6.59488772257767e-101,1.74938590012876e-94,1.41877266895173e-88,1.70575633179748e-80,1,0,1,0,0.9761,0.9781,0.076022639309531
9,"logit","lower","hidden_u_shift","large",5.84033629923204e-06,2.08604504988691e-15,2.85290037004078e-12,2.22386787667001e-10,1.31004345124178e-08,2.22617655536573e-06,1,0,1,0,0.9787,0.9909,0.0262773942038727
10,"probit","lower","hidden_u_shift","large",2.74422543354516e-11,2.99860789839241e-28,8.77139140427374e-24,6.54406107104361e-21,3.69914755853345e-18,1.05549969838134e-14,1,0,1,0,0.9753,0.9807,0.0364314643236235
11,"logit","common","hidden_u_shift","large",3.82476066366638e-16,2.19611048557822e-36,2.67620336006775e-31,5.29814599950836e-28,8.05793346778347e-25,1.26346596261053e-20,1,0,1,0,0.9751,0.9844,0.040946750719289
12,"probit","common","hidden_u_shift","large",3.96485538862118e-53,7.04348552062332e-93,2.82441623085207e-84,1.41284578020341e-78,2.87141008944329e-73,1.14285611186893e-65,1,0,1,0,0.9767,0.9794,0.0542288358335699
13,"logit","lower","measurement_mismatch","large",0.000964210015564348,1.97721453951728e-10,9.29186234723361e-08,2.87454452353066e-06,5.95460615895242e-05,0.00260225587118138,0.9963,0.000607180258890802,1,0.00370000000000005,0.9952,0.9997,0.0200808981071528
14,"probit","lower","measurement_mismatch","large",1.70419546247083e-06,7.67124184312796e-17,1.33663998678261e-13,1.51066315300132e-11,1.31833996618931e-09,3.21903192831633e-07,1,0,1,0,0.9881,0.9989,0.0225629473148706
15,"logit","common","measurement_mismatch","large",5.90194613307681e-11,1.4956527436611e-25,2.8090689536113e-21,1.39041538713209e-18,5.19745324995132e-16,8.22400702734809e-13,1,0,1,0,0.985,0.9992,0.0281714211450269
16,"probit","common","measurement_mismatch","large",2.50302219863319e-35,5.04839624043299e-67,3.94308350922362e-60,2.79291354926622e-55,7.0271157433388e-51,2.18032909498733e-44,1,0,1,0,0.975,0.9957,0.0341089371451173
