"scenario","family","baseline_risk","mismatch","operator","from_precision","to_precision","n_complete_vectors","signed_change","signed_simultaneous_lower","signed_simultaneous_upper","flip_probability","flip_simultaneous_lower","flip_simultaneous_upper"
9,"logit","lower","hidden_u_shift","direction","medium","large",10000,0.0225,0.00859999999999994,0.0364,0.0225,0.00899999999999993,0.0360000000000001
9,"logit","lower","hidden_u_shift","direction","small","large",10000,0.243,0.2291,0.2569,0.243,0.2295,0.2565
9,"logit","lower","hidden_u_shift","overlap","small","medium",10000,-0.0305,-0.0444,-0.0165999999999999,0.0659,0.0523999999999999,0.0794000000000001
9,"logit","lower","hidden_u_shift","overlap","medium","large",10000,-0.6092,-0.6231,-0.5953,0.625,0.6115,0.6385
9,"logit","lower","hidden_u_shift","overlap","small","large",10000,-0.6397,-0.6536,-0.6258,0.6519,0.6384,0.6654
10,"probit","lower","hidden_u_shift","direction","small","medium",10000,0.116,0.1021,0.1299,0.1172,0.1037,0.1307
10,"probit","lower","hidden_u_shift","direction","medium","large",10000,0.00129999999999997,-0.0126000000000001,0.0152,0.0013,0,0.0148000000000001
10,"probit","lower","hidden_u_shift","direction","small","large",10000,0.1173,0.1034,0.1312,0.1173,0.1038,0.1308
10,"probit","lower","hidden_u_shift","overlap","small","medium",10000,-0.1127,-0.1266,-0.0987999999999999,0.1503,0.1368,0.1638
10,"probit","lower","hidden_u_shift","overlap","medium","large",10000,-0.833,-0.8469,-0.8191,0.8344,0.8209,0.8479
10,"probit","lower","hidden_u_shift","overlap","small","large",10000,-0.9457,-0.9596,-0.9318,0.9461,0.9326,0.9596
11,"logit","common","hidden_u_shift","direction","small","medium",10000,0.0588,0.0448999999999999,0.0727,0.0594,0.0458999999999999,0.0729000000000001
11,"logit","common","hidden_u_shift","direction","medium","large",10000,0.000600000000000045,-0.0133,0.0145000000000001,6e-04,0,0.0141000000000001
11,"logit","common","hidden_u_shift","direction","small","large",10000,0.0594,0.0455,0.0733,0.0594,0.0458999999999999,0.0729000000000001
11,"logit","common","hidden_u_shift","overlap","small","medium",10000,-0.0821000000000001,-0.0960000000000001,-0.0682,0.1183,0.1048,0.1318
11,"logit","common","hidden_u_shift","overlap","medium","large",10000,-0.8145,-0.8284,-0.8006,0.8197,0.8062,0.8332
11,"logit","common","hidden_u_shift","overlap","small","large",10000,-0.8966,-0.9105,-0.8827,0.9,0.8865,0.9135
12,"probit","common","hidden_u_shift","direction","small","medium",10000,0.00409999999999999,-0.00980000000000003,0.018,0.0041,0,0.0176000000000001
12,"probit","common","hidden_u_shift","direction","medium","large",10000,0,-0.0139,0.0139,0,0,0.0135000000000001
12,"probit","common","hidden_u_shift","direction","small","large",10000,0.00409999999999999,-0.00980000000000003,0.018,0.0041,0,0.0176000000000001
12,"probit","common","hidden_u_shift","overlap","small","medium",10000,-0.2133,-0.2272,-0.1994,0.2557,0.2422,0.2692
12,"probit","common","hidden_u_shift","overlap","medium","large",10000,-0.7317,-0.7456,-0.7178,0.7317,0.7182,0.7452
12,"probit","common","hidden_u_shift","overlap","small","large",10000,-0.945,-0.9589,-0.9311,0.945,0.9315,0.9585
13,"logit","lower","measurement_mismatch","direction","small","medium",10000,0.2065,0.1926,0.2204,0.2635,0.25,0.277
13,"logit","lower","measurement_mismatch","direction","medium","large",10000,0.0664,0.0525,0.0803,0.0664,0.0528999999999999,0.0799000000000001
13,"logit","lower","measurement_mismatch","direction","small","large",10000,0.2729,0.259,0.2868,0.2729,0.2594,0.2864
13,"logit","lower","measurement_mismatch","overlap","small","medium",10000,-0.0021000000000001,-0.0160000000000001,0.0117999999999999,0.0281,0.0145999999999999,0.0416000000000001
13,"logit","lower","measurement_mismatch","overlap","medium","large",10000,-0.0336,-0.0475,-0.0196999999999999,0.0592,0.0456999999999999,0.0727000000000001
13,"logit","lower","measurement_mismatch","overlap","small","large",10000,-0.0357000000000001,-0.0496000000000001,-0.0218,0.0615,0.0479999999999999,0.0750000000000001
14,"probit","lower","measurement_mismatch","direction","small","medium",10000,0.1611,0.1472,0.175,0.1757,0.1622,0.1892
14,"probit","lower","measurement_mismatch","direction","medium","large",10000,0.0173,0.00339999999999996,0.0312,0.0173,0.00379999999999993,0.0308000000000001
14,"probit","lower","measurement_mismatch","direction","small","large",10000,0.1784,0.1645,0.1923,0.1784,0.1649,0.1919
14,"probit","lower","measurement_mismatch","overlap","small","medium",10000,-0.00529999999999997,-0.0192,0.00860000000000005,0.0317,0.0181999999999999,0.0452000000000001
14,"probit","lower","measurement_mismatch","overlap","medium","large",10000,-0.0604,-0.0743,-0.0465,0.0924,0.0788999999999999,0.1059
14,"probit","lower","measurement_mismatch","overlap","small","large",10000,-0.0657,-0.0796,-0.0518,0.0931,0.0795999999999999,0.1066
