"scenario","method","estimand","start","truth","bias","bias_mcse","empse","empse_mcse","modse","modse_mcse","relerror_modse","relerror_modse_mcse","mse","mse_mcse","coverage","coverage_mcse","becoverage","becoverage_mcse","rejection","rejection_mcse","convergence","n_used","n_attempted","fixed_modse","fixed_to_linearized","bootstrap_to_linearized","h_key","h_label","a","adoption","b","background","sentinel","projection","projection_lo","projection_hi","projection_minus_theta_equal","sampling_bias_to_projection"
3,"calendar_quadratic","theta_equal",NA,-0.0775649770627947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"cosine","transient loss of benefit",0,"none",0,"none",FALSE,NA,NA,NA,NA,NA
3,"equal_common","theta_equal",NA,-0.0775649770627947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"cosine","transient loss of benefit",0,"none",0,"none",FALSE,NA,NA,NA,NA,NA
3,"package_like","theta_equal",NA,-0.0775649770627947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"cosine","transient loss of benefit",0,"none",0,"none",FALSE,NA,NA,NA,NA,NA
4,"calendar_omitted","theta_equal",NA,-0.0786112508681089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"none","no conditional effect modification",0.8,"strong",0,"none",FALSE,NA,NA,NA,NA,NA
4,"calendar_quadratic","theta_equal",NA,-0.0786112508681089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"none","no conditional effect modification",0.8,"strong",0,"none",FALSE,NA,NA,NA,NA,NA
4,"equal_common","theta_equal",NA,-0.0786112508681089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"none","no conditional effect modification",0.8,"strong",0,"none",FALSE,NA,NA,NA,NA,NA
4,"package_like","theta_equal",NA,-0.0786112508681089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"none","no conditional effect modification",0.8,"strong",0,"none",FALSE,NA,NA,NA,NA,NA
5,"calendar_omitted","theta_equal",NA,-0.0802608270529319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"monotone","monotone conditional effect modification",0.8,"strong",0,"none",FALSE,NA,NA,NA,NA,NA
5,"calendar_quadratic","theta_equal",NA,-0.0802608270529319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"monotone","monotone conditional effect modification",0.8,"strong",0,"none",FALSE,NA,NA,NA,NA,NA
5,"equal_common","theta_equal",NA,-0.0802608270529319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"monotone","monotone conditional effect modification",0.8,"strong",0,"none",FALSE,NA,NA,NA,NA,NA
5,"package_like","theta_equal",NA,-0.0802608270529319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"monotone","monotone conditional effect modification",0.8,"strong",0,"none",FALSE,NA,NA,NA,NA,NA
6,"calendar_omitted","theta_equal",NA,-0.079363354363743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"cosine","transient loss of benefit",0.8,"strong",0,"none",FALSE,NA,NA,NA,NA,NA
6,"calendar_quadratic","theta_equal",NA,-0.079363354363743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"cosine","transient loss of benefit",0.8,"strong",0,"none",FALSE,NA,NA,NA,NA,NA
6,"equal_common","theta_equal",NA,-0.079363354363743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"cosine","transient loss of benefit",0.8,"strong",0,"none",FALSE,NA,NA,NA,NA,NA
6,"package_like","theta_equal",NA,-0.079363354363743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"cosine","transient loss of benefit",0.8,"strong",0,"none",FALSE,NA,NA,NA,NA,NA
7,"calendar_omitted","theta_equal",NA,-0.0860519354933056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"none","no conditional effect modification",0,"none",0.35,"strong",FALSE,NA,NA,NA,NA,NA
7,"calendar_quadratic","theta_equal",NA,-0.0860519354933056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"none","no conditional effect modification",0,"none",0.35,"strong",FALSE,NA,NA,NA,NA,NA
7,"equal_common","theta_equal",NA,-0.0860519354933056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"none","no conditional effect modification",0,"none",0.35,"strong",FALSE,NA,NA,NA,NA,NA
7,"package_like","theta_equal",NA,-0.0860519354933056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"none","no conditional effect modification",0,"none",0.35,"strong",FALSE,NA,NA,NA,NA,NA
8,"calendar_omitted","theta_equal",NA,-0.0850380213129957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"monotone","monotone conditional effect modification",0,"none",0.35,"strong",FALSE,NA,NA,NA,NA,NA
8,"calendar_quadratic","theta_equal",NA,-0.0850380213129957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"monotone","monotone conditional effect modification",0,"none",0.35,"strong",FALSE,NA,NA,NA,NA,NA
8,"equal_common","theta_equal",NA,-0.0850380213129957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"monotone","monotone conditional effect modification",0,"none",0.35,"strong",FALSE,NA,NA,NA,NA,NA
8,"package_like","theta_equal",NA,-0.0850380213129957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"monotone","monotone conditional effect modification",0,"none",0.35,"strong",FALSE,NA,NA,NA,NA,NA
9,"calendar_omitted","theta_equal",NA,-0.086669876849463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"cosine","transient loss of benefit",0,"none",0.35,"strong",FALSE,NA,NA,NA,NA,NA
9,"calendar_quadratic","theta_equal",NA,-0.086669876849463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"cosine","transient loss of benefit",0,"none",0.35,"strong",FALSE,NA,NA,NA,NA,NA
9,"equal_common","theta_equal",NA,-0.086669876849463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"cosine","transient loss of benefit",0,"none",0.35,"strong",FALSE,NA,NA,NA,NA,NA
9,"package_like","theta_equal",NA,-0.086669876849463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"cosine","transient loss of benefit",0,"none",0.35,"strong",FALSE,NA,NA,NA,NA,NA
