"scenario","truth_class","variance_ratio","lower","upper","mse_ratio"
1,"material",NA,NA,NA,NA
2,"material",NA,NA,NA,NA
3,"material",NA,NA,NA,NA
4,"material",NA,NA,NA,NA
5,"material",NA,NA,NA,NA
6,"material",NA,NA,NA,NA
7,"indifference",NA,NA,NA,NA
8,"material",NA,NA,NA,NA
9,"material",NA,NA,NA,NA
10,"indifference",NA,NA,NA,NA
11,"material",NA,NA,NA,NA
12,"material",NA,NA,NA,NA
