"metric","estimate","bootstrap_se","lower","upper"
"common_bias_s01",NA,NA,NA,NA
"common_cov_s01",NA,NA,NA,NA
"flex_bias_s01",NA,NA,NA,NA
"flex_cov_s01",NA,NA,NA,NA
"omit_bias_s01",NA,NA,NA,NA
"quad_bias_s01",NA,NA,NA,NA
"eff_varratio_s01",NA,NA,NA,NA
"common_bias_s02",NA,NA,NA,NA
"common_cov_s02",NA,NA,NA,NA
"flex_bias_s02",NA,NA,NA,NA
"flex_cov_s02",NA,NA,NA,NA
"omit_bias_s02",NA,NA,NA,NA
"quad_bias_s02",NA,NA,NA,NA
"eff_varratio_s02",NA,NA,NA,NA
"common_bias_s03",NA,NA,NA,NA
"common_cov_s03",NA,NA,NA,NA
"flex_bias_s03",NA,NA,NA,NA
"flex_cov_s03",NA,NA,NA,NA
"omit_bias_s03",NA,NA,NA,NA
"quad_bias_s03",NA,NA,NA,NA
"eff_varratio_s03",NA,NA,NA,NA
"common_bias_s04",NA,NA,NA,NA
"common_cov_s04",NA,NA,NA,NA
"flex_bias_s04",NA,NA,NA,NA
"flex_cov_s04",NA,NA,NA,NA
"omit_bias_s04",NA,NA,NA,NA
"quad_bias_s04",NA,NA,NA,NA
"eff_varratio_s04",NA,NA,NA,NA
"common_bias_s05",NA,NA,NA,NA
"common_cov_s05",NA,NA,NA,NA
"flex_bias_s05",NA,NA,NA,NA
"flex_cov_s05",NA,NA,NA,NA
"omit_bias_s05",NA,NA,NA,NA
"quad_bias_s05",NA,NA,NA,NA
"eff_varratio_s05",NA,NA,NA,NA
"common_bias_s06",NA,NA,NA,NA
"common_cov_s06",NA,NA,NA,NA
"flex_bias_s06",NA,NA,NA,NA
"flex_cov_s06",NA,NA,NA,NA
"omit_bias_s06",NA,NA,NA,NA
"quad_bias_s06",NA,NA,NA,NA
"eff_varratio_s06",NA,NA,NA,NA
"common_bias_s07",NA,NA,NA,NA
"common_cov_s07",NA,NA,NA,NA
"flex_bias_s07",NA,NA,NA,NA
"flex_cov_s07",NA,NA,NA,NA
"omit_bias_s07",NA,NA,NA,NA
"quad_bias_s07",NA,NA,NA,NA
"eff_varratio_s07",NA,NA,NA,NA
"common_bias_s08",NA,NA,NA,NA
"common_cov_s08",NA,NA,NA,NA
"flex_bias_s08",NA,NA,NA,NA
"flex_cov_s08",NA,NA,NA,NA
"omit_bias_s08",NA,NA,NA,NA
"quad_bias_s08",NA,NA,NA,NA
"eff_varratio_s08",NA,NA,NA,NA
"common_bias_s09",NA,NA,NA,NA
"common_cov_s09",NA,NA,NA,NA
"flex_bias_s09",NA,NA,NA,NA
"flex_cov_s09",NA,NA,NA,NA
"omit_bias_s09",NA,NA,NA,NA
"quad_bias_s09",NA,NA,NA,NA
"eff_varratio_s09",NA,NA,NA,NA
"common_bias_s10",NA,NA,NA,NA
"common_cov_s10",NA,NA,NA,NA
"flex_bias_s10",NA,NA,NA,NA
"flex_cov_s10",NA,NA,NA,NA
"omit_bias_s10",NA,NA,NA,NA
"quad_bias_s10",NA,NA,NA,NA
"eff_varratio_s10",NA,NA,NA,NA
"common_bias_s11",NA,NA,NA,NA
"common_cov_s11",NA,NA,NA,NA
"flex_bias_s11",NA,NA,NA,NA
"flex_cov_s11",NA,NA,NA,NA
"omit_bias_s11",NA,NA,NA,NA
"quad_bias_s11",NA,NA,NA,NA
"eff_varratio_s11",NA,NA,NA,NA
"common_bias_s12",NA,NA,NA,NA
"common_cov_s12",NA,NA,NA,NA
"flex_bias_s12",NA,NA,NA,NA
"flex_cov_s12",NA,NA,NA,NA
"omit_bias_s12",NA,NA,NA,NA
"quad_bias_s12",NA,NA,NA,NA
"eff_varratio_s12",NA,NA,NA,NA
"diagnostic_sensitivity",NA,NA,NA,NA
"diagnostic_specificity",NA,NA,NA,NA
"calendar_interaction_none",NA,NA,NA,NA
"calendar_interaction_monotone",NA,NA,NA,NA
"calendar_interaction_cosine",NA,NA,NA,NA
