"scenario","start","p_eligible","risk1","risk0","rd","rd_lo","rd_hi","h_key","h_label","a","adoption","b","background","sentinel"
4,2,0.9051975,0.138149961748679,0.231367740189296,-0.0932177784406165,-0.09396834991165,-0.0924672069695831,"none","no conditional effect modification",0.8,"strong",0,"none",FALSE
4,4,0.81894,0.129839182357682,0.219662612645615,-0.0898234302879332,-0.0904628180687616,-0.0891840425071048,"none","no conditional effect modification",0.8,"strong",0,"none",FALSE
4,6,0.739528,0.123050783743144,0.2093876093941,-0.0863368256509558,-0.0871636983183018,-0.0855099529836097,"none","no conditional effect modification",0.8,"strong",0,"none",FALSE
4,8,0.6656125,0.115755037653289,0.198673402317414,-0.0829183646641251,-0.0836287657315106,-0.0822079635967396,"none","no conditional effect modification",0.8,"strong",0,"none",FALSE
4,10,0.5963635,0.109437448804295,0.189241964003498,-0.0798045151992032,-0.0804466663339819,-0.0791623640644244,"none","no conditional effect modification",0.8,"strong",0,"none",FALSE
4,12,0.5318855,0.103592784537274,0.180241800161877,-0.0766490156246034,-0.0773987155314947,-0.0758993157177121,"none","no conditional effect modification",0.8,"strong",0,"none",FALSE
4,14,0.471466,0.0972721256675985,0.171205346727017,-0.0739332210594189,-0.0747825035881506,-0.0730839385306873,"none","no conditional effect modification",0.8,"strong",0,"none",FALSE
4,16,0.4149075,0.0919711019926128,0.162844730451968,-0.0708736284593554,-0.0717850869777961,-0.0699621699409146,"none","no conditional effect modification",0.8,"strong",0,"none",FALSE
4,18,0.361981,0.0867586972796915,0.154318873090024,-0.0675601758103326,-0.0681710980013031,-0.0669492536193621,"none","no conditional effect modification",0.8,"strong",0,"none",FALSE
4,20,0.3130665,0.0826996820164406,0.146515197250424,-0.0638155152339838,-0.0650240933456761,-0.0626069371222915,"none","no conditional effect modification",0.8,"strong",0,"none",FALSE
4,22,0.267751,0.0762760923395244,0.137194632326303,-0.0609185399867787,-0.0619061283148283,-0.0599309516587292,"none","no conditional effect modification",0.8,"strong",0,"none",FALSE
5,0,1,0.1126095,0.242949,-0.1303395,-0.131087727923074,-0.129591272076926,"monotone","monotone conditional effect modification",0.8,"strong",0,"none",FALSE
5,2,0.9051975,0.111852938170952,0.231367740189296,-0.119514802018344,-0.120454064670854,-0.118575539365834,"monotone","monotone conditional effect modification",0.8,"strong",0,"none",FALSE
5,4,0.81894,0.110329206046841,0.219662612645615,-0.109333406598774,-0.110102849444179,-0.10856396375337,"monotone","monotone conditional effect modification",0.8,"strong",0,"none",FALSE
5,6,0.739528,0.109289979554527,0.2093876093941,-0.100097629839573,-0.100879895297199,-0.0993153643819476,"monotone","monotone conditional effect modification",0.8,"strong",0,"none",FALSE
5,8,0.6656125,0.107754887415726,0.198673402317414,-0.0909185149016883,-0.0917362376529764,-0.0901007921504002,"monotone","monotone conditional effect modification",0.8,"strong",0,"none",FALSE
5,10,0.5963635,0.106807341495581,0.189241964003498,-0.0824346225079167,-0.0831318130728225,-0.081737431943011,"monotone","monotone conditional effect modification",0.8,"strong",0,"none",FALSE
5,12,0.5318855,0.106075461730015,0.180241800161877,-0.0741663384318617,-0.0748902806481985,-0.073442396215525,"monotone","monotone conditional effect modification",0.8,"strong",0,"none",FALSE
5,14,0.471466,0.104732896963938,0.171205346727017,-0.0664724497630794,-0.0672925458269095,-0.0656523536992493,"monotone","monotone conditional effect modification",0.8,"strong",0,"none",FALSE
5,16,0.4149075,0.104062953790905,0.162844730451968,-0.058781776661063,-0.0595886368946353,-0.0579749164274907,"monotone","monotone conditional effect modification",0.8,"strong",0,"none",FALSE
5,18,0.361981,0.103211218268362,0.154318873090024,-0.0511076548216619,-0.0515690693381946,-0.0506462403051292,"monotone","monotone conditional effect modification",0.8,"strong",0,"none",FALSE
5,20,0.3130665,0.103212895662743,0.146515197250424,-0.0433023015876818,-0.0441802705647496,-0.0424243326106141,"monotone","monotone conditional effect modification",0.8,"strong",0,"none",FALSE
5,22,0.267751,0.100533704822764,0.137194632326303,-0.0366609275035387,-0.0374959220754068,-0.0358259329316706,"monotone","monotone conditional effect modification",0.8,"strong",0,"none",FALSE
6,0,1,0.1126095,0.242949,-0.1303395,-0.13106961324676,-0.12960938675324,"cosine","transient loss of benefit",0.8,"strong",0,"none",FALSE
6,2,0.9051975,0.111184023376114,0.231367740189296,-0.120183716813182,-0.121096131856279,-0.119271301770085,"cosine","transient loss of benefit",0.8,"strong",0,"none",FALSE
6,4,0.81894,0.116809534276015,0.219662612645615,-0.1028530783696,-0.103540130544171,-0.102166026195029,"cosine","transient loss of benefit",0.8,"strong",0,"none",FALSE
6,6,0.739528,0.127678059519045,0.2093876093941,-0.0817095498750555,-0.082517768068082,-0.0809013316820289,"cosine","transient loss of benefit",0.8,"strong",0,"none",FALSE
6,8,0.6656125,0.13710003943736,0.198673402317414,-0.0615733628800541,-0.0623018911654761,-0.060844834594632,"cosine","transient loss of benefit",0.8,"strong",0,"none",FALSE
6,10,0.5963635,0.140436160160707,0.189241964003498,-0.0488058038427905,-0.0492881800214508,-0.0483234276641302,"cosine","transient loss of benefit",0.8,"strong",0,"none",FALSE
6,12,0.5318855,0.133342608512546,0.180241800161877,-0.0468991916493305,-0.0474185511293677,-0.0463798321692934,"cosine","transient loss of benefit",0.8,"strong",0,"none",FALSE
6,14,0.471466,0.115977610262458,0.171205346727017,-0.0552277364645595,-0.0558619224420862,-0.0545935504870327,"cosine","transient loss of benefit",0.8,"strong",0,"none",FALSE
6,16,0.4149075,0.0955309315931864,0.162844730451968,-0.0673137988587818,-0.0681009923091563,-0.0665266054084072,"cosine","transient loss of benefit",0.8,"strong",0,"none",FALSE
6,18,0.361981,0.0774640105419898,0.154318873090024,-0.0768548625480343,-0.0774519152830648,-0.0762578098130038,"cosine","transient loss of benefit",0.8,"strong",0,"none",FALSE
6,20,0.3130665,0.0653998431643117,0.146515197250424,-0.0811153540861127,-0.0826035754454853,-0.0796271327267401,"cosine","transient loss of benefit",0.8,"strong",0,"none",FALSE
6,22,0.267751,0.0577103353488876,0.137194632326303,-0.0794842969774156,-0.0804953913961391,-0.078473202558692,"cosine","transient loss of benefit",0.8,"strong",0,"none",FALSE
7,0,1,0.1252435,0.214446,-0.0892025,-0.0899006265329242,-0.0885043734670758,"none","no conditional effect modification",0,"none",0.35,"strong",FALSE
7,2,0.8690215,0.122727688555462,0.21013058940429,-0.0874029008488283,-0.088025107998027,-0.0867806936996295,"none","no conditional effect modification",0,"none",0.35,"strong",FALSE
