"scenario","method","estimand","start","truth","bias","bias_mcse","empse","empse_mcse","modse","modse_mcse","relerror_modse","relerror_modse_mcse","mse","mse_mcse","coverage","coverage_mcse","becoverage","becoverage_mcse","rejection","rejection_mcse","convergence","n_used","n_attempted","fixed_modse","fixed_to_linearized","bootstrap_to_linearized","h_key","h_label","a","adoption","b","background","sentinel","theta_equal"
8,"calendar_quadratic","theta_equal",NA,-0.0850380213129957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"monotone","monotone conditional effect modification",0,"none",0.35,"strong",FALSE,-0.0850380213129957
8,"equal_flexible","theta_equal",NA,-0.0850380213129957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"monotone","monotone conditional effect modification",0,"none",0.35,"strong",FALSE,-0.0850380213129957
9,"calendar_omitted","theta_equal",NA,-0.086669876849463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"cosine","transient loss of benefit",0,"none",0.35,"strong",FALSE,-0.086669876849463
9,"calendar_quadratic","theta_equal",NA,-0.086669876849463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"cosine","transient loss of benefit",0,"none",0.35,"strong",FALSE,-0.086669876849463
9,"equal_flexible","theta_equal",NA,-0.086669876849463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"cosine","transient loss of benefit",0,"none",0.35,"strong",FALSE,-0.086669876849463
10,"calendar_omitted","theta_equal",NA,-0.0884346880387105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"none","no conditional effect modification",0.8,"strong",0.35,"strong",TRUE,-0.0884346880387105
10,"calendar_quadratic","theta_equal",NA,-0.0884346880387105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"none","no conditional effect modification",0.8,"strong",0.35,"strong",TRUE,-0.0884346880387105
10,"equal_flexible","theta_equal",NA,-0.0884346880387105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"none","no conditional effect modification",0.8,"strong",0.35,"strong",TRUE,-0.0884346880387105
11,"calendar_quadratic","theta_equal",NA,-0.087629358865105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"monotone","monotone conditional effect modification",0.8,"strong",0.35,"strong",TRUE,-0.087629358865105
11,"calendar_omitted","theta_equal",NA,-0.087629358865105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"monotone","monotone conditional effect modification",0.8,"strong",0.35,"strong",TRUE,-0.087629358865105
11,"equal_flexible","theta_equal",NA,-0.087629358865105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"monotone","monotone conditional effect modification",0.8,"strong",0.35,"strong",TRUE,-0.087629358865105
12,"calendar_omitted","theta_equal",NA,-0.0886016662326515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"cosine","transient loss of benefit",0.8,"strong",0.35,"strong",TRUE,-0.0886016662326515
12,"calendar_quadratic","theta_equal",NA,-0.0886016662326515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"cosine","transient loss of benefit",0.8,"strong",0.35,"strong",TRUE,-0.0886016662326515
12,"equal_flexible","theta_equal",NA,-0.0886016662326515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,500,NA,NA,NA,"cosine","transient loss of benefit",0.8,"strong",0.35,"strong",TRUE,-0.0886016662326515
