"truth_key","risk0","risk1","rd","mass_tolerance","sim_risk0","sim_risk1","sim_rd","sim_mcse_risk0","sim_mcse_risk1","sim_mcse_rd","validation_n","distance_risk0","distance_risk1","distance_rd","pass_risk0","pass_risk1","pass_rd","verified"
"deltaQ0",0.351979367015405,0.19197986066814,-0.159999506347264,1e-12,0.352332,0.1920768,-0.1602552,0.000213632470273599,0.000176172246907258,0.000164057000940319,5000000,0.000352632984595369,9.693933185978e-05,0.000255693652735589,TRUE,TRUE,TRUE,TRUE
"deltaQ1",0.335505264506325,0.191854733616129,-0.143650530890196,1e-12,0.3357002,0.1919104,-0.1437898,0.000211189760982847,0.000176114053029189,0.000157073688495625,5000000,0.000194935493674664,5.56663838707505e-05,0.000139269109803913,TRUE,TRUE,TRUE,TRUE
"C0",0.351979367015405,0.351979367015405,0,1e-12,0.3518594,0.3518594,0,0.000213567021158062,0.000213567021158062,0,5000000,0.000119967015404621,0.000119967015404621,0,TRUE,TRUE,TRUE,TRUE
"C1",0.337777595870494,0.20471995748074,-0.133057638389753,1e-12,0.3378858,0.205029,-0.1328568,0.000211527296658545,0.000180550330467158,0.000154318563049284,5000000,0.000108204129506462,0.000309042519259478,0.000200838389753044,TRUE,TRUE,TRUE,TRUE
