"scenario","mortality_key","death_effect_key","outcome_effect_key","q_key","beta_DA","gamma","beta_YA","beta_YAC","horizon","total_risk_1","total_risk_0","net_risk_1","net_risk_0","total_rd","net_rd","displacement","absolute_displacement","total_rd_mcse","net_rd_mcse","displacement_mcse","displacement_ci_low","displacement_ci_high","absolute_displacement_ci_low","absolute_displacement_ci_high","direction_class","displacement_class","truth_batches","truth_n","truth_mcse_max","truth_elapsed_sec"
4,"low","neutral","null","none",0,0,0,0,36,0.167770248769365,0.167770248769365,0.173674105421568,0.173674105421568,0,0,0,0,0,0,0,0,0,0,0,"joint-null","not-material",200,2000000,0,22.557
4,"low","neutral","null","none",0,0,0,0,60,0.307009366001671,0.307009366001671,0.32760160390572,0.32760160390572,0,0,0,0,0,0,0,0,0,0,0,"joint-null","not-material",200,2000000,0,22.557
5,"moderate","neutral","null","none",0,0,0,0,12,0.0438877237856662,0.0438877237856662,0.0453240698776696,0.0453240698776696,0,0,0,0,0,0,0,0,0,0,0,"joint-null","not-material",200,2000000,0,23.613
5,"moderate","neutral","null","none",0,0,0,0,36,0.153935884744118,0.153935884744118,0.173674105421568,0.173674105421568,0,0,0,0,0,0,0,0,0,0,0,"joint-null","not-material",200,2000000,0,23.613
5,"moderate","neutral","null","none",0,0,0,0,60,0.26313492376648,0.26313492376648,0.32760160390572,0.32760160390572,0,0,0,0,0,0,0,0,0,0,0,"joint-null","not-material",200,2000000,0,23.613
6,"high","neutral","null","none",0,0,0,0,12,0.0422652040593303,0.0422652040593303,0.0453240698776696,0.0453240698776696,0,0,0,0,0,0,0,0,0,0,0,"joint-null","not-material",200,2000000,0,25.463
6,"high","neutral","null","none",0,0,0,0,36,0.134789423366207,0.134789423366207,0.173674105421568,0.173674105421568,0,0,0,0,0,0,0,0,0,0,0,"joint-null","not-material",200,2000000,0,25.463
6,"high","neutral","null","none",0,0,0,0,60,0.211449350771267,0.211449350771267,0.32760160390572,0.32760160390572,0,0,0,0,0,0,0,0,0,0,0,"joint-null","not-material",200,2000000,0,25.463
7,"low","protective","null","none",-0.510826,0,0,0,12,0.045077276148823,0.0449144434077431,0.0453240698776696,0.0453240698776696,0.000162832741079977,0,-0.000162832741079977,0.000162832741079977,1.95062880535732e-07,0,1.95062880535732e-07,-0.00016321739660379,-0.000162448085556164,0.000162448085556164,0.00016321739660379,"joint-null","not-material",200,2000000,1.95062880535732e-07,25.059
7,"low","protective","null","none",-0.510826,0,0,0,36,0.170076604427094,0.167770248769365,0.173674105421568,0.173674105421568,0.00230635565772848,0,-0.00230635565772848,0.00230635565772848,2.32917325800675e-06,0,2.32917325800675e-06,-0.0023109486861773,-0.00230176262927966,0.00230176262927966,0.0023109486861773,"zero-versus-nonzero","not-material",200,2000000,2.32917325800675e-06,25.059
7,"low","protective","null","none",-0.510826,0,0,0,60,0.314890015505629,0.307009366001671,0.32760160390572,0.32760160390572,0.00788064950395736,0,-0.00788064950395736,0.00788064950395736,6.54520941343038e-06,0,6.54520941343038e-06,-0.00789355637249367,-0.00786774263542105,0.00786774263542105,0.00789355637249367,"zero-versus-nonzero","not-material",200,2000000,6.54520941343038e-06,25.059
8,"moderate","protective","null","none",-0.510826,0,0,0,12,0.0444497068965782,0.0438877237856662,0.0453240698776696,0.0453240698776696,0.000561983110911985,0,-0.000561983110911985,0.000561983110911985,6.39020128807722e-07,0,6.39020128807722e-07,-0.000563243230836897,-0.000560722990987074,0.000560722990987074,0.000563243230836897,"joint-null","not-material",200,2000000,6.39020128807722e-07,16.771
8,"moderate","protective","null","none",-0.510826,0,0,0,36,0.161202089821137,0.153935884744118,0.173674105421568,0.173674105421568,0.00726620507701865,0,-0.00726620507701865,0.00726620507701865,6.28284421996919e-06,0,6.28284421996919e-06,-0.00727859457279473,-0.00725381558124257,0.00725381558124257,0.00727859457279473,"zero-versus-nonzero","not-material",200,2000000,6.28284421996919e-06,16.771
8,"moderate","protective","null","none",-0.510826,0,0,0,60,0.285317283859642,0.26313492376648,0.32760160390572,0.32760160390572,0.0221823600931623,0,-0.0221823600931623,0.0221823600931623,1.4754525110853e-05,0,1.4754525110853e-05,-0.022211455375512,-0.0221532648108127,0.0221532648108127,0.022211455375512,"zero-versus-nonzero","material",200,2000000,1.4754525110853e-05,16.771
9,"high","protective","null","none",-0.510826,0,0,0,12,0.0434314940979664,0.0422652040593303,0.0453240698776696,0.0453240698776696,0.00116629003863611,0,-0.00116629003863611,0.00116629003863611,1.22664794078451e-06,0,1.22664794078451e-06,-0.00116870893507044,-0.00116387114220179,0.00116387114220179,0.00116870893507044,"zero-versus-nonzero","not-material",200,2000000,1.22664794078451e-06,15.596
9,"high","protective","null","none",-0.510826,0,0,0,36,0.147828285505266,0.134789423366207,0.173674105421568,0.173674105421568,0.0130388621390592,0,-0.0130388621390592,0.0130388621390592,9.29653272268924e-06,0,9.29653272268924e-06,-0.0130571944976006,-0.0130205297805179,0.0130205297805179,0.0130571944976006,"zero-versus-nonzero","material",200,2000000,9.29653272268924e-06,15.596
