"formal_scenario","pair_id","method","own_target","psi","mapped_equal","exact_change","functional_discrepancy"
1,3,"site-exclusion-200",NA,-0.06,-0.06,0,NA
2,1,"historical-fixed",-0.06,-0.06,-0.06,6.93889390390723e-18,0
2,1,"historical-dl",-0.06,-0.06,-0.06,6.93889390390723e-18,0
2,1,"historical-q-gate",-0.06,-0.06,-0.06,6.93889390390723e-18,0
2,1,"commonq-fixed",-0.06,-0.06,-0.06,6.93889390390723e-18,1.38777878078145e-17
2,1,"pm-hk",-0.06,-0.06,-0.06,6.93889390390723e-18,1.38777878078145e-17
2,1,"equalq",-0.06,-0.06,-0.06,6.93889390390723e-18,6.93889390390723e-18
2,1,"aggregate-gate",-0.06,-0.06,-0.06,6.93889390390723e-18,6.93889390390723e-18
2,1,"validation-50",-0.06,-0.06,-0.06,6.93889390390723e-18,6.93889390390723e-18
2,1,"validation-100",-0.06,-0.06,-0.06,6.93889390390723e-18,6.93889390390723e-18
2,1,"validation-200",-0.06,-0.06,-0.06,6.93889390390723e-18,6.93889390390723e-18
2,1,"site-exclusion-200",NA,-0.06,-0.06,6.93889390390723e-18,NA
2,2,"historical-fixed",-0.06,-0.06,-0.06,6.93889390390723e-18,1.38777878078145e-17
2,2,"historical-dl",-0.06,-0.06,-0.06,6.93889390390723e-18,1.38777878078145e-17
2,2,"historical-q-gate",-0.06,-0.06,-0.06,6.93889390390723e-18,1.38777878078145e-17
2,2,"commonq-fixed",-0.06,-0.06,-0.06,6.93889390390723e-18,0
2,2,"pm-hk",-0.06,-0.06,-0.06,6.93889390390723e-18,0
2,2,"equalq",-0.06,-0.06,-0.06,6.93889390390723e-18,6.93889390390723e-18
2,2,"aggregate-gate",-0.06,-0.06,-0.06,6.93889390390723e-18,6.93889390390723e-18
2,2,"validation-50",-0.06,-0.06,-0.06,6.93889390390723e-18,6.93889390390723e-18
2,2,"validation-100",-0.06,-0.06,-0.06,6.93889390390723e-18,6.93889390390723e-18
2,2,"validation-200",-0.06,-0.06,-0.06,6.93889390390723e-18,6.93889390390723e-18
2,2,"site-exclusion-200",NA,-0.06,-0.06,6.93889390390723e-18,NA
2,3,"historical-fixed",-0.06,-0.06,-0.06,0,-6.93889390390723e-18
