"formal_scenario","pair_id","site","theta_local","v_local","theta_q","v_q","intended_theta_q"
4,3,5,-0.06,0.000310674264517776,-0.06,0.000299810978083069,-0.06
4,3,6,-0.06,0.000336564999013679,-0.06,0.000326073121504312,-0.06
5,1,1,-0.06,0.000362376896815091,-0.06,0.000418488745416169,-0.06
5,1,2,-0.06,0.000276689631945643,-0.06,0.000303630075494473,-0.06
5,1,3,-0.06,0.000281638863022205,-0.06,0.000289272796408974,-0.06
5,1,4,-0.06,0.000292710493138556,-0.06,0.00028803865935131,-0.06
5,1,5,-0.06,0.000310674264517776,-0.06,0.000299810978083069,-0.06
5,1,6,-0.06,0.000401180522428612,-0.06,0.00040078720965521,-0.06
5,2,1,-0.06,0.000277324606923071,-0.06,0.000332840092368193,-0.06
5,2,2,-0.06,0.00035453302126434,-0.06,0.000380307272867584,-0.06
5,2,3,-0.06,0.000281638863022205,-0.06,0.000289272796408974,-0.06
5,2,4,-0.06,0.000292710493138556,-0.06,0.00028803865935131,-0.06
5,2,5,-0.06,0.000376565099060444,-0.06,0.000370448089811556,-0.06
5,2,6,-0.06,0.000336564999013679,-0.06,0.000326073121504312,-0.06
5,3,1,-0.06,0.000277324606923071,-0.06,0.000332840092368193,-0.06
5,3,2,-0.06,0.000276689631945643,-0.06,0.000303630075494473,-0.06
5,3,3,-0.06,0.000354011137440865,-0.06,0.000360818745604013,-0.06
5,3,4,-0.06,0.000361149502293048,-0.06,0.000357653211877908,-0.06
5,3,5,-0.06,0.000310674264517776,-0.06,0.000299810978083069,-0.06
5,3,6,-0.06,0.000336564999013679,-0.06,0.000326073121504312,-0.06
6,1,1,-0.06,0.000277324606923071,-0.06,0.000332840092368193,-0.06
6,1,2,-0.06,0.000276689631945643,-0.06,0.000303630075494473,-0.06
6,1,3,-0.06,0.000281638863022205,-0.06,0.000289272796408974,-0.06
6,1,4,-0.06,0.000292710493138556,-0.06,0.00028803865935131,-0.06
6,1,5,-0.06,0.000310674264517776,-0.06,0.000299810978083069,-0.06
6,1,6,-0.06,0.000336564999013679,-0.06,0.000326073121504312,-0.06
6,2,1,-0.06,0.000277324606923071,-0.06,0.000332840092368193,-0.06
6,2,2,-0.06,0.000276689631945643,-0.06,0.000303630075494473,-0.06
6,2,3,-0.06,0.000281638863022205,-0.06,0.000289272796408974,-0.06
6,2,4,-0.06,0.000292710493138556,-0.06,0.00028803865935131,-0.06
6,2,5,-0.06,0.000310674264517776,-0.06,0.000299810978083069,-0.06
6,2,6,-0.06,0.000336564999013679,-0.06,0.000326073121504312,-0.06
6,3,1,-0.06,0.000277324606923071,-0.06,0.000332840092368193,-0.06
6,3,2,-0.06,0.000276689631945643,-0.06,0.000303630075494473,-0.06
6,3,3,-0.06,0.000281638863022205,-0.06,0.000289272796408974,-0.06
6,3,4,-0.06,0.000292710493138556,-0.06,0.00028803865935131,-0.06
6,3,5,-0.06,0.000310674264517776,-0.06,0.000299810978083069,-0.06
6,3,6,-0.06,0.000336564999013679,-0.06,0.000326073121504312,-0.06
7,1,1,-0.0721657413076382,0.000273473120819725,-0.0735630784463202,0.000328155122439131,-0.0735630784463202
7,1,2,-0.0726878585366693,0.000273719915594102,-0.0735630784463202,0.000300342066404095,-0.0735630784463202
7,1,3,-0.0732509459324211,0.000279486503081847,-0.0735630784463202,0.000287044849154349,-0.0735630784463202
7,1,4,-0.0738511460862493,0.000291345895067874,-0.0735630784463202,0.000286683714587165,-0.0735630784463202
7,1,5,-0.0744827979802852,0.000310101545002903,-0.0735630784463202,0.000299256928985103,-0.0735630784463202
7,1,6,-0.0751386541727494,0.000336821665855452,-0.0735630784463202,0.000326350852900657,-0.0735630784463202
7,2,1,-0.0721657413076382,0.000273473120819725,-0.0735630784463202,0.000328155122439131,-0.0735630784463202
7,2,2,-0.0726878585366693,0.000273719915594102,-0.0735630784463202,0.000300342066404095,-0.0735630784463202
7,2,3,-0.0732509459324211,0.000279486503081847,-0.0735630784463202,0.000287044849154349,-0.0735630784463202
7,2,4,-0.0738511460862493,0.000291345895067874,-0.0735630784463202,0.000286683714587165,-0.0735630784463202
7,2,5,-0.0744827979802852,0.000310101545002903,-0.0735630784463202,0.000299256928985103,-0.0735630784463202
7,2,6,-0.0751386541727494,0.000336821665855452,-0.0735630784463202,0.000326350852900657,-0.0735630784463202
7,3,1,-0.0721657413076382,0.000273473120819725,-0.0735630784463202,0.000328155122439131,-0.0735630784463202
7,3,2,-0.0726878585366693,0.000273719915594102,-0.0735630784463202,0.000300342066404095,-0.0735630784463202
7,3,3,-0.0732509459324211,0.000279486503081847,-0.0735630784463202,0.000287044849154349,-0.0735630784463202
7,3,4,-0.0738511460862493,0.000291345895067874,-0.0735630784463202,0.000286683714587165,-0.0735630784463202
7,3,5,-0.0744827979802852,0.000310101545002903,-0.0735630784463202,0.000299256928985103,-0.0735630784463202
7,3,6,-0.0751386541727494,0.000336821665855452,-0.0735630784463202,0.000326350852900657,-0.0735630784463202
8,1,1,-0.0687325774529699,0.000368783772250492,-0.0710543287219395,0.000672817046834309,-0.0735630784463202
8,1,2,-0.0726878585366693,0.000273719915594102,-0.0735630784463202,0.000300342066404095,-0.0735630784463202
8,1,3,-0.0732509459324211,0.000279486503081847,-0.0735630784463202,0.000287044849154349,-0.0735630784463202
8,1,4,-0.0738511460862493,0.000291345895067874,-0.0735630784463202,0.000286683714587165,-0.0735630784463202
8,1,5,-0.0744827979802852,0.000310101545002903,-0.0735630784463202,0.000299256928985103,-0.0735630784463202
8,1,6,-0.0703696867501453,0.000507502079847501,-0.0710543287219395,0.00054450064691101,-0.0735630784463202
8,2,1,-0.0721657413076382,0.000273473120819725,-0.0735630784463202,0.000328155122439131,-0.0735630784463202
8,2,2,-0.0690071124164039,0.000375751140703886,-0.0710543287219395,0.000590516790205255,-0.0735630784463202
8,2,3,-0.0732509459324211,0.000279486503081847,-0.0735630784463202,0.000287044849154349,-0.0735630784463202
8,2,4,-0.0738511460862493,0.000291345895067874,-0.0735630784463202,0.000286683714587165,-0.0735630784463202
8,2,5,-0.0699891901178532,0.000454810827744777,-0.0710543287219395,0.000519326941956361,-0.0735630784463202
8,2,6,-0.0751386541727494,0.000336821665855452,-0.0735630784463202,0.000326350852900657,-0.0735630784463202
8,3,1,-0.0721657413076382,0.000273473120819725,-0.0735630784463202,0.000328155122439131,-0.0735630784463202
8,3,2,-0.0726878585366693,0.000273719915594102,-0.0735630784463202,0.000300342066404095,-0.0735630784463202
8,3,3,-0.0693077257634854,0.000391340655272649,-0.0710543287219395,0.000541066238373366,-0.0735630784463202
8,3,4,-0.0696350440898786,0.000417013189739611,-0.0710543287219395,0.000518254126930911,-0.0735630784463202
8,3,5,-0.0744827979802852,0.000310101545002903,-0.0735630784463202,0.000299256928985103,-0.0735630784463202
8,3,6,-0.0751386541727494,0.000336821665855452,-0.0735630784463202,0.000326350852900657,-0.0735630784463202
9,1,1,-0.0745077438978116,0.000273924873929796,-0.0769490715230572,0.000329538427650256,-0.0735630784463202
9,1,2,-0.0726878585366693,0.000273719915594102,-0.0735630784463202,0.000300342066404095,-0.0735630784463202
9,1,3,-0.0732509459324211,0.000279486503081847,-0.0735630784463202,0.000287044849154349,-0.0735630784463202
9,1,4,-0.0738511460862493,0.000291345895067874,-0.0735630784463202,0.000286683714587165,-0.0735630784463202
9,1,5,-0.0744827979802852,0.000310101545002903,-0.0735630784463202,0.000299256928985103,-0.0735630784463202
9,1,6,-0.0797762023906449,0.000339085472848057,-0.0769490715230572,0.00032749061811704,-0.0735630784463202
9,2,1,-0.0721657413076382,0.000273473120819725,-0.0735630784463202,0.000328155122439131,-0.0735630784463202
9,2,2,-0.0753923576155594,0.00027440205353238,-0.0769490715230572,0.000301595262864885,-0.0735630784463202
9,2,3,-0.0732509459324211,0.000279486503081847,-0.0735630784463202,0.000287044849154349,-0.0735630784463202
9,2,4,-0.0738511460862493,0.000291345895067874,-0.0735630784463202,0.000286683714587165,-0.0735630784463202
9,2,5,-0.0785712220350063,0.000311834254521939,-0.0769490715230572,0.000300367153064972,-0.0735630784463202
9,2,6,-0.0751386541727494,0.000336821665855452,-0.0735630784463202,0.000326350852900657,-0.0735630784463202
9,3,1,-0.0721657413076382,0.000273473120819725,-0.0735630784463202,0.000328155122439131,-0.0735630784463202
9,3,2,-0.0726878585366693,0.000273719915594102,-0.0735630784463202,0.000300342066404095,-0.0735630784463202
9,3,3,-0.0763682770367636,0.000280448072389605,-0.0769490715230572,0.000288211452995611,-0.0735630784463202
9,3,4,-0.0774308803730836,0.000292651560917315,-0.0769490715230572,0.000287803236448473,-0.0735630784463202
9,3,5,-0.0744827979802852,0.000310101545002903,-0.0735630784463202,0.000299256928985103,-0.0735630784463202
9,3,6,-0.0751386541727494,0.000336821665855452,-0.0735630784463202,0.000326350852900657,-0.0735630784463202
10,1,1,-0.0571657413076381,0.000243016666944145,-0.0585630784463202,0.000289700132016493,-0.0735630784463202
10,1,2,-0.0726878585366693,0.000273719915594102,-0.0735630784463202,0.000300342066404095,-0.0735630784463202
10,1,3,-0.0732509459324211,0.000279486503081847,-0.0735630784463202,0.000287044849154349,-0.0735630784463202
10,1,4,-0.0738511460862493,0.000291345895067874,-0.0735630784463202,0.000286683714587165,-0.0735630784463202
10,1,5,-0.0744827979802852,0.000310101545002903,-0.0735630784463202,0.000299256928985103,-0.0735630784463202
10,1,6,-0.0601386541727494,0.000307533410881592,-0.0585630784463202,0.000297906962865973,-0.0735630784463202
10,2,1,-0.0721657413076382,0.000273473120819725,-0.0735630784463202,0.000328155122439131,-0.0735630784463202
10,2,2,-0.0576878585366693,0.000243989540416123,-0.0585630784463202,0.000266922770959541,-0.0735630784463202
10,2,3,-0.0732509459324211,0.000279486503081847,-0.0735630784463202,0.000287044849154349,-0.0735630784463202
10,2,4,-0.0738511460862493,0.000291345895067874,-0.0735630784463202,0.000286683714587165,-0.0735630784463202
