"scenario","separation_key","s","gamma_z_key","gamma_z","shape","I_G","I_C","I_Q","label","n","columns","rank","zero_variance","duplicate","ok"
1,"good",0.65,"absent",0,"all-main",0,0,0,"QL3_a1_t2",8470,13,13,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"G0_t0",20000,4,4,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"G0_t1",18439,5,5,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"G0_t2",16755,5,5,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"G1_t0",20000,5,5,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"G1_t1",18439,6,6,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"G1_t2",16755,6,6,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"G2_t0",20000,7,7,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"G2_t1",18439,8,8,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"G2_t2",16755,8,8,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"G3_t0",20000,6,6,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"G3_t1",18439,7,7,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"G3_t2",16755,7,7,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"G4_t0",20000,11,11,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"G4_t1",18439,12,12,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"G4_t2",16755,12,12,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"C0_t0",20000,5,5,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"C0_t1",18439,5,5,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"C0_t2",16755,5,5,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"C1_t0",20000,6,6,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"C1_t1",18439,6,6,FALSE,FALSE,TRUE
2,"poor",1.25,"absent",0,"all-main",0,0,0,"C1_t2",16755,6,6,FALSE,FALSE,TRUE
