"policy","coverage","mcse","lower","upper","failure_probability","classification"
"fixed_family_bonferroni",0.972680555555556,0.000607287982202967,0.971319378615804,0.974041732495307,0,"calibration gate"
"selected_bonferroni",0.992121527777778,0.000274943077761351,0.991505269613348,0.992737785942208,0,"adequate"
"sample_split",0.947461805555555,0.000694410490005603,0.946100785993922,0.948822825117189,1.38888888888892e-05,"adequate"
