"selector","category","noncoverage_risk","n"
"prognostic_high","1_through_2",0.0425806928133539,27078
"prognostic_low","1_through_2",0.0440209764384376,27078
"workability","1_through_2",0.0410296181401885,27078
"prognostic_high","above_2",0.0818679623631033,25932
"prognostic_low","above_2",0.0767777263612523,25932
"workability","above_2",0.0803254666049663,25932
"prognostic_high","below_1",0.0206951026856246,18990
"prognostic_low","below_1",0.024117956819378,18990
"workability","below_1",0.0210637177461821,18990
