"scenario","n","event_target","K","effect","candidate","coverage","coverage_mcse","failure_probability","failure_mcse","truth_mcse","truth_draws","n_attempted","pass"
35,4000,140,16,"heterogeneous","c55-h36",0.946,0.00505390937789747,0,0,8.81897763929766e-06,2000000,2000,TRUE
36,8000,140,16,"heterogeneous","c55-h36",0.947,0.0050095408971282,0,0,4.79854731004072e-06,2000000,2000,TRUE
7,4000,35,16,"null","c55-h48",0.951,0.00482695556225661,0,0,0,2000000,2000,TRUE
8,8000,35,16,"null","c55-h48",0.95,0.00487339717240448,0,0,0,2000000,2000,TRUE
9,4000,70,16,"null","c55-h48",0.9385,0.00537204569973116,0,0,0,2000000,2000,TRUE
10,8000,70,16,"null","c55-h48",0.954,0.00468422885862764,0,0,0,2000000,2000,TRUE
11,4000,140,16,"null","c55-h48",0.9435,0.00516273909857936,0,0,0,2000000,2000,TRUE
12,8000,140,16,"null","c55-h48",0.9535,0.00470838348055891,0,0,0,2000000,2000,TRUE
19,4000,35,16,"homogeneous","c55-h48",0.9485,0.00494205169944629,0,0,2.57384580644808e-06,2000000,2000,TRUE
20,8000,35,16,"homogeneous","c55-h48",0.947,0.0050095408971282,0,0,1.4893828558199e-06,2000000,2000,TRUE
21,4000,70,16,"homogeneous","c55-h48",0.9535,0.00470838348055891,0,0,5.9211518268844e-06,2000000,2000,TRUE
22,8000,70,16,"homogeneous","c55-h48",0.9475,0.00498717104178311,0,0,2.83270241787314e-06,2000000,2000,TRUE
23,4000,140,16,"homogeneous","c55-h48",0.9465,0.00503178646208283,0,0,9.37966157102546e-06,2000000,2000,TRUE
24,8000,140,16,"homogeneous","c55-h48",0.9485,0.00494205169944629,0,0,5.50345425312503e-06,2000000,2000,TRUE
31,4000,35,16,"heterogeneous","c55-h48",0.9495,0.00489641450451246,0,0,3.16567223485653e-06,2000000,2000,TRUE
32,8000,35,16,"heterogeneous","c55-h48",0.9445,0.00511955808639769,0,0,1.57901076665968e-06,2000000,2000,TRUE
33,4000,70,16,"heterogeneous","c55-h48",0.9515,0.00480352734977121,0,0,5.93922818002043e-06,2000000,2000,TRUE
34,8000,70,16,"heterogeneous","c55-h48",0.944,0.00514120608417908,0,0,3.05434520508336e-06,2000000,2000,TRUE
35,4000,140,16,"heterogeneous","c55-h48",0.948,0.00496467521596328,0,0,1.13065565490552e-05,2000000,2000,TRUE
36,8000,140,16,"heterogeneous","c55-h48",0.954,0.00468422885862764,0,0,6.27582509300369e-06,2000000,2000,TRUE
1,4000,35,4,"null","c55-h60",0.957,0.00453602248671675,0,0,0,2000000,2000,TRUE
2,8000,35,4,"null","c55-h60",0.943,0.00518415856238985,0,0,0,2000000,2000,TRUE
3,4000,70,4,"null","c55-h60",0.9415,0.0052477495176504,0,0,0,2000000,2000,TRUE
4,8000,70,4,"null","c55-h60",0.9505,0.0048502448391808,0,0,0,2000000,2000,TRUE
5,4000,140,4,"null","c55-h60",0.949,0.00491929873051028,0,0,0,2000000,2000,TRUE
6,8000,140,4,"null","c55-h60",0.9505,0.0048502448391808,0,0,0,2000000,2000,TRUE
7,4000,35,16,"null","c55-h60",0.9495,0.00489641450451246,0,0,0,2000000,2000,TRUE
8,8000,35,16,"null","c55-h60",0.959,0.00443390347211123,0,0,0,2000000,2000,TRUE
9,4000,70,16,"null","c55-h60",0.944,0.00514120608417908,0,0,0,2000000,2000,TRUE
10,8000,70,16,"null","c55-h60",0.951,0.00482695556225661,0,0,0,2000000,2000,TRUE
11,4000,140,16,"null","c55-h60",0.9435,0.00516273909857936,0,0,0,2000000,2000,TRUE
12,8000,140,16,"null","c55-h60",0.956,0.00458606585212206,0,0,0,2000000,2000,TRUE
13,4000,35,4,"homogeneous","c55-h60",0.9445,0.00511955808639769,0,0,3.17391666927948e-06,2000000,2000,TRUE
14,8000,35,4,"homogeneous","c55-h60",0.9445,0.00511955808639769,0,0,1.84939671218791e-06,2000000,2000,TRUE
15,4000,70,4,"homogeneous","c55-h60",0.953,0.00473238840333293,0,0,7.20272936775144e-06,2000000,2000,TRUE
16,8000,70,4,"homogeneous","c55-h60",0.9545,0.00465992220965114,0,0,3.49104524181851e-06,2000000,2000,TRUE
17,4000,140,4,"homogeneous","c55-h60",0.9455,0.00507591124823908,0,0,1.1072762504665e-05,2000000,2000,TRUE
18,8000,140,4,"homogeneous","c55-h60",0.948,0.00496467521596328,0,0,6.69429239450625e-06,2000000,2000,TRUE
19,4000,35,16,"homogeneous","c55-h60",0.9525,0.00475624589355933,0,0,3.17391666927948e-06,2000000,2000,TRUE
20,8000,35,16,"homogeneous","c55-h60",0.939,0.00535158854920668,0,0,1.84939671218791e-06,2000000,2000,TRUE
21,4000,70,16,"homogeneous","c55-h60",0.943,0.00518415856238985,0,0,7.20272936775144e-06,2000000,2000,TRUE
22,8000,70,16,"homogeneous","c55-h60",0.9465,0.00503178646208283,0,0,3.49104524181851e-06,2000000,2000,TRUE
23,4000,140,16,"homogeneous","c55-h60",0.9465,0.00503178646208283,0,0,1.1072762504665e-05,2000000,2000,TRUE
24,8000,140,16,"homogeneous","c55-h60",0.9525,0.00475624589355933,0,0,6.69429239450625e-06,2000000,2000,TRUE
25,4000,35,4,"heterogeneous","c55-h60",0.9495,0.00489641450451246,0,0,3.91703252263617e-06,2000000,2000,TRUE
26,8000,35,4,"heterogeneous","c55-h60",0.9505,0.0048502448391808,0,0,1.96351392559968e-06,2000000,2000,TRUE
27,4000,70,4,"heterogeneous","c55-h60",0.95,0.00487339717240448,0,0,7.27911279438508e-06,2000000,2000,TRUE
28,8000,70,4,"heterogeneous","c55-h60",0.9485,0.00494205169944629,0,0,3.78205027454258e-06,2000000,2000,TRUE
29,4000,140,4,"heterogeneous","c55-h60",0.9495,0.00489641450451246,0,0,1.35992417889825e-05,2000000,2000,TRUE
30,8000,140,4,"heterogeneous","c55-h60",0.954,0.00468422885862764,0,0,7.69616865180872e-06,2000000,2000,TRUE
31,4000,35,16,"heterogeneous","c55-h60",0.9435,0.00516273909857936,0,0,3.91703252263617e-06,2000000,2000,TRUE
32,8000,35,16,"heterogeneous","c55-h60",0.9455,0.00507591124823908,0,0,1.96351392559968e-06,2000000,2000,TRUE
33,4000,70,16,"heterogeneous","c55-h60",0.9475,0.00498717104178311,0,0,7.27911279438508e-06,2000000,2000,TRUE
34,8000,70,16,"heterogeneous","c55-h60",0.9455,0.00507591124823908,0,0,3.78205027454258e-06,2000000,2000,TRUE
35,4000,140,16,"heterogeneous","c55-h60",0.945,0.00509779364038993,0,0,1.35992417889825e-05,2000000,2000,TRUE
36,8000,140,16,"heterogeneous","c55-h60",0.956,0.00458606585212206,0,0,7.69616865180872e-06,2000000,2000,TRUE
7,4000,35,16,"null","c60-h24",0.9415,0.0052477495176504,0,0,0,2000000,2000,TRUE
8,8000,35,16,"null","c60-h24",0.936,0.00547284204047586,0,0,0,2000000,2000,TRUE
9,4000,70,16,"null","c60-h24",0.943,0.00518415856238985,0,0,0,2000000,2000,TRUE
10,8000,70,16,"null","c60-h24",0.9505,0.0048502448391808,0,0,0,2000000,2000,TRUE
11,4000,140,16,"null","c60-h24",0.947,0.0050095408971282,0,0,0,2000000,2000,TRUE
12,8000,140,16,"null","c60-h24",0.9455,0.00507591124823908,0,0,0,2000000,2000,TRUE
19,4000,35,16,"homogeneous","c60-h24",0.9385,0.00537204569973116,0,0,1.83535556954082e-06,2000000,2000,TRUE
20,8000,35,16,"homogeneous","c60-h24",0.939,0.00535158854920668,0,0,1.04155057878348e-06,2000000,2000,TRUE
21,4000,70,16,"homogeneous","c60-h24",0.945,0.00509779364038993,0,0,4.30594250663048e-06,2000000,2000,TRUE
22,8000,70,16,"homogeneous","c60-h24",0.939,0.00535158854920668,0,0,2.02492875563112e-06,2000000,2000,TRUE
23,4000,140,16,"homogeneous","c60-h24",0.9445,0.00511955808639769,0,0,6.98469270972249e-06,2000000,2000,TRUE
24,8000,140,16,"homogeneous","c60-h24",0.9395,0.0053310294503032,0,0,4.13740724889201e-06,2000000,2000,TRUE
31,4000,35,16,"heterogeneous","c60-h24",0.9415,0.0052477495176504,0,0,2.12159277439354e-06,2000000,2000,TRUE
32,8000,35,16,"heterogeneous","c60-h24",0.941,0.00526872849936301,0,0,9.70841478846536e-07,2000000,2000,TRUE
33,4000,70,16,"heterogeneous","c60-h24",0.948,0.00496467521596328,0,0,4.03697154528318e-06,2000000,2000,TRUE
34,8000,70,16,"heterogeneous","c60-h24",0.9435,0.00516273909857936,0,0,2.00758397534986e-06,2000000,2000,TRUE
35,4000,140,16,"heterogeneous","c60-h24",0.9495,0.00489641450451246,0,0,7.65923316365358e-06,2000000,2000,TRUE
36,8000,140,16,"heterogeneous","c60-h24",0.9415,0.0052477495176504,0,0,4.41964034646387e-06,2000000,2000,TRUE
7,4000,35,16,"null","c60-h36",0.946,0.00505390937789747,0,0,0,2000000,2000,TRUE
8,8000,35,16,"null","c60-h36",0.947,0.0050095408971282,0,0,0,2000000,2000,TRUE
9,4000,70,16,"null","c60-h36",0.9465,0.00503178646208283,0,0,0,2000000,2000,TRUE
10,8000,70,16,"null","c60-h36",0.9495,0.00489641450451246,0,0,0,2000000,2000,TRUE
11,4000,140,16,"null","c60-h36",0.946,0.00505390937789747,0,0,0,2000000,2000,TRUE
12,8000,140,16,"null","c60-h36",0.953,0.00473238840333293,0,0,0,2000000,2000,TRUE
19,4000,35,16,"homogeneous","c60-h36",0.9405,0.00528960064655168,0,0,2.71127148659363e-06,2000000,2000,TRUE
20,8000,35,16,"homogeneous","c60-h36",0.937,0.00543281694887652,0,0,1.55108184507392e-06,2000000,2000,TRUE
21,4000,70,16,"homogeneous","c60-h36",0.9495,0.00489641450451246,0,0,6.26738711503667e-06,2000000,2000,TRUE
22,8000,70,16,"homogeneous","c60-h36",0.934,0.0055517564788092,0,0,2.99108141516038e-06,2000000,2000,TRUE
23,4000,140,16,"homogeneous","c60-h36",0.946,0.00505390937789747,0,0,9.82749709844875e-06,2000000,2000,TRUE
24,8000,140,16,"homogeneous","c60-h36",0.9405,0.00528960064655168,0,0,6.02348208104016e-06,2000000,2000,TRUE
31,4000,35,16,"heterogeneous","c60-h36",0.955,0.00463546114210873,0,0,3.14522496422531e-06,2000000,2000,TRUE
32,8000,35,16,"heterogeneous","c60-h36",0.944,0.00514120608417908,0,0,1.44700505443037e-06,2000000,2000,TRUE
33,4000,70,16,"heterogeneous","c60-h36",0.9485,0.00494205169944629,0,0,5.92221287003401e-06,2000000,2000,TRUE
34,8000,70,16,"heterogeneous","c60-h36",0.94,0.0053103672189407,0,0,2.97643289238037e-06,2000000,2000,TRUE
35,4000,140,16,"heterogeneous","c60-h36",0.9515,0.00480352734977121,0,0,1.09501526031636e-05,2000000,2000,TRUE
36,8000,140,16,"heterogeneous","c60-h36",0.9465,0.00503178646208283,0,0,6.47918933975815e-06,2000000,2000,TRUE
7,4000,35,16,"null","c60-h48",0.9425,0.00520546587732549,0,0,0,2000000,2000,TRUE
8,8000,35,16,"null","c60-h48",0.949,0.00491929873051028,0,0,0,2000000,2000,TRUE
9,4000,70,16,"null","c60-h48",0.9505,0.0048502448391808,0,0,0,2000000,2000,TRUE
10,8000,70,16,"null","c60-h48",0.9535,0.00470838348055891,0,0,0,2000000,2000,TRUE
11,4000,140,16,"null","c60-h48",0.946,0.00505390937789747,0,0,0,2000000,2000,TRUE
12,8000,140,16,"null","c60-h48",0.9535,0.00470838348055891,0,0,0,2000000,2000,TRUE
19,4000,35,16,"homogeneous","c60-h48",0.9515,0.00480352734977121,0,0,3.56017734851326e-06,2000000,2000,TRUE
20,8000,35,16,"homogeneous","c60-h48",0.9385,0.00537204569973116,0,0,2.05322334068824e-06,2000000,2000,TRUE
21,4000,70,16,"homogeneous","c60-h48",0.947,0.0050095408971282,0,0,8.10831514776913e-06,2000000,2000,TRUE
22,8000,70,16,"homogeneous","c60-h48",0.9515,0.00480352734977121,0,0,3.92725865742104e-06,2000000,2000,TRUE
23,4000,140,16,"homogeneous","c60-h48",0.9545,0.00465992220965114,0,0,1.22881527995643e-05,2000000,2000,TRUE
24,8000,140,16,"homogeneous","c60-h48",0.9425,0.00520546587732549,0,0,7.79459777365691e-06,2000000,2000,TRUE
31,4000,35,16,"heterogeneous","c60-h48",0.9515,0.00480352734977121,0,0,4.14486073079294e-06,2000000,2000,TRUE
32,8000,35,16,"heterogeneous","c60-h48",0.95,0.00487339717240448,0,0,1.91710270950559e-06,2000000,2000,TRUE
33,4000,70,16,"heterogeneous","c60-h48",0.9485,0.00494205169944629,0,0,7.72393706932557e-06,2000000,2000,TRUE
34,8000,70,16,"heterogeneous","c60-h48",0.9465,0.00503178646208283,0,0,3.92272732476076e-06,2000000,2000,TRUE
35,4000,140,16,"heterogeneous","c60-h48",0.9475,0.00498717104178311,0,0,1.39275434604587e-05,2000000,2000,TRUE
36,8000,140,16,"heterogeneous","c60-h48",0.9585,0.00445969449626317,0,0,8.44458995368065e-06,2000000,2000,TRUE
7,4000,35,16,"null","c60-h60",0.9495,0.00489641450451246,0,0,0,2000000,2000,TRUE
8,8000,35,16,"null","c60-h60",0.9575,0.00451075104611194,0,0,0,2000000,2000,TRUE
9,4000,70,16,"null","c60-h60",0.948,0.00496467521596328,0,0,0,2000000,2000,TRUE
10,8000,70,16,"null","c60-h60",0.946,0.00505390937789747,0,0,0,2000000,2000,TRUE
11,4000,140,16,"null","c60-h60",0.9495,0.00489641450451246,0,0,0,2000000,2000,TRUE
12,8000,140,16,"null","c60-h60",0.9535,0.00470838348055891,0,0,0,2000000,2000,TRUE
19,4000,35,16,"homogeneous","c60-h60",0.944,0.00514120608417908,0,0,4.38267993257228e-06,2000000,2000,TRUE
20,8000,35,16,"homogeneous","c60-h60",0.9445,0.00511955808639769,0,0,2.54805371683258e-06,2000000,2000,TRUE
21,4000,70,16,"homogeneous","c60-h60",0.9395,0.0053310294503032,0,0,9.83383427090125e-06,2000000,2000,TRUE
22,8000,70,16,"homogeneous","c60-h60",0.95,0.00487339717240448,0,0,4.83411730617581e-06,2000000,2000,TRUE
23,4000,140,16,"homogeneous","c60-h60",0.951,0.00482695556225661,0,0,1.44009842867067e-05,2000000,2000,TRUE
24,8000,140,16,"homogeneous","c60-h60",0.9525,0.00475624589355933,0,0,9.45559596413782e-06,2000000,2000,TRUE
31,4000,35,16,"heterogeneous","c60-h60",0.948,0.00496467521596328,0,0,5.12106575288553e-06,2000000,2000,TRUE
32,8000,35,16,"heterogeneous","c60-h60",0.941,0.00526872849936301,0,0,2.38121221954343e-06,2000000,2000,TRUE
33,4000,70,16,"heterogeneous","c60-h60",0.9465,0.00503178646208283,0,0,9.44587559231069e-06,2000000,2000,TRUE
34,8000,70,16,"heterogeneous","c60-h60",0.947,0.0050095408971282,0,0,4.84700426673302e-06,2000000,2000,TRUE
35,4000,140,16,"heterogeneous","c60-h60",0.9535,0.00470838348055891,0,0,1.66212248986016e-05,2000000,2000,TRUE
36,8000,140,16,"heterogeneous","c60-h60",0.953,0.00473238840333293,0,0,1.0320086542232e-05,2000000,2000,TRUE
