"estimand","coverage","deficit","mcse","lower","upper","cells"
"D_all",0.949659722222222,0.000340277777777676,0.000685927709372727,-0.00119716246095017,0.00187771801650552,36
"D_nonboundary",0.949984375,1.56249999999636e-05,0.00082826086654178,-0.00184084116543522,0.00187209116543515,24
"D_boundary",0.949010416666667,0.00098958333333321,0.0012208223253978,-0.00174677115673443,0.00372593782340085,12
