"scenario","n","event_target","event_regime","K","effect","method","selector","candidate","mean_truth","bias","bias_mcse","empse","empse_mcse","modse","modse_mcse","relerror_modse","relerror_modse_mcse","mse","mse_mcse","coverage","coverage_mcse","coverage_conditional","coverage_conditional_mcse","bias_eliminated_coverage","bias_eliminated_coverage_mcse","rejection","rejection_mcse","convergence","convergence_mcse","failure_probability","median_width","median_ess1","median_ess0","median_max_weight","n_used","n_attempted"
5,4000,140,"above",4,"null","bonferroni","outcome_blinded",NA,0,0.000405430627715572,0.00028850249297833,0.012902223719554,0.000204053088824661,0.0127221968479003,3.14257122646339e-05,-1.39531661802563,1.57837331638245,0.000166548517214858,5.3438757753714e-06,0.9905,0.00216907238237915,0.9905,0.00216907238237915,0.9905,0.00216907238237915,0.0095,0.00216907238237916,1,0,0,0.060584831932722,1208.83954663675,1273.93928264071,6.64475427476376,2000,2000
6,8000,140,"above",4,"null","bonferroni","outcome_blinded",NA,0,-6.3619395595621e-05,0.000147487335354247,0.0065958341534481,0.000104315377073062,0.00663822229325939,1.74338018611609e-05,0.642650176234882,1.61349468917164,4.34873230931985e-05,1.4390996426205e-06,0.987,0.00253288373203351,0.987,0.00253288373203351,0.987,0.00253288373203351,0.013,0.00253288373203351,1,0,0,0.0314922657862907,2421.87868914595,2557.67035643999,7.02437110806686,2000,2000
7,4000,35,"below",16,"null","bonferroni","outcome_blinded",NA,0,-0.000178731092073079,0.000136449137412467,0.00610219093450974,9.65082404281545e-05,0.00604632790052876,3.19518505238429e-05,-0.915458637406152,1.65222115393083,3.7250060637386e-05,1.36604162916712e-06,0.9985,0.000865375640979091,0.9985,0.000865375640979091,0.9985,0.000865375640979091,0.0015,0.000865375640979107,1,0,0,0.0336203401205324,1336.13341456094,1646.61467765049,7.36638735310344,2000,2000
8,8000,35,"below",16,"null","bonferroni","outcome_blinded",NA,0,1.90691608382954e-05,6.58762411834062e-05,0.00294607506776535,4.65931866129215e-05,0.00301316426061329,1.42100371732467e-05,2.27723976153904,1.68793262446329,8.67538225865125e-06,2.8383001327819e-07,0.997,0.00122290637417588,0.997,0.00122290637417588,0.997,0.00122290637417588,0.003,0.00122290637417588,1,0,0,0.0168484335415854,2690.25848469905,3307.47692068607,7.87699537643542,2000,2000
9,4000,70,"boundary",16,"null","bonferroni","outcome_blinded",NA,0,-6.63764272551772e-05,0.000190268953707977,0.00850908628997594,0.00013457411515146,0.0083548393976225,4.06429940477239e-05,-1.8127315565615,1.62466389362497,7.23727530456065e-05,2.69734588988721e-06,0.9935,0.00179690706493129,0.9935,0.00179690706493129,0.9935,0.00179690706493129,0.0065,0.00179690706493129,1,0,0,0.0463681074355539,1337.52503206186,1648.39589974265,7.33874183365848,2000,2000
10,8000,70,"boundary",16,"null","bonferroni","outcome_blinded",NA,0,-0.000101080910068955,9.53673430483342e-05,0.00426495723779235,6.74517600216209e-05,0.00428308541716707,2.07136899006995e-05,0.425049499068497,1.66085397063992,1.81909826604576e-05,6.33263947769012e-07,0.998,0.000998999499499375,0.998,0.000998999499499375,0.998,0.000998999499499375,0.002,0.000998999499499374,1,0,0,0.0236052238319462,2679.46789405283,3310.3865190047,7.81495540222319,2000,2000
11,4000,140,"above",16,"null","bonferroni","outcome_blinded",NA,0,7.86746988250627e-05,0.00025056900504256,0.011205786566593,0.000177223353998875,0.0114471687305201,5.53167612659065e-05,2.15408496755307,1.68933547687219,0.000125513057457984,4.12233764545634e-06,0.996,0.00141138230115019,0.996,0.00141138230115019,0.9965,0.00132055859392909,0.004,0.00141138230115019,1,0,0,0.0626831364146624,1333.95128733567,1643.17361078841,7.36240029703913,2000,2000
12,8000,140,"above",16,"null","bonferroni","outcome_blinded",NA,0,1.21890100895256e-05,0.000135209535777215,0.00604675426408083,9.56314904910077e-05,0.00595271170441268,2.95125368370612e-05,-1.55525684625194,1.63164595694962,3.65451040835817e-05,1.29954560337697e-06,0.9975,0.00111663557170635,0.9975,0.00111663557170635,0.9975,0.00111663557170635,0.0025,0.00111663557170636,1,0,0,0.0325229349756105,2684.86270677847,3306.5683798868,7.8090050754906,2000,2000
13,4000,35,"below",4,"homogeneous","bonferroni","outcome_blinded",NA,-0.00649099925726144,-0.000267765572618033,0.00014142778833313,0.00632484297240659,0.000100029558694951,0.00639927368901824,2.04036147570193e-05,1.17679943891678,1.63233998499556,4.00553352081677e-05,1.32336052062071e-06,0.988,0.00243474844696531,0.988,0.00243474844696531,0.9875,0.00248432586429397,0.058,0.00522666241496426,1,0,0,0.0307722964594082,1209.62634305269,1273.53852765948,6.70337935685161,2000,2000
14,8000,35,"below",4,"homogeneous","bonferroni","outcome_blinded",NA,-0.00327885284541353,-7.83888589636397e-05,7.22664803562195e-05,0.0032318552514232,5.11128981345784e-05,0.0032341910000433,1.05426921830977e-05,0.0722726866890788,1.61594600528862,1.04458107351782e-05,3.30811955040244e-07,0.99,0.0022248595461287,0.99,0.0022248595461287,0.989,0.00233227356885937,0.063,0.00543281694887652,1,0,0,0.0155460286093374,2424.07412804189,2555.64561266526,7.09168598744771,2000,2000
15,4000,70,"boundary",4,"homogeneous","bonferroni","outcome_blinded",NA,-0.0127198327807558,-0.000188855807859261,0.000194576778279656,0.0087017380615243,0.000137620968926939,0.00883723434768826,2.46061583711006e-05,1.55711750004364,1.63086247922134,7.57180516848974e-05,2.51014499608951e-06,0.9875,0.00248432586429397,0.9875,0.00248432586429397,0.987,0.00253288373203351,0.1445,0.00786192565469809,1,0,0,0.0423772308637618,1208.32306346061,1276.03773676225,6.66532377531885,2000,2000
16,8000,70,"boundary",4,"homogeneous","bonferroni","outcome_blinded",NA,-0.00649305926960935,-0.000132524720868627,9.94023072601049e-05,0.00444540632307831,7.03056241328424e-05,0.00452442317887796,1.28841061724915e-05,1.77749456533225,1.63553089658661,1.97693193602173e-05,6.37108414285959e-07,0.9905,0.00216907238237915,0.9905,0.00216907238237915,0.99,0.0022248595461287,0.1425,0.00781644900194455,1,0,0,0.0216016235105655,2425.10718258357,2557.14282766051,7.08261454652157,2000,2000
17,4000,140,"above",4,"homogeneous","bonferroni","outcome_blinded",NA,-0.024481797052954,0.000222105294877752,0.000274664957741116,0.0122833903309249,0.000194266026752079,0.012112900309065,3.11649168811141e-05,-1.38797202780953,1.58008573603988,0.00015085556794486,4.85099218935452e-06,0.9865,0.00258047960658479,0.9865,0.00258047960658479,0.986,0.00262716577322407,0.314,0.0103779574098182,1,0,0,0.0576142214849418,1208.98222965534,1273.16125128418,6.6679260235989,2000,2000
18,8000,140,"above",4,"homogeneous","bonferroni","outcome_blinded",NA,-0.0127547602896959,-0.000111142569971655,0.000142082592032688,0.00635412668408923,0.000100492690628715,0.00628867294774705,1.67981713164655e-05,-1.03009807006326,1.58741138947849,4.0367091125356e-05,1.40577332286653e-06,0.9835,0.00284848644019942,0.9835,0.00284848644019942,0.984,0.00280570846668003,0.328,0.0104979998094875,1,0,0,0.0299165117537752,2421.6627210692,2559.75054639417,7.08463054783937,2000,2000
