"n","event_target","truth_scenario","effect","theta0","theta1","lambda","calibration_draws","candidate","c","h","truth","truth_mcse","truth_draws","truth_mcse_pass"
4000,35,1,"null",0,0,0.00030927963450513,10000000,"c60-h24",60,24,0,0,2000000,TRUE
4000,35,1,"null",0,0,0.00030927963450513,10000000,"c60-h36",60,36,0,0,2000000,TRUE
4000,35,1,"null",0,0,0.00030927963450513,10000000,"c60-h48",60,48,0,0,2000000,TRUE
4000,35,1,"null",0,0,0.00030927963450513,10000000,"c60-h60",60,60,0,0,2000000,TRUE
4000,35,1,"null",0,0,0.00030927963450513,10000000,"c55-h24",55,24,0,0,2000000,TRUE
4000,35,1,"null",0,0,0.00030927963450513,10000000,"c55-h36",55,36,0,0,2000000,TRUE
4000,35,1,"null",0,0,0.00030927963450513,10000000,"c55-h48",55,48,0,0,2000000,TRUE
4000,35,1,"null",0,0,0.00030927963450513,10000000,"c55-h60",55,60,0,0,2000000,TRUE
4000,35,1,"null",0,0,0.00030927963450513,10000000,"c50-h24",50,24,0,0,2000000,TRUE
4000,35,1,"null",0,0,0.00030927963450513,10000000,"c50-h36",50,36,0,0,2000000,TRUE
4000,35,1,"null",0,0,0.00030927963450513,10000000,"c50-h48",50,48,0,0,2000000,TRUE
4000,35,1,"null",0,0,0.00030927963450513,10000000,"c50-h60",50,60,0,0,2000000,TRUE
4000,35,1,"null",0,0,0.00030927963450513,10000000,"c45-h24",45,24,0,0,2000000,TRUE
4000,35,1,"null",0,0,0.00030927963450513,10000000,"c45-h36",45,36,0,0,2000000,TRUE
4000,35,1,"null",0,0,0.00030927963450513,10000000,"c45-h48",45,48,0,0,2000000,TRUE
4000,35,1,"null",0,0,0.00030927963450513,10000000,"c45-h60",45,60,0,0,2000000,TRUE
8000,35,2,"null",0,0,0.000153775122859788,10000000,"c60-h24",60,24,0,0,2000000,TRUE
8000,35,2,"null",0,0,0.000153775122859788,10000000,"c60-h36",60,36,0,0,2000000,TRUE
8000,35,2,"null",0,0,0.000153775122859788,10000000,"c60-h48",60,48,0,0,2000000,TRUE
8000,35,2,"null",0,0,0.000153775122859788,10000000,"c60-h60",60,60,0,0,2000000,TRUE
8000,35,2,"null",0,0,0.000153775122859788,10000000,"c55-h24",55,24,0,0,2000000,TRUE
8000,35,2,"null",0,0,0.000153775122859788,10000000,"c55-h36",55,36,0,0,2000000,TRUE
8000,35,2,"null",0,0,0.000153775122859788,10000000,"c55-h48",55,48,0,0,2000000,TRUE
8000,35,2,"null",0,0,0.000153775122859788,10000000,"c55-h60",55,60,0,0,2000000,TRUE
8000,35,2,"null",0,0,0.000153775122859788,10000000,"c50-h24",50,24,0,0,2000000,TRUE
8000,35,2,"null",0,0,0.000153775122859788,10000000,"c50-h36",50,36,0,0,2000000,TRUE
8000,35,2,"null",0,0,0.000153775122859788,10000000,"c50-h48",50,48,0,0,2000000,TRUE
8000,35,2,"null",0,0,0.000153775122859788,10000000,"c50-h60",50,60,0,0,2000000,TRUE
8000,35,2,"null",0,0,0.000153775122859788,10000000,"c45-h24",45,24,0,0,2000000,TRUE
8000,35,2,"null",0,0,0.000153775122859788,10000000,"c45-h36",45,36,0,0,2000000,TRUE
8000,35,2,"null",0,0,0.000153775122859788,10000000,"c45-h48",45,48,0,0,2000000,TRUE
8000,35,2,"null",0,0,0.000153775122859788,10000000,"c45-h60",45,60,0,0,2000000,TRUE
4000,70,3,"null",0,0,0.000625616841839842,10000000,"c60-h24",60,24,0,0,2000000,TRUE
4000,70,3,"null",0,0,0.000625616841839842,10000000,"c60-h36",60,36,0,0,2000000,TRUE
4000,70,3,"null",0,0,0.000625616841839842,10000000,"c60-h48",60,48,0,0,2000000,TRUE
4000,70,3,"null",0,0,0.000625616841839842,10000000,"c60-h60",60,60,0,0,2000000,TRUE
4000,70,3,"null",0,0,0.000625616841839842,10000000,"c55-h24",55,24,0,0,2000000,TRUE
4000,70,3,"null",0,0,0.000625616841839842,10000000,"c55-h36",55,36,0,0,2000000,TRUE
4000,70,3,"null",0,0,0.000625616841839842,10000000,"c55-h48",55,48,0,0,2000000,TRUE
4000,70,3,"null",0,0,0.000625616841839842,10000000,"c55-h60",55,60,0,0,2000000,TRUE
4000,70,3,"null",0,0,0.000625616841839842,10000000,"c50-h24",50,24,0,0,2000000,TRUE
4000,70,3,"null",0,0,0.000625616841839842,10000000,"c50-h36",50,36,0,0,2000000,TRUE
4000,70,3,"null",0,0,0.000625616841839842,10000000,"c50-h48",50,48,0,0,2000000,TRUE
4000,70,3,"null",0,0,0.000625616841839842,10000000,"c50-h60",50,60,0,0,2000000,TRUE
4000,70,3,"null",0,0,0.000625616841839842,10000000,"c45-h24",45,24,0,0,2000000,TRUE
4000,70,3,"null",0,0,0.000625616841839842,10000000,"c45-h36",45,36,0,0,2000000,TRUE
4000,70,3,"null",0,0,0.000625616841839842,10000000,"c45-h48",45,48,0,0,2000000,TRUE
4000,70,3,"null",0,0,0.000625616841839842,10000000,"c45-h60",45,60,0,0,2000000,TRUE
8000,70,4,"null",0,0,0.00030927963450513,10000000,"c60-h24",60,24,0,0,2000000,TRUE
8000,70,4,"null",0,0,0.00030927963450513,10000000,"c60-h36",60,36,0,0,2000000,TRUE
8000,70,4,"null",0,0,0.00030927963450513,10000000,"c60-h48",60,48,0,0,2000000,TRUE
8000,70,4,"null",0,0,0.00030927963450513,10000000,"c60-h60",60,60,0,0,2000000,TRUE
8000,70,4,"null",0,0,0.00030927963450513,10000000,"c55-h24",55,24,0,0,2000000,TRUE
8000,70,4,"null",0,0,0.00030927963450513,10000000,"c55-h36",55,36,0,0,2000000,TRUE
8000,70,4,"null",0,0,0.00030927963450513,10000000,"c55-h48",55,48,0,0,2000000,TRUE
8000,70,4,"null",0,0,0.00030927963450513,10000000,"c55-h60",55,60,0,0,2000000,TRUE
8000,70,4,"null",0,0,0.00030927963450513,10000000,"c50-h24",50,24,0,0,2000000,TRUE
8000,70,4,"null",0,0,0.00030927963450513,10000000,"c50-h36",50,36,0,0,2000000,TRUE
8000,70,4,"null",0,0,0.00030927963450513,10000000,"c50-h48",50,48,0,0,2000000,TRUE
8000,70,4,"null",0,0,0.00030927963450513,10000000,"c50-h60",50,60,0,0,2000000,TRUE
8000,70,4,"null",0,0,0.00030927963450513,10000000,"c45-h24",45,24,0,0,2000000,TRUE
8000,70,4,"null",0,0,0.00030927963450513,10000000,"c45-h36",45,36,0,0,2000000,TRUE
8000,70,4,"null",0,0,0.00030927963450513,10000000,"c45-h48",45,48,0,0,2000000,TRUE
8000,70,4,"null",0,0,0.00030927963450513,10000000,"c45-h60",45,60,0,0,2000000,TRUE
4000,140,5,"null",0,0,0.00128064302305361,10000000,"c60-h24",60,24,0,0,2000000,TRUE
4000,140,5,"null",0,0,0.00128064302305361,10000000,"c60-h36",60,36,0,0,2000000,TRUE
4000,140,5,"null",0,0,0.00128064302305361,10000000,"c60-h48",60,48,0,0,2000000,TRUE
4000,140,5,"null",0,0,0.00128064302305361,10000000,"c60-h60",60,60,0,0,2000000,TRUE
4000,140,5,"null",0,0,0.00128064302305361,10000000,"c55-h24",55,24,0,0,2000000,TRUE
4000,140,5,"null",0,0,0.00128064302305361,10000000,"c55-h36",55,36,0,0,2000000,TRUE
4000,140,5,"null",0,0,0.00128064302305361,10000000,"c55-h48",55,48,0,0,2000000,TRUE
4000,140,5,"null",0,0,0.00128064302305361,10000000,"c55-h60",55,60,0,0,2000000,TRUE
4000,140,5,"null",0,0,0.00128064302305361,10000000,"c50-h24",50,24,0,0,2000000,TRUE
4000,140,5,"null",0,0,0.00128064302305361,10000000,"c50-h36",50,36,0,0,2000000,TRUE
4000,140,5,"null",0,0,0.00128064302305361,10000000,"c50-h48",50,48,0,0,2000000,TRUE
4000,140,5,"null",0,0,0.00128064302305361,10000000,"c50-h60",50,60,0,0,2000000,TRUE
4000,140,5,"null",0,0,0.00128064302305361,10000000,"c45-h24",45,24,0,0,2000000,TRUE
4000,140,5,"null",0,0,0.00128064302305361,10000000,"c45-h36",45,36,0,0,2000000,TRUE
4000,140,5,"null",0,0,0.00128064302305361,10000000,"c45-h48",45,48,0,0,2000000,TRUE
4000,140,5,"null",0,0,0.00128064302305361,10000000,"c45-h60",45,60,0,0,2000000,TRUE
8000,140,6,"null",0,0,0.000625616841839842,10000000,"c60-h24",60,24,0,0,2000000,TRUE
8000,140,6,"null",0,0,0.000625616841839842,10000000,"c60-h36",60,36,0,0,2000000,TRUE
8000,140,6,"null",0,0,0.000625616841839842,10000000,"c60-h48",60,48,0,0,2000000,TRUE
8000,140,6,"null",0,0,0.000625616841839842,10000000,"c60-h60",60,60,0,0,2000000,TRUE
8000,140,6,"null",0,0,0.000625616841839842,10000000,"c55-h24",55,24,0,0,2000000,TRUE
8000,140,6,"null",0,0,0.000625616841839842,10000000,"c55-h36",55,36,0,0,2000000,TRUE
8000,140,6,"null",0,0,0.000625616841839842,10000000,"c55-h48",55,48,0,0,2000000,TRUE
8000,140,6,"null",0,0,0.000625616841839842,10000000,"c55-h60",55,60,0,0,2000000,TRUE
8000,140,6,"null",0,0,0.000625616841839842,10000000,"c50-h24",50,24,0,0,2000000,TRUE
8000,140,6,"null",0,0,0.000625616841839842,10000000,"c50-h36",50,36,0,0,2000000,TRUE
8000,140,6,"null",0,0,0.000625616841839842,10000000,"c50-h48",50,48,0,0,2000000,TRUE
8000,140,6,"null",0,0,0.000625616841839842,10000000,"c50-h60",50,60,0,0,2000000,TRUE
8000,140,6,"null",0,0,0.000625616841839842,10000000,"c45-h24",45,24,0,0,2000000,TRUE
8000,140,6,"null",0,0,0.000625616841839842,10000000,"c45-h36",45,36,0,0,2000000,TRUE
8000,140,6,"null",0,0,0.000625616841839842,10000000,"c45-h48",45,48,0,0,2000000,TRUE
8000,140,6,"null",0,0,0.000625616841839842,10000000,"c45-h60",45,60,0,0,2000000,TRUE
4000,35,7,"homogeneous",-0.287682072,0,0.00030927963450513,10000000,"c60-h24",60,24,-0.00337605070314928,1.83535556954082e-06,2000000,TRUE
4000,35,7,"homogeneous",-0.287682072,0,0.00030927963450513,10000000,"c60-h36",60,36,-0.0050271284061546,2.71127148659363e-06,2000000,TRUE
4000,35,7,"homogeneous",-0.287682072,0,0.00030927963450513,10000000,"c60-h48",60,48,-0.00665400462408062,3.56017734851326e-06,2000000,TRUE
4000,35,7,"homogeneous",-0.287682072,0,0.00030927963450513,10000000,"c60-h60",60,60,-0.00825699659702835,4.38267993257228e-06,2000000,TRUE
4000,35,7,"homogeneous",-0.287682072,0,0.00030927963450513,10000000,"c55-h24",55,24,-0.00291091028418689,1.32236834226953e-06,2000000,TRUE
4000,35,7,"homogeneous",-0.287682072,0,0.00030927963450513,10000000,"c55-h36",55,36,-0.00433800919587855,1.956783265866e-06,2000000,TRUE
4000,35,7,"homogeneous",-0.287682072,0,0.00030927963450513,10000000,"c55-h48",55,48,-0.00574650727353443,2.57384580644808e-06,2000000,TRUE
4000,35,7,"homogeneous",-0.287682072,0,0.00030927963450513,10000000,"c55-h60",55,60,-0.00713662837240874,3.17391666927948e-06,2000000,TRUE
4000,35,7,"homogeneous",-0.287682072,0,0.00030927963450513,10000000,"c50-h24",50,24,-0.00257206071203665,1.09956379392652e-06,2000000,TRUE
4000,35,7,"homogeneous",-0.287682072,0,0.00030927963450513,10000000,"c50-h36",50,36,-0.00383513927374293,1.62868624070182e-06,2000000,TRUE
4000,35,7,"homogeneous",-0.287682072,0,0.00030927963450513,10000000,"c50-h48",50,48,-0.00508314887755319,2.1443994622512e-06,2000000,TRUE
4000,35,7,"homogeneous",-0.287682072,0,0.00030927963450513,10000000,"c50-h60",50,60,-0.00631626100881624,2.64696931515473e-06,2000000,TRUE
4000,35,7,"homogeneous",-0.287682072,0,0.00030927963450513,10000000,"c45-h24",45,24,-0.00234705934566456,9.80538712250005e-07,2000000,TRUE
4000,35,7,"homogeneous",-0.287682072,0,0.00030927963450513,10000000,"c45-h36",45,36,-0.00350078953136576,1.45323957824651e-06,2000000,TRUE
4000,35,7,"homogeneous",-0.287682072,0,0.00030927963450513,10000000,"c45-h48",45,48,-0.00464151454693754,1.91453150087853e-06,2000000,TRUE
