"scenario","n","event_target","K","effect","method","selector","mean_target_movement","probability_abs_gt_001"
18,8000,140,4,"homogeneous","bonferroni","outcome_blinded",0.00121858167100261,0
19,4000,35,16,"homogeneous","bonferroni","outcome_blinded",0.00112266818281489,0
20,8000,35,16,"homogeneous","bonferroni","outcome_blinded",0.000576943471750537,0
21,4000,70,16,"homogeneous","bonferroni","outcome_blinded",0.00213463293741824,0
22,8000,70,16,"homogeneous","bonferroni","outcome_blinded",0.00114949779103478,0
23,4000,140,16,"homogeneous","bonferroni","outcome_blinded",0.00393833010776451,0
24,8000,140,16,"homogeneous","bonferroni","outcome_blinded",0.00216877610229021,0
25,4000,35,4,"heterogeneous","bonferroni","outcome_blinded",-0.000709925827551368,0
26,8000,35,4,"heterogeneous","bonferroni","outcome_blinded",-0.000357730234376143,0
27,4000,70,4,"heterogeneous","bonferroni","outcome_blinded",-0.001386688846317,0
28,8000,70,4,"heterogeneous","bonferroni","outcome_blinded",-0.000697486481880526,0
29,4000,140,4,"heterogeneous","bonferroni","outcome_blinded",-0.00279565351150858,0
30,8000,140,4,"heterogeneous","bonferroni","outcome_blinded",-0.00140205148453165,0
31,4000,35,16,"heterogeneous","bonferroni","outcome_blinded",-0.00110020040307858,0
32,8000,35,16,"heterogeneous","bonferroni","outcome_blinded",-0.000556078709809601,0
33,4000,70,16,"heterogeneous","bonferroni","outcome_blinded",-0.00218006491145308,0
34,8000,70,16,"heterogeneous","bonferroni","outcome_blinded",-0.00110113970465576,0
35,4000,140,16,"heterogeneous","bonferroni","outcome_blinded",-0.00434794790149035,0
36,8000,140,16,"heterogeneous","bonferroni","outcome_blinded",-0.0021746140574282,0
1,4000,35,4,"null","naive","outcome_blinded",0,0
2,8000,35,4,"null","naive","outcome_blinded",0,0
3,4000,70,4,"null","naive","outcome_blinded",0,0
4,8000,70,4,"null","naive","outcome_blinded",0,0
5,4000,140,4,"null","naive","outcome_blinded",0,0
6,8000,140,4,"null","naive","outcome_blinded",0,0
7,4000,35,16,"null","naive","outcome_blinded",0,0
8,8000,35,16,"null","naive","outcome_blinded",0,0
9,4000,70,16,"null","naive","outcome_blinded",0,0
10,8000,70,16,"null","naive","outcome_blinded",0,0
11,4000,140,16,"null","naive","outcome_blinded",0,0
12,8000,140,16,"null","naive","outcome_blinded",0,0
13,4000,35,4,"homogeneous","naive","outcome_blinded",0.000645629115147296,0
14,8000,35,4,"homogeneous","naive","outcome_blinded",0.000328789655523666,0
15,4000,70,4,"homogeneous","naive","outcome_blinded",0.00123614042247935,0
16,8000,70,4,"homogeneous","naive","outcome_blinded",0.000638953268190222,0
17,4000,140,4,"homogeneous","naive","outcome_blinded",0.00224290803165768,0
18,8000,140,4,"homogeneous","naive","outcome_blinded",0.00121858167100261,0
19,4000,35,16,"homogeneous","naive","outcome_blinded",0.00112266818281489,0
20,8000,35,16,"homogeneous","naive","outcome_blinded",0.000576943471750537,0
21,4000,70,16,"homogeneous","naive","outcome_blinded",0.00213463293741824,0
22,8000,70,16,"homogeneous","naive","outcome_blinded",0.00114949779103478,0
