"scenario","n","event_target","K","effect","method","selector","mean_target_movement","probability_abs_gt_001"
36,8000,140,16,"heterogeneous","bonferroni","workability",0.00351008517436089,0
1,4000,35,4,"null","naive","workability",0,0
2,8000,35,4,"null","naive","workability",0,0
3,4000,70,4,"null","naive","workability",0,0
4,8000,70,4,"null","naive","workability",0,0
5,4000,140,4,"null","naive","workability",0,0
6,8000,140,4,"null","naive","workability",0,0
7,4000,35,16,"null","naive","workability",0,0
8,8000,35,16,"null","naive","workability",0,0
9,4000,70,16,"null","naive","workability",0,0
10,8000,70,16,"null","naive","workability",0,0
11,4000,140,16,"null","naive","workability",0,0
12,8000,140,16,"null","naive","workability",0,0
13,4000,35,4,"homogeneous","naive","workability",0.000818726628865314,0
14,8000,35,4,"homogeneous","naive","workability",0.000418650429830262,0
15,4000,70,4,"homogeneous","naive","workability",0.000513538221713285,0
16,8000,70,4,"homogeneous","naive","workability",0.000283964008390023,0
17,4000,140,4,"homogeneous","naive","workability",0.00981997837880347,0
18,8000,140,4,"homogeneous","naive","workability",0.00536712802650258,0
19,4000,35,16,"homogeneous","naive","workability",0.0012857210884006,0
20,8000,35,16,"homogeneous","naive","workability",0.000655942480688896,0
21,4000,70,16,"homogeneous","naive","workability",0.000560103394422858,0
22,8000,70,16,"homogeneous","naive","workability",0.000256347712789373,0
23,4000,140,16,"homogeneous","naive","workability",0.00701972332603197,0.032
24,8000,140,16,"homogeneous","naive","workability",0.00386163552686527,0
25,4000,35,4,"heterogeneous","naive","workability",-0.000864297126807244,0
26,8000,35,4,"heterogeneous","naive","workability",-0.000438626309158193,0
27,4000,70,4,"heterogeneous","naive","workability",0.00059933191115927,0
28,8000,70,4,"heterogeneous","naive","workability",0.000291938466594471,0
29,4000,140,4,"heterogeneous","naive","workability",0.00277801319090824,0
30,8000,140,4,"heterogeneous","naive","workability",0.00142495243673652,0
31,4000,35,16,"heterogeneous","naive","workability",-0.00108678216106859,0
32,8000,35,16,"heterogeneous","naive","workability",-0.000543291288354906,0
33,4000,70,16,"heterogeneous","naive","workability",0.00308502774242617,0
34,8000,70,16,"heterogeneous","naive","workability",0.0015798703780558,0
35,4000,140,16,"heterogeneous","naive","workability",0.006895906035147,0
36,8000,140,16,"heterogeneous","naive","workability",0.00351008517436089,0
1,4000,35,4,"null","split","workability",0,0
2,8000,35,4,"null","split","workability",0,0
3,4000,70,4,"null","split","workability",0,0
4,8000,70,4,"null","split","workability",0,0
5,4000,140,4,"null","split","workability",0,0
6,8000,140,4,"null","split","workability",0,0
7,4000,35,16,"null","split","workability",0,0
8,8000,35,16,"null","split","workability",0,0
9,4000,70,16,"null","split","workability",0,0
10,8000,70,16,"null","split","workability",0,0
11,4000,140,16,"null","split","workability",0,0
12,8000,140,16,"null","split","workability",0,0
13,4000,35,4,"homogeneous","split","workability",0.00079616652636652,0
14,8000,35,4,"homogeneous","split","workability",0.000405213304700304,0
15,4000,70,4,"homogeneous","split","workability",0.00104123662616461,0
16,8000,70,4,"homogeneous","split","workability",0.000519947062567995,0
17,4000,140,4,"homogeneous","split","workability",0.00981997837880347,0
18,8000,140,4,"homogeneous","split","workability",0.00536712802650258,0
19,4000,35,16,"homogeneous","split","workability",0.00123308855949138,0
20,8000,35,16,"homogeneous","split","workability",0.000627329567147605,0
21,4000,70,16,"homogeneous","split","workability",0.000462844344671297,0
22,8000,70,16,"homogeneous","split","workability",0.000180972596833046,0
23,4000,140,16,"homogeneous","split","workability",0.00709509050461878,0.1045
24,8000,140,16,"homogeneous","split","workability",0.00376400272899343,0
25,4000,35,4,"heterogeneous","split","workability",-0.000804284411130128,0
26,8000,35,4,"heterogeneous","split","workability",-0.000403620381128549,0
27,4000,70,4,"heterogeneous","split","workability",0.000648008874216753,0
28,8000,70,4,"heterogeneous","split","workability",0.000333866295333796,0
29,4000,140,4,"heterogeneous","split","workability",0.00277801319090824,0
30,8000,140,4,"heterogeneous","split","workability",0.00142495243673652,0
31,4000,35,16,"heterogeneous","split","workability",-0.000987639325127111,0
32,8000,35,16,"heterogeneous","split","workability",-0.000484581413822057,0
33,4000,70,16,"heterogeneous","split","workability",0.0028563342871588,0
34,8000,70,16,"heterogeneous","split","workability",0.00147669282731044,0
35,4000,140,16,"heterogeneous","split","workability",0.006898294717129,0
36,8000,140,16,"heterogeneous","split","workability",0.00351164827210476,0
