"scenario","n","event_target","K","effect","method","selector","candidate","frequency","count","denominator"
21,4000,70,16,"homogeneous","bonferroni","prognostic_low","c45-h24",0.0055,11,2000
22,8000,70,16,"homogeneous","bonferroni","prognostic_low","c45-h24",0.006,12,2000
23,4000,140,16,"homogeneous","bonferroni","prognostic_low","c45-h24",0.0015,3,2000
24,8000,140,16,"homogeneous","bonferroni","prognostic_low","c45-h24",5e-04,1,2000
31,4000,35,16,"heterogeneous","bonferroni","prognostic_low","c45-h24",0.0085,17,2000
32,8000,35,16,"heterogeneous","bonferroni","prognostic_low","c45-h24",0.008,16,2000
34,8000,70,16,"heterogeneous","bonferroni","prognostic_low","c45-h24",0.001,2,2000
7,4000,35,16,"null","naive","prognostic_low","c45-h24",0.0145,29,2000
8,8000,35,16,"null","naive","prognostic_low","c45-h24",0.0125,25,2000
9,4000,70,16,"null","naive","prognostic_low","c45-h24",0.0025,5,2000
10,8000,70,16,"null","naive","prognostic_low","c45-h24",0.0035,7,2000
11,4000,140,16,"null","naive","prognostic_low","c45-h24",0.0015,3,2000
12,8000,140,16,"null","naive","prognostic_low","c45-h24",5e-04,1,2000
19,4000,35,16,"homogeneous","naive","prognostic_low","c45-h24",0.017,34,2000
20,8000,35,16,"homogeneous","naive","prognostic_low","c45-h24",0.0165,33,2000
21,4000,70,16,"homogeneous","naive","prognostic_low","c45-h24",0.0055,11,2000
22,8000,70,16,"homogeneous","naive","prognostic_low","c45-h24",0.006,12,2000
23,4000,140,16,"homogeneous","naive","prognostic_low","c45-h24",0.0015,3,2000
24,8000,140,16,"homogeneous","naive","prognostic_low","c45-h24",5e-04,1,2000
31,4000,35,16,"heterogeneous","naive","prognostic_low","c45-h24",0.0085,17,2000
32,8000,35,16,"heterogeneous","naive","prognostic_low","c45-h24",0.008,16,2000
34,8000,70,16,"heterogeneous","naive","prognostic_low","c45-h24",0.001,2,2000
7,4000,35,16,"null","split","prognostic_low","c45-h24",0.0175,35,2000
8,8000,35,16,"null","split","prognostic_low","c45-h24",0.0155,31,2000
9,4000,70,16,"null","split","prognostic_low","c45-h24",0.01,20,2000
10,8000,70,16,"null","split","prognostic_low","c45-h24",0.013,26,2000
11,4000,140,16,"null","split","prognostic_low","c45-h24",0.0045,9,2000
12,8000,140,16,"null","split","prognostic_low","c45-h24",0.0015,3,2000
19,4000,35,16,"homogeneous","split","prognostic_low","c45-h24",0.025,50,2000
20,8000,35,16,"homogeneous","split","prognostic_low","c45-h24",0.021,42,2000
21,4000,70,16,"homogeneous","split","prognostic_low","c45-h24",0.017,34,2000
22,8000,70,16,"homogeneous","split","prognostic_low","c45-h24",0.0125,25,2000
23,4000,140,16,"homogeneous","split","prognostic_low","c45-h24",0.005,10,2000
24,8000,140,16,"homogeneous","split","prognostic_low","c45-h24",0.005,10,2000
31,4000,35,16,"heterogeneous","split","prognostic_low","c45-h24",0.016,32,2000
32,8000,35,16,"heterogeneous","split","prognostic_low","c45-h24",0.014,28,2000
33,4000,70,16,"heterogeneous","split","prognostic_low","c45-h24",0.008,16,2000
34,8000,70,16,"heterogeneous","split","prognostic_low","c45-h24",0.007,14,2000
35,4000,140,16,"heterogeneous","split","prognostic_low","c45-h24",0.0015,3,2000
36,8000,140,16,"heterogeneous","split","prognostic_low","c45-h24",5e-04,1,2000
7,4000,35,16,"null","bonferroni","effect_seeking","c45-h36",0.0605,121,2000
8,8000,35,16,"null","bonferroni","effect_seeking","c45-h36",0.058,116,2000
9,4000,70,16,"null","bonferroni","effect_seeking","c45-h36",0.058,116,2000
10,8000,70,16,"null","bonferroni","effect_seeking","c45-h36",0.064,128,2000
11,4000,140,16,"null","bonferroni","effect_seeking","c45-h36",0.0585,117,2000
12,8000,140,16,"null","bonferroni","effect_seeking","c45-h36",0.0585,117,2000
19,4000,35,16,"homogeneous","bonferroni","effect_seeking","c45-h36",0.067,134,2000
20,8000,35,16,"homogeneous","bonferroni","effect_seeking","c45-h36",0.0675,135,2000
21,4000,70,16,"homogeneous","bonferroni","effect_seeking","c45-h36",0.0725,145,2000
22,8000,70,16,"homogeneous","bonferroni","effect_seeking","c45-h36",0.0725,145,2000
23,4000,140,16,"homogeneous","bonferroni","effect_seeking","c45-h36",0.064,128,2000
24,8000,140,16,"homogeneous","bonferroni","effect_seeking","c45-h36",0.057,114,2000
31,4000,35,16,"heterogeneous","bonferroni","effect_seeking","c45-h36",0.0995,199,2000
32,8000,35,16,"heterogeneous","bonferroni","effect_seeking","c45-h36",0.0955,191,2000
33,4000,70,16,"heterogeneous","bonferroni","effect_seeking","c45-h36",0.106,212,2000
34,8000,70,16,"heterogeneous","bonferroni","effect_seeking","c45-h36",0.115,230,2000
35,4000,140,16,"heterogeneous","bonferroni","effect_seeking","c45-h36",0.1115,223,2000
36,8000,140,16,"heterogeneous","bonferroni","effect_seeking","c45-h36",0.1165,233,2000
7,4000,35,16,"null","naive","effect_seeking","c45-h36",0.0605,121,2000
8,8000,35,16,"null","naive","effect_seeking","c45-h36",0.058,116,2000
9,4000,70,16,"null","naive","effect_seeking","c45-h36",0.058,116,2000
